96
2949.16 2259.36 48.125,     69 70 73,     stand,  25.9814 -67.8705 0.0,  ,
2961.99 2110.25 52.5314,    68,           stand,  36.9568 -159.145 0.0,  ,
2775.12 2601.84 48.125,     68 71 72,     stand,  30.3485 -143.797 0.0,  ,
2747.53 2658.45 46.709,     62 70,        stand,  42.5543 -144.357 0.0,  ,
2562.95 2506.42 48.125,     70 73,        stand,  26.8768 20.8166 0.0,   ,
2451.8 2271.77 48.125,      61 68 72 74,  stand,  15.1215 21.0089 0.0,   ,
2502.45 1769.74 43.86,      54 73 75,     stand,  17.8076 104.516 0.0,   ,
2765.6 1896.98 50.4937,     74,           stand,  14.3359 119.853 0.0,   ,
2020.77 2291.53 66.125,     50 54,        stand,  26.5417 -164.105 0.0,  ,
740.585 1413.99 48.139,     31 40,        stand,  27.7722 166.887 0.0,   ,
977.234 -1573.98 146.956,   79 83 87,     stand,  12.5452 -95.0873 0.0,  ,
1038.34 -2610.37 145.855,   78 80,        stand,  26.9922 -89.4897 0.0,  ,
888.95 -3281.18 114.317,    79 81 89,     stand,  19.9335 -108.639 0.0,  ,
176.717 -2665.07 119.509,   80 82,        stand,  15.0061 136.576 0.0,   ,
289.269 -1902.36 227.923,   81 83,        stand,  26.0968 75.2118 0.0,   ,
624.298 -1773.02 162.205,   78 82 84,     stand,  19.4885 85.061 0.0,    ,
-61.2289 -687.117 111.903,  83 85,        stand,  19.2633 122.689 0.0,   ,
833.707 -301.68 63.7866,    84 86 87,     stand,  32.8149 56.9196 0.0,   ,
851.62 -71.1252 74.4891,    85 88,        stand,  30.3485 67.3346 0.0,   ,
1068.79 -725.434 107.233,   78 85 88,     stand,  17.9175 82.5671 0.0,   ,
1145.89 -132.767 51.9655,   86 87,        stand,  13.2153 -129.535 0.0,  ,
750.953 -3734.92 107.006,   80 90 93,     stand,  16.4618 5.66833 0.0,   ,
1166.41 -3599.17 104.839,   89 91,        stand,  26.6571 61.3251 0.0,   ,
1243.58 -3472.18 107.875,   90 92,        stand,  30.3485 -71.2689 0.0,  ,
1344.6 -3618.11 111.477,    91,           stand,  20.0488 -36.217 0.0,   ,
