164
940.508 880.767 48.0929,    1 2 3 22 23 30 40,     stand,  15.0073 -29.2261 0.0,  ,
631.558 522.812 60.9387,    0,                     stand,  30.3497 -113.552 0.0,  ,
551.767 885.387 49.125,     0,                     stand,  23.4064 -3.13353 0.0,  ,
1378.25 616.007 48.125,     0 4 22 29,             stand,  20.7202 173.658 0.0,   ,
1076.91 613.959 112.125,    3 5,                   stand,  34.3817 -9.51658 0.0,  ,
1083.72 423.513 112.125,    4 6 10,                stand,  21.7255 140.43 0.0,    ,
1205.45 420.675 112.125,    5 7,                   stand,  24.3018 -178.953 0.0,  ,
1155.84 81.3208 112.125,    6 8,                   stand,  27.4384 144.764 0.0,   ,
1027.19 41.8966 112.125,    7 9,                   stand,  25.7574 -94.9628 0.0,  ,
960.543 334.943 112.125,    8 10 12,               stand,  26.6528 66.2945 0.0,   ,
993.771 417.989 112.125,    5 9 11,                stand,  33.1512 3.24951 0.0,   ,
978.951 536.875 112.125,    10,                    stand,  21.6156 85.636 0.0,    ,
811.423 334.069 112.125,    9 13,                  stand,  37.7435 96.8366 0.0,   ,
820.354 532.987 -7.875,     12 14,                 stand,  39.7595 90.7886 0.0,   ,
1175.43 378.237 -7.875,     13 15,                 stand,  17.5836 -118.331 0.0,  ,
1164.08 27.5987 -7.875,     14,                    stand,  13.8867 -90.5627 0.0,  ,
1106.96 1463.29 56.125,     17 25 26,              stand,  19.4897 65.8881 0.0,   ,
1233.83 1465.07 56.125,     16 18 28 42,           stand,  14.2218 76.1877 0.0,   ,
1321.72 1290.44 56.125,     17 19 21,              stand,  27.3285 102.764 0.0,   ,
1394.59 1422.49 56.125,     18 20 28,              stand,  23.1812 81.3733 0.0,   ,
1477.41 1128.03 56.125,     19,                    stand,  23.7415 -81.9769 0.0,  ,
1306.76 1145.94 56.125,     18 22 27,              stand,  22.2858 -96.5008 0.0,  ,
1302.91 1097.11 48.125,     0 3 21 23 29,          stand,  26.0925 103.983 0.0,   ,
1024.62 1119.26 48.125,     0 22 24,               stand,  52.9706 82.4829 0.0,   ,
1047.46 1254.35 57.125,     23 25 26,              stand,  49.1638 -93.7817 0.0,  ,
1017.74 1375.14 56.125,     16 24 26 28,           stand,  40.8746 -156.382 0.0,  ,
1158.21 1271.58 56.125,     16 24 25 27 28,        stand,  66.7474 -68.0627 0.0,  ,
1168.8 1176.32 56.125,      21 26,                 stand,  52.7454 -49.8089 0.0,  ,
1203.3 1361.14 56.125,      17 19 25 26,           stand,  44.9066 -175.905 0.0,  ,
1479.06 1083.32 48.125,     3 22,                  stand,  20.7202 164.309 0.0,   ,
901.304 1550.55 37.4852,    0 31 39 40 41 44,      stand,  17.6935 173.944 0.0,   ,
520.736 1514.54 54.2413,    30 32 77,              stand,  17.2485 179.992 0.0,   ,
341.145 1755.37 53.865,     31 33,                 stand,  18.9294 109.218 0.0,   ,
419.095 2016.76 54.4821,    32 34 37,              stand,  15.3424 2.0465 0.0,    ,
474.594 2503.14 64.125,     33 35,                 stand,  13.7769 3.61206 0.0,   ,
844.64 2569.97 53.198,      34 36 38,              stand,  14.5624 -53.8354 0.0,  ,
971.936 2667.89 48.125,     35 45,                 stand,  28.4491 -154.734 0.0,  ,
802.315 2013.76 51.2377,    33 38 39,              stand,  37.4084 -12.4005 0.0,  ,
