166
-14108.7 1405.66 640.125,1 7 9 85 163,stand,15.2325 177.946 0,,
-13824.1 1490.28 640.125,0 2 5 7,stand,17.4683 159.725 0,,
-13772.5 1812.95 640.125,1 3 5,stand,39.3091 35.4199 0,,
-13692.5 1850.22 640.125,2 4,stand,35.387 42.4731 0,,
-13602.9 1845.51 610.016,3 8 98 160,stand,38.5236 5.63049 0,,
-13825.3 1812.02 640.125,2 6 1,stand,40.6494 87.7203 0,,
-13827.1 2122.1 720.125,5,stand,41.5448 74.8389 0,,
-13802 1359.18 640.125,0 8 1,stand,31.355 -10.3436 0,,
-13557 1171.02 607.6,7 81 97 4 160 162 163,stand,14.5569 115.977 0,,
-14788.1 1478.32 640.125,0 10 27 29 87 89,stand,25.1971 44.7528 0,,
-14740.8 1652.1 640.125,9 11 27,stand,37.738 -33.75 0,,
-14568.3 1650.31 728.125,10 12,stand,20.9399 2.0874 0,,
-14456.7 1656.94 728.125,11 13,stand,39.0839 -0.939331 0,,
-14449.4 1713.88 728.125,12 14,stand,37.2931 -179.187 0,,
-14688.3 1724.49 832.125,13 15 18 26,stand,35.5023 173.535 0,,
-14690.1 1968.84 832.125,14 16 19 20 21 26,stand,23.5162 8.24524 0,,
-14861.6 1985.32 876.125,15 17 23 18,stand,20.3796 179.808 0,,
-15083.7 1979.92 876.125,16 18 22 23 24 25,stand,31.4703 -104.601 0,,
-14829.7 1806.38 876.125,17 14 16 24,stand,45.4669 -39.6497 0,,
-14487.7 2213.82 833.351,15,stand,25.9827 96.6357 0,,
-14639.8 2242.85 832.125,15 21 23,stand,40.7648 87.6764 0,,
-14534 1775.13 832.125,15 20,stand,36.3977 -126.519 0,,
-15321.9 2218.35 876.125,17 23 25,stand,31.355 176.402 0,,
-14835 2163.78 876.125,20 16 22 17,stand,36.3977 0.0219727 0,,
-15078.5 1718.49 882.469,17 25 18,stand,45.2417 -22.3352 0,,
-15316.4 1784.35 876.125,24 22 17,stand,48.6035 -1.76331 0,,
-14772.9 1711.13 832.125,15 14,stand,26.0925 68.1097 0,,
-14959.3 1622.43 640.125,10 28 9,stand,21.275 -88.2202 0,,
-15410.7 1608.11 687.36,27 29 30 31 89,stand,17.8033 -47.1204 0,,
-15681.1 1093.58 646.619,9 28 35 30 45 89,stand,14.7821 130.408 0,,
