113
1733.58 233.16 136.125,      13 23 24,                  stand,  0.0 0.0 0.0,            ,
1453.0 -206.2 0.125,         94 95,                     stand,  0.0 0.0 0.0,            ,
2183.12 240.522 -127.875,    3,                         stand,  0.0 0.0 0.0,            ,
2157.11 -13.5664 -127.875,   2 4,                       stand,  0.0 0.0 0.0,            ,
2311.73 -15.5734 -127.875,   3 5,                       stand,  0.0 0.0 0.0,            ,
2288.88 310.29 0.125,        4 6 92,                    stand,  0.0 0.0 0.0,            ,
2216.97 280.773 0.125,       5 7 92,                    stand,  0.0 0.0 0.0,            ,
2219.71 -23.0341 0.125,      6 8,                       stand,  0.0 0.0 0.0,            ,
2308.17 -13.9387 0.125,      7 9,                       stand,  0.0 0.0 0.0,            ,
2328.48 268.216 128.125,     8 10,                      stand,  0.0 0.0 0.0,            ,
2260.59 348.646 136.125,     9 11,                      stand,  0.0 0.0 0.0,            ,
2064.81 338.414 136.125,     10 12 14 17 24 25,         stand,  0.0 0.0 0.0,            ,
1632.71 -56.1313 136.125,    11 13 14 22 23 24 25,      stand,  0.0 0.0 0.0,            ,
1812.12 -149.269 136.125,    0 12 14 22,                stand,  0.0 0.0 0.0,            ,
2173.09 -28.1784 136.125,    11 12 13 15 17,            stand,  0.0 0.0 0.0,            ,
2344.27 16.8739 136.125,     14 16 17,                  climb,  9.53491 89.081 0.0,     ,
2337.7 54.0345 244.125,      15,                        climb,  7.20032 91.108 0.0,     ,
2312.0 -208.322 136.125,     11 14 15 21,               stand,  0.0 0.0 0.0,            ,
2090.09 -376.612 40.125,     19 93,                     stand,  0.0 0.0 0.0,            ,
2141.46 -424.214 10.125,     18 20,                     stand,  0.0 0.0 0.0,            ,
2260.75 -407.277 10.125,     19 21,                     climb,  2.56409 87.5739 0.0,    ,
2261.49 -367.761 140.125,    17 20,                     climb,  81.6656 91.3422 0.0,    ,
1456.3 178.006 136.125,      12 13 23 26 30,            stand,  0.0 0.0 0.0,            ,
1690.37 128.417 136.125,     0 12 22 24,                stand,  0.0 0.0 0.0,            ,
1876.51 251.916 136.125,     0 11 12 23 25,             stand,  0.0 0.0 0.0,            ,
1511.61 -275.268 136.125,    11 12 24 26 27 28 30 112,  stand,  0.0 0.0 0.0,            ,
1238.5 24.3717 136.125,      22 25 27 28 30,            stand,  0.0 0.0 0.0,            ,
1289.75 -277.416 136.125,    25 26 28,                  stand,  0.0 0.0 0.0,            ,
1243.26 276.144 136.125,     25 26 27 29 112,           stand,  0.0 0.0 0.0,            ,
940.341 265.083 136.125,     28 30 36 112,              stand,  0.0 0.0 0.0,            ,
1086.62 -82.7684 136.125,    22 25 26 29 31 36,         stand,  0.0 0.0 0.0,            ,
841.048 -255.803 136.125,    30 32 34,                  stand,  0.0 0.0 0.0,            ,
423.835 -322.087 136.125,    31 33 37 105,              stand,  0.0 0.0 0.0,            ,
255.63 135.289 136.125,      32 34 37 38 105,           stand,  0.0 0.0 0.0,            ,
651.811 235.207 136.125,     31 33 35 37,               stand,  0.0 0.0 0.0,            ,
784.952 43.6093 136.125,     34 36,                     stand,  0.0 0.0 0.0,            ,
944.779 167.056 136.125,     29 30 35 112,              stand,  0.0 0.0 0.0,            ,
479.938 8.19693 136.125,     32 33 34 38 105,           stand,  0.0 0.0 0.0,            ,
-174.12 0.257538 136.125,    33 37 39 40,               stand,  0.0 0.0 0.0,            ,
-430.595 -108.045 136.125,   38 44 45,                  stand,  0.0 0.0 0.0,            ,
-309.213 12.8544 136.125,    38 41,                     stand,  0.0 0.0 0.0,            ,
-494.578 178.099 136.125,    40 42 43,                  stand,  0.0 0.0 0.0,            ,
-385.362 269.799 136.125,    41 48,                     stand,  0.0 0.0 0.0,            ,
-683.572 279.303 136.125,    41 44 45 51,               stand,  0.0 0.0 0.0,            ,
-795.361 85.1956 136.125,    39 43 45,                  stand,  0.0 0.0 0.0,            ,
-878.039 -33.4477 136.125,   39 43 44,                  stand,  0.0 0.0 0.0,            ,
-208.505 416.134 10.125,     47 102 107 108,            stand,  0.0 0.0 0.0,            ,
-381.332 415.125 10.1412,    46 48,                     climb,  6.18958 -89.4159 0.0,   ,
-381.262 381.438 140.125,    42 47,                     climb,  8.79333 -84.6643 0.0,   ,
-824.489 240.749 0.935783,   50 52 54,                  stand,  0.0 0.0 0.0,            ,
-824.181 344.875 0.125002,   49 51,                     climb,  0.52063 90.705 0.0,     ,
-786.003 344.435 136.125,    43 50,                     climb,  60.083 88.3979 0.0,     ,
-969.645 192.84 1.125,       49 53,                     stand,  0.0 0.0 0.0,            ,
-821.936 134.855 1.125,      52 54,                     stand,  0.0 0.0 0.0,            ,
-524.898 242.007 1.12467,    49 53 55 59,               stand,  0.0 0.0 0.0,            ,
-393.706 205.237 0.125002,   54 56 60 71,               stand,  0.0 0.0 0.0,            ,
-376.834 -193.953 0.125,     55 57 68,                  stand,  0.0 0.0 0.0,            ,
-309.5 -206.009 18.2773,     56 58,                     stand,  0.0 0.0 0.0,            ,
-224.194 -171.441 0.125002,  57 59,                     stand,  0.0 0.0 0.0,            ,
-240.741 257.243 1.125,      54 58 70 71 106,           stand,  0.0 0.0 0.0,            ,
-660.534 59.9441 1.04621,    55 61 69 70 71,            stand,  0.0 0.0 0.0,            ,
-641.537 -73.9196 1.04795,   60 62 68,                  stand,  0.0 0.0 0.0,            ,
-554.322 -218.581 0.125002,  61 63 63 68,               stand,  0.0 0.0 0.0,            ,
-592.157 -305.256 0.125002,  62 62 64 68,               stand,  0.0 0.0 0.0,            ,
-593.869 -382.365 40.125,    63 65,                     stand,  0.0 0.0 0.0,            ,
-527.224 -421.047 10.125,    64 66,                     stand,  0.0 0.0 0.0,            ,
-168.344 -418.036 10.125,    65 67 77,                  stand,  0.0 0.0 0.0,            ,
480.313 -422.535 10.125,     66 76 77,                  stand,  0.0 0.0 0.0,            ,
-525.719 -108.292 2.80823,   56 61 62 63,               stand,  0.0 0.0 0.0,            ,
188.086 176.153 0.124998,    60 70 71 80,               stand,  0.0 0.0 0.0,            ,
16.1659 99.4017 0.124998,    59 60 69 71 72,            stand,  0.0 0.0 0.0,            ,
