387
1896.29 1372.49 -63.875,     1 109 238 260 261 262 384,       stand,   0.0 0.0 0.0,             ,
2410.13 1389.51 -63.875,     0 2 253 260 265 272,             stand,   0.0 0.0 0.0,             ,
2611.81 1826.16 -48.419,     1 251 252 253,                   stand,   0.0 0.0 0.0,             ,
2177.11 2130.8 -63.875,      4 18 127 249 250 252 259,        stand,   0.0 0.0 0.0,             ,
1953.2 2279.31 -63.875,      3 5 127 248 249,                 stand,   0.0 0.0 0.0,             ,
1616.33 2232.19 -3.875,      4 6 10,                          stand,   0.0 0.0 0.0,             ,
1366.59 2478.79 -3.875,      5 7,                             stand,   0.0 0.0 0.0,             ,
1106.62 2352.79 -3.875,      6 8,                             stand,   0.0 0.0 0.0,             ,
1033.62 2124.98 -3.875,      7 9 11,                          stand,   0.0 0.0 0.0,             ,
1240.5 1904.95 -3.875,       8 10,                            stand,   0.0 0.0 0.0,             ,
1533.25 1960.07 -3.875,      5 9,                             stand,   0.0 0.0 0.0,             ,
891.122 2103.49 -3.875,      8 12,                            stand,   0.0 0.0 0.0,             ,
920.505 1852.73 -3.875,      11 13 17,                        stand,   0.0 0.0 0.0,             ,
454.062 1790.85 8.71387,     12 231 232,                      stand,   0.0 0.0 0.0,             ,
107.625 1317.98 -31.875,     15 221 225 228 232,              stand,   0.0 0.0 0.0,             ,
337.67 1096.27 -63.875,      14 16 102 223 227,               stand,   0.0 0.0 0.0,             ,
664.742 1396.8 -63.875,      15 17 113 227 228,               stand,   0.0 0.0 0.0,             ,
971.498 1512.76 -63.875,     12 16 111 239 243,               stand,   0.0 0.0 0.0,             ,
1840.58 1863.01 -63.875,     3 127 245 246 259 262 383,       stand,   0.0 0.0 0.0,             ,
2661.23 1128.84 -62.8848,    20 272 273 274,                  stand,   0.0 0.0 0.0,             ,
3035.08 778.014 -55.2716,    19 21 275 301 302 304,           stand,   0.0 0.0 0.0,             ,
2812.8 585.39 -51.875,       20 22 42 130 275 369,            stand,   0.0 0.0 0.0,             ,
2450.11 724.785 -63.875,     21 23 369,                       stand,   0.0 0.0 0.0,             ,
2143.43 954.41 -63.875,      22 24 276,                       stand,   0.0 0.0 0.0,             ,
1944.81 746.156 -63.875,     23 25 28 277,                    stand,   0.0 0.0 0.0,             ,
1923.21 571.454 -39.875,     24 26 269,                       stand,   0.0 0.0 0.0,             ,
2030.82 385.415 -63.875,     25 27 368,                       stand,   0.0 0.0 0.0,             ,
2306.85 194.756 -63.875,     26 35 278 368,                   stand,   0.0 0.0 0.0,             ,
2272.95 507.299 -63.875,     24 29 368,                       stand,   0.0 0.0 0.0,             ,
2421.51 548.867 -66.8462,    28 30,                           stand,   0.0 0.0 0.0,             ,
2543.77 454.032 -27.9903,    29 31,                           stand,   0.0 0.0 0.0,             ,
2251.0 84.2754 126.125,      30 32 279,                       stand,   0.0 0.0 0.0,             ,
1974.42 290.231 126.125,     31 33 281,                       stand,   0.0 0.0 0.0,             ,
2038.11 367.141 128.125,     32 34 286,                       stand,   0.0 0.0 0.0,             ,
1965.85 814.585 128.125,     33 36 283 284 285 288,           stand,   0.0 0.0 0.0,             ,
2510.0 500.759 128.125,      27 36 292,                       stand,   0.0 0.0 0.0,             ,
2308.37 602.376 128.125,     34 35 288 289 290,               stand,   0.0 0.0 0.0,             ,
2912.3 178.256 100.467,      38 129 292,                      stand,   0.0 0.0 0.0,             ,
3074.3 47.4363 42.5222,      37 39 131,                       stand,   0.0 0.0 0.0,             ,
2773.63 -206.986 -45.4839,   38 40 62 295,                    stand,   0.0 0.0 0.0,             ,
2961.44 -323.943 -53.7632,   39 41 44 56 306 308,             stand,   0.0 0.0 0.0,             ,
3274.32 171.371 -60.8485,    40 42 43 307,                    stand,   0.0 0.0 0.0,             ,
2985.63 464.971 -53.7425,    21 41 304,                       stand,   0.0 0.0 0.0,             ,
3451.16 429.082 -47.0662,    41 296 299 302 303 304,          stand,   0.0 0.0 0.0,             ,
2813.58 -878.7 -43.2767,     40 56 308 309 310 313,           stand,   0.0 0.0 0.0,             ,
2443.66 -1346.05 -25.4662,   58 313 314 316 317,              stand,   0.0 0.0 0.0,             ,
2124.14 -1844.61 -50.6304,   47 64 314 317 318 320,           stand,   0.0 0.0 0.0,             ,
1752.99 -2107.98 -17.7433,   46 48 51 63 320 322,             stand,   0.0 0.0 0.0,             ,
1882.16 -1864.84 57.1378,    47 49,                           stand,   0.0 0.0 0.0,             ,
2223.91 -1410.75 121.911,    48 50,                           stand,   0.0 0.0 0.0,             ,
2531.96 -999.769 244.065,    49 326,                          stand,   0.0 0.0 0.0,             ,
1801.13 -2632.0 42.694,      47 52 321 322 324 325,           stand,   0.0 0.0 0.0,             ,
2366.95 -2503.72 -35.1275,   51 53 323,                       stand,   0.0 0.0 0.0,             ,
2803.87 -2234.76 -53.0336,   52 54,                           stand,   0.0 0.0 0.0,             ,
3245.54 -1918.44 -62.3579,   53 55 312,                       stand,   0.0 0.0 0.0,             ,
2765.4 -1695.82 9.55535,     54 315 316,                      stand,   0.0 0.0 0.0,             ,
2629.45 -661.84 -32.5459,    40 44 57,                        stand,   0.0 0.0 0.0,             ,
2472.88 -849.104 -34.2909,   56 58 313 360,                   stand,   0.0 0.0 0.0,             ,
2220.79 -1180.11 -17.6757,   45 57,                           stand,   0.0 0.0 0.0,             ,
2225.98 -704.74 -17.875,     60 360,                          stand,   0.0 0.0 0.0,             ,
2307.66 -587.213 -17.875,    59 359 361 364,                  stand,   0.0 0.0 0.0,             ,
2582.16 -270.854 -17.875,    62 364,                          stand,   0.0 0.0 0.0,             ,
2684.59 -344.943 -45.875,    39 61 361,                       stand,   0.0 0.0 0.0,             ,
1503.84 -2078.76 -28.0403,   47 75 322 328 329 332,           stand,   0.0 0.0 0.0,             ,
1849.59 -1669.6 -47.8914,    46 329,                          stand,   0.0 0.0 0.0,             ,
1050.01 -1751.13 -56.4737,   66 74 137 146 147 328 334,       stand,   0.0 0.0 0.0,             ,
1199.85 -1555.74 48.125,     65 152 153,                      stand,   0.0 0.0 0.0,             ,
764.237 -1232.65 102.125,    68 150 151 152 154,              stand,   0.0 0.0 0.0,             ,
459.292 -1020.85 80.125,     67 154 159 162,                  stand,   0.0 0.0 0.0,             ,
222.024 -1291.55 80.125,     70 157 158 159 160 161,          stand,   0.0 0.0 0.0,             ,
5.71331 -1569.45 48.125,     69 71,                           stand,   0.0 0.0 0.0,             ,
265.294 -1769.14 -57.5248,   70 72 79 136 163,                stand,   0.0 0.0 0.0,             ,
157.275 -1904.62 -57.875,    71 73 132 133,                   stand,   0.0 0.0 0.0,             ,
