230
-519.184 -782.6 194.125,     26 84 85 204,         stand,  0.0 0.0 0.0,            ,
-403.569 -119.338 194.125,   206,                  stand,  0.0 0.0 0.0,            ,
-709.293 -246.198 194.125,   13 125 206,           stand,  0.0 0.0 0.0,            ,
-1185.79 -137.394 197.125,   4 13 126,             stand,  0.0 0.0 0.0,            ,
-1173.5 106.94 194.125,      3 5 6,                stand,  0.0 0.0 0.0,            ,
-1296.33 118.23 202.908,     4,                    stand,  0.0 0.0 0.0,            ,
-1152.32 427.097 223.363,    4 7 8,                stand,  0.0 0.0 0.0,            ,
-932.402 425.881 220.174,    6 11 82,              stand,  0.0 0.0 0.0,            ,
-1140.46 674.699 221.674,    6 9 211,              stand,  0.0 0.0 0.0,            ,
-1122.73 867.846 222.505,    8 10 210,             stand,  0.0 0.0 0.0,            ,
-1068.89 980.29 210.608,     9,                    stand,  0.0 0.0 0.0,            ,
-932.843 73.0575 194.125,    7 12 13,              stand,  0.0 0.0 0.0,            ,
-760.026 75.3998 199.685,    11 81 180,            stand,  0.0 0.0 0.0,            ,
-940.216 -145.805 194.125,   2 3 11 125,           stand,  0.0 0.0 0.0,            ,
-799.944 979.698 200.709,    210,                  stand,  0.0 0.0 0.0,            ,
-373.064 933.817 195.068,    16 17 210,            stand,  0.0 0.0 0.0,            ,
-374.026 831.72 194.454,     15,                   stand,  0.0 0.0 0.0,            ,
-221.765 931.258 194.125,    15 18 71,             stand,  0.0 0.0 0.0,            ,
-224.223 1078.5 194.125,     17,                   stand,  0.0 0.0 0.0,            ,
-769.557 653.743 195.49,     79 80 82 210 211,     stand,  0.0 0.0 0.0,            ,
-403.115 -260.659 28.125,    21,                   stand,  0.0 0.0 0.0,            ,
-214.783 -260.564 24.8444,   20 160 172 173 212,   stand,  0.0 0.0 0.0,            ,
-1384.9 -512.873 194.125,    23 127 179,           stand,  0.0 0.0 0.0,            ,
-1378.94 -755.048 194.125,   22 24,                stand,  0.0 0.0 0.0,            ,
-1021.25 -760.447 194.125,   23 25 213,            stand,  0.0 0.0 0.0,            ,
-1022.17 -637.344 194.125,   24 124 125 127,       stand,  0.0 0.0 0.0,            ,
-615.794 -781.649 194.125,   0 27 213,             stand,  0.0 0.0 0.0,            ,
-742.264 -840.62 172.125,    26 28 213,            stand,  0.0 0.0 0.0,            ,
-750.818 -1012.92 52.9675,   27 29,                stand,  0.0 0.0 0.0,            ,
-753.745 -1093.15 49.4829,   28 30 32 208,         stand,  0.0 0.0 0.0,            ,
-622.213 -1089.71 51.2114,   29 31 208,            stand,  0.0 0.0 0.0,            ,
-616.064 -999.993 51.8001,   30,                   stand,  0.0 0.0 0.0,            ,
-889.084 -1081.61 47.9058,   29 33,                stand,  0.0 0.0 0.0,            ,
-994.317 -1028.4 47.093,     32 34,                stand,  0.0 0.0 0.0,            ,
-1317.53 -1060.47 30.9167,   33 35 177 178,        stand,  0.0 0.0 0.0,            ,
