178
1774.5 834.7 67.6,          1 6,                 stand,  0.0 0.0 0.0,           ,
1780.6 639.1 65.5,          0 7,                 stand,  0.0 0.0 0.0,           ,
1902.2 -345.2 74.2,         3 97,                stand,  0.0 0.0 0.0,           ,
1892.7 -420.4 72.1,         2 10 157,            stand,  0.0 0.0 0.0,           ,
1211.0 1284.5 64.1,         5 21 154 155,        stand,  0.0 0.0 0.0,           ,
1249.3 1087.0 64.1,         4 6 20 172,          stand,  0.0 0.0 0.0,           ,
1278.6 841.6 64.1,          0 5 7 8,             stand,  0.0 0.0 0.0,           ,
1504.4 626.5 56.3,          1 6 8,               stand,  0.0 0.0 0.0,           ,
1307.5 547.1 64.1,          6 7 9 17 103,        stand,  0.0 0.0 0.0,           ,
1298.3 199.6 62.2,          8 11 16 156,         stand,  0.0 0.0 0.0,           ,
1423.3 -403.8 64.3,         3 11 12 15,          stand,  0.0 0.0 0.0,           ,
1240.1 -249.7 74.1,         9 10 12 15 16,       stand,  0.0 0.0 0.0,           ,
1345.6 -595.8 64.0,         10 11 13 15,         stand,  0.0 0.0 0.0,           ,
1291.3 -834.9 64.1,         12 14 15 66,         stand,  0.0 0.0 0.0,           ,
1202.9 -1082.8 64.1,        13 63 66 121,        stand,  0.0 0.0 0.0,           ,
1145.6 -567.9 64.1,         10 11 12 13 68,      stand,  0.0 0.0 0.0,           ,
1090.9 -227.1 66.1,         9 11 69 70,          stand,  0.0 0.0 0.0,           ,
1072.3 554.5 62.4,          8 18 19 71,          stand,  0.0 0.0 0.0,           ,
941.3 766.4 59.0,           17 19 25 72,         stand,  0.0 0.0 0.0,           ,
742.4 908.0 64.1,           17 18 20 24 25 72,   stand,  0.0 0.0 0.0,           ,
892.0 1092.7 64.1,          5 19 21 24,          stand,  0.0 0.0 0.0,           ,
900.4 1279.1 64.1,          4 20 23,             stand,  0.0 0.0 0.0,           ,
784.6 1559.3 64.1,          23 26,               stand,  0.0 0.0 0.0,           ,
790.1 1404.6 64.1,          21 22,               stand,  0.0 0.0 0.0,           ,
599.6 1016.3 64.1,          19 20 26,            stand,  0.0 0.0 0.0,           ,
579.3 778.9 54.1,           18 19 73 136,        stand,  0.0 0.0 0.0,           ,
656.7 1559.3 40.1,          22 24 27 104,        stand,  0.0 0.0 0.0,           ,
171.2 1473.1 29.4,          26 28 32 140,        stand,  0.0 0.0 0.0,           ,
62.3 1776.6 64.1,           27 29,               stand,  0.0 0.0 0.0,           ,
152.9 1951.5 64.1,          28 30,               stand,  0.0 0.0 0.0,           ,
50.3 2079.6 64.3,           29 31,               stand,  0.0 0.0 0.0,           ,
-138.8 2098.6 58.9,         30 32 33,            stand,  0.0 0.0 0.0,           ,
-135.1 1442.5 61.5,         27 31 35 80 139,     stand,  0.0 0.0 0.0,           ,
