100
525.8 -1071.4 -12.2376,      20 21,                    stand,  0.0 0.0 0.0,          ,
-450.2 -1074.4 -2.86799,     99,                       stand,  0.0 0.0 0.0,          ,
-323.6 -786.2 -2.10649,      24,                       stand,  0.0 0.0 0.0,          ,
-388.889 -445.825 -11.875,   39 40 51,                 stand,  0.0 0.0 0.0,          ,
-815.6 -591.2 168.125,       50,                       stand,  0.0 0.0 0.0,          ,
-650.6 -1053.2 179.125,      57,                       stand,  0.0 0.0 0.0,          ,
-928.8 -931.6 168.125,       45 46,                    stand,  0.0 0.0 0.0,          ,
-658.6 1213.8 0.125,         88 89,                    stand,  0.0 0.0 0.0,          ,
-401.2 1399.6 7.1333,        87 88,                    stand,  0.0 0.0 0.0,          ,
564.6 1363.2 -11.875,        86 97,                    stand,  0.0 0.0 0.0,          ,
-280.484 924.381 0.125,      96,                       stand,  0.0 0.0 0.0,          ,
800.8 1098.6 -11.875,        66 67,                    stand,  0.0 0.0 0.0,          ,
1002.6 442.2 -11.875,        72,                       stand,  0.0 0.0 0.0,          ,
1003.6 366.2 150.125,        75 78,                    stand,  0.0 0.0 0.0,          ,
966.2 -360.6 -11.875,        79 82,                    stand,  0.0 0.0 0.0,          ,
470.4 -636.2 -11.875,        33,                       stand,  0.0 0.0 0.0,          ,
209.6 -263.8 -17.023,        36,                       stand,  0.0 0.0 0.0,          ,
-605.4 286.2 -11.875,        58,                       stand,  0.0 0.0 0.0,          ,
-660.6 1060.8 0.125,         90 95,                    stand,  0.0 0.0 0.0,          ,
323.6 1008.2 -11.875,        85 86 97,                 stand,  0.0 0.0 0.0,          ,
386.82 -1233.14 -11.875,     0 22,                     stand,  0.0 0.0 0.0,          ,
682.323 -1015.22 -11.8748,   0,                        stand,  0.0 0.0 0.0,          ,
137.799 -1093.51 -19.875,    20 23 30,                 stand,  0.0 0.0 0.0,          ,
-228.539 -1112.88 -11.875,   22 24 99,                 stand,  0.0 0.0 0.0,          ,
-192.706 -750.558 -11.875,   2 23 25 31 42,            stand,  0.0 0.0 0.0,          ,
141.661 -636.07 5.40076,     24 30 31 32 35 36,        stand,  0.0 0.0 0.0,          ,
627.309 -442.062 -11.875,    27 29 34,                 stand,  0.0 0.0 0.0,          ,
614.484 -377.278 27.125,     26 28,                    stand,  0.0 0.0 0.0,          ,
615.482 -273.289 -11.875,    27 80 81,                 stand,  0.0 0.0 0.0,          ,
642.602 -802.328 -11.875,    26 30,                    stand,  0.0 0.0 0.0,          ,
133.529 -835.556 -19.875,    22 25 29 31,              stand,  0.0 0.0 0.0,          ,
-42.4758 -822.414 6.52409,   24 25 30,                 stand,  0.0 0.0 0.0,          ,
-148.928 -251.787 -19.875,   25 36 37 38,              stand,  0.0 0.0 0.0,          ,
413.772 -478.424 27.125,     15 34 35,                 stand,  0.0 0.0 0.0,          ,
514.595 -450.104 -5.77489,   26 33,                    stand,  0.0 0.0 0.0,          ,
