470
176.544 -839.407 -40.8663,   50 53,                stand,  0.0 0.0 0.0,             ,
-1182.99 -1989.51 63.125,    68 69,                stand,  0.0 0.0 0.0,             ,
944.334 -434.294 56.125,     45 252,               stand,  0.0 0.0 0.0,             ,
1366.07 746.431 49.8779,     37 38,                stand,  0.0 0.0 0.0,             ,
867.111 1696.23 121.502,     204 373,              stand,  0.0 0.0 0.0,             ,
-760.311 -1562.62 60.9951,   14 250,               stand,  0.0 0.0 0.0,             ,
-1944.7 -797.136 95.125,     80 81,                stand,  0.0 0.0 0.0,             ,
-821.295 1492.59 135.125,    101 102,              stand,  0.0 0.0 0.0,             ,
-2240.74 -1812.85 87.125,    77 303,               stand,  0.0 0.0 0.0,             ,
517.866 1680.38 121.123,     204 209 396,          stand,  0.0 0.0 0.0,             ,
-786.531 -1038.53 -5.22379,  183 184 250 363,      stand,  0.0 0.0 0.0,             ,
1173.64 2845.97 313.314,     24 126,               stand,  0.0 0.0 0.0,             ,
-833.523 -1935.22 61.1333,   66 67 361,            stand,  0.0 0.0 0.0,             ,
-818.995 1023.21 95.125,     97 98,                stand,  0.0 0.0 0.0,             ,
-1209.04 -1686.95 63.125,    5 69 70,              stand,  0.0 0.0 0.0,             ,
-1526.95 -207.841 91.125,    86 87,                stand,  0.0 0.0 0.0,             ,
-1524.7 629.437 91.125,      91 92 319 405,        stand,  0.0 0.0 0.0,             ,
863.191 676.003 53.3786,     39 40,                stand,  0.0 0.0 0.0,             ,
1167.08 2455.03 264.602,     27 126,               stand,  0.0 0.0 0.0,             ,
-725.802 2518.06 151.221,    110 339,              stand,  0.0 0.0 0.0,             ,
528.851 -343.793 -7.90329,   43 46,                stand,  0.0 0.0 0.0,             ,
800.229 1285.31 119.125,     212 213,              stand,  0.0 0.0 0.0,             ,
1441.33 1742.68 67.4346,     33 208,               stand,  0.0 0.0 0.0,             ,
1132.53 3061.33 304.898,     24 346,               stand,  0.0 0.0 0.0,             ,
1168.54 2891.98 301.46,      11 23 25 347,         stand,  0.0 0.0 0.0,             ,
1176.38 2721.7 287.685,      24 26,                stand,  0.0 0.0 0.0,             ,
1182.86 2560.99 272.979,     25 27,                stand,  0.0 0.0 0.0,             ,
1258.23 2377.41 256.732,     18 26 28,             stand,  0.0 0.0 0.0,             ,
1294.93 2284.89 236.96,      27 29,                stand,  0.0 0.0 0.0,             ,
1287.27 2182.77 210.827,     28 30,                stand,  0.0 0.0 0.0,             ,
1252.16 2087.93 189.094,     29 31,                stand,  0.0 0.0 0.0,             ,
1232.95 1989.33 159.057,     30 32 293,            stand,  0.0 0.0 0.0,             ,
1227.53 1891.23 125.125,     31 377,               stand,  0.0 0.0 0.0,             ,
1436.34 1529.18 57.9044,     22 34,                stand,  0.0 0.0 0.0,             ,
1427.71 1356.33 59.726,      33 35,                stand,  0.0 0.0 0.0,             ,
1418.86 1189.09 51.0801,     34 36 291,            stand,  0.0 0.0 0.0,             ,
1409.38 1014.79 48.887,      35 37,                stand,  0.0 0.0 0.0,             ,
1399.6 846.802 49.4645,      3 36,                 stand,  0.0 0.0 0.0,             ,
1140.1 700.032 43.1925,      3 39,                 stand,  0.0 0.0 0.0,             ,
966.7 694.818 55.7356,       17 38 291,            stand,  0.0 0.0 0.0,             ,
777.338 459.065 40.9451,     17 41,                stand,  0.0 0.0 0.0,             ,
735.633 296.519 15.1251,     40 42 220 372,        stand,  0.0 0.0 0.0,             ,
714.589 132.047 7.70628,     41 43,                stand,  0.0 0.0 0.0,             ,
723.608 -36.8363 4.7202,     20 42 44,             stand,  0.0 0.0 0.0,             ,
772.451 -198.275 11.625,     43 45 372,            stand,  0.0 0.0 0.0,             ,
866.282 -335.669 39.512,     2 44 46,              stand,  0.0 0.0 0.0,             ,
625.081 -355.274 -0.446411,  20 45 252 371,        stand,  0.0 0.0 0.0,             ,
511.208 -526.974 -14.116,    48 371,               stand,  0.0 0.0 0.0,             ,
345.352 -521.915 -30.7101,   47 49 369,            stand,  0.0 0.0 0.0,             ,
278.247 -623.474 -33.9229,   48 50,                stand,  0.0 0.0 0.0,             ,
233.197 -718.433 -39.6229,   0 49 51,              stand,  0.0 0.0 0.0,             ,
166.73 -796.768 -39.4347,    50 52,                stand,  0.0 0.0 0.0,             ,
75.3661 -846.407 -42.5421,   51 53,                stand,  0.0 0.0 0.0,             ,
-13.8572 -903.784 -39.5498,  0 52 54,              stand,  0.0 0.0 0.0,             ,
-68.5037 -993.464 -38.8726,  53 55,                stand,  0.0 0.0 0.0,             ,
-78.6827 -1097.37 -36.6076,  54 56,                stand,  0.0 0.0 0.0,             ,
-79.9318 -1201.74 -32.1818,  55 57,                stand,  0.0 0.0 0.0,             ,
-83.7037 -1302.04 -18.6551,  56 58,                stand,  0.0 0.0 0.0,             ,
-143.61 -1388.57 -9.8827,    57 59 284,            stand,  0.0 0.0 0.0,             ,
-229.141 -1439.68 0.18789,   58 60 251,            stand,  0.0 0.0 0.0,             ,
-326.005 -1488.54 7.73896,   59 61 285,            stand,  0.0 0.0 0.0,             ,
-410.185 -1541.83 32.5297,   60 62,                stand,  0.0 0.0 0.0,             ,
-495.129 -1600.93 41.8373,   61 63,                stand,  0.0 0.0 0.0,             ,
-576.821 -1663.27 37.8459,   62 64,                stand,  0.0 0.0 0.0,             ,
-646.569 -1733.3 58.111,     63 65,                stand,  0.0 0.0 0.0,             ,
-712.431 -1813.83 60.9992,   64 66,                stand,  0.0 0.0 0.0,             ,
-780.659 -1894.77 62.37,     12 65,                stand,  0.0 0.0 0.0,             ,
-961.574 -1987.63 55.125,    12 68 362,            stand,  0.0 0.0 0.0,             ,
-1065.69 -1998.06 55.125,    1 67 69 298,          stand,  0.0 0.0 0.0,             ,
-1181.77 -1801.62 63.125,    1 14 68,              stand,  0.0 0.0 0.0,             ,
-1194.25 -1487.06 63.125,    14 71,                stand,  0.0 0.0 0.0,             ,
-1305.31 -1456.7 58.4639,    70 72 181 182,        stand,  0.0 0.0 0.0,             ,
-1445.88 -1536.34 87.125,    71 73,                stand,  0.0 0.0 0.0,             ,
-1524.72 -1652.49 87.125,    72 74,                stand,  0.0 0.0 0.0,             ,
-1673.69 -1732.9 87.125,     73 75 302 332,        stand,  0.0 0.0 0.0,             ,
-1806.82 -1835.1 79.125,     74 76,                stand,  0.0 0.0 0.0,             ,
-1943.46 -1938.78 79.125,    75 302 303 331,       stand,  0.0 0.0 0.0,             ,
-2289.78 -1723.04 87.125,    8 304,                stand,  0.0 0.0 0.0,             ,
-1893.84 -1161.13 79.125,    79 328 330 334,       stand,  0.0 0.0 0.0,             ,
-1868.13 -998.739 95.125,    78 80,                stand,  0.0 0.0 0.0,             ,
-1910.81 -900.714 95.125,    6 79 81,              stand,  0.0 0.0 0.0,             ,
-1912.31 -674.999 95.125,    6 80 82,              stand,  0.0 0.0 0.0,             ,
-1796.87 -554.85 95.125,     81 83 453,            stand,  0.0 0.0 0.0,             ,
-1630.12 -569.976 95.125,    82 84,                stand,  0.0 0.0 0.0,             ,
-1475.67 -510.89 95.125,     83 85,                stand,  0.0 0.0 0.0,             ,
-1471.16 -382.8 95.125,      84 86,                stand,  0.0 0.0 0.0,             ,
-1508.15 -283.47 91.125,     15 85 87 316,         stand,  0.0 0.0 0.0,             ,
-1506.72 -152.834 91.125,    15 86 88,             stand,  0.0 0.0 0.0,             ,
-1498.06 9.97751 91.125,     87 89 314,            stand,  0.0 0.0 0.0,             ,
-1502.36 177.687 91.125,     88 90 317,            stand,  0.0 0.0 0.0,             ,
-1511.67 351.306 91.125,     89 91 306,            stand,  0.0 0.0 0.0,             ,
-1518.88 521.753 95.125,     16 90,                stand,  0.0 0.0 0.0,             ,
-1442.18 823.115 95.125,     16 93,                stand,  0.0 0.0 0.0,             ,
-1388.57 911.9 95.125,       92 94,                stand,  0.0 0.0 0.0,             ,
-1325.16 922.861 95.125,     93 95,                stand,  0.0 0.0 0.0,             ,
-1154.67 907.412 95.125,     94 96,                stand,  0.0 0.0 0.0,             ,
-985.581 892.137 95.125,     95 97,                stand,  0.0 0.0 0.0,             ,
-820.067 890.286 95.125,     13 96,                stand,  0.0 0.0 0.0,             ,
-849.037 1105.97 135.125,    13 99,                stand,  0.0 0.0 0.0,             ,
-872.022 1207.15 135.125,    98 100,               stand,  0.0 0.0 0.0,             ,
-857.243 1311.07 135.125,    99 101,               stand,  0.0 0.0 0.0,             ,
-839.869 1416.25 135.125,    7 100 102 141,        stand,  0.0 0.0 0.0,             ,
-947.913 1594.27 135.125,    7 101 103,            stand,  0.0 0.0 0.0,             ,
-926.872 1718.93 135.125,    102 104,              stand,  0.0 0.0 0.0,             ,
-910.496 1812.2 135.125,     103 105,              stand,  0.0 0.0 0.0,             ,
-841.95 1817.17 135.125,     104 106,              stand,  0.0 0.0 0.0,             ,
-675.94 1850.37 136.125,     105 107,              stand,  0.0 0.0 0.0,             ,
-569.991 1978.55 135.125,    106 392 394,          stand,  0.0 0.0 0.0,             ,
-592.013 2169.04 150.166,    109 392,              stand,  0.0 0.0 0.0,             ,
-640.69 2331.8 162.874,      108 339 393,          stand,  0.0 0.0 0.0,             ,
-611.514 2639.51 161.828,    19 111 355,           stand,  0.0 0.0 0.0,             ,
-438.643 2638.47 234.455,    110 112,              stand,  0.0 0.0 0.0,             ,
-346.138 2637.88 267.659,    111 113,              stand,  0.0 0.0 0.0,             ,
-278.097 2662.29 295.125,    112 114,              stand,  0.0 0.0 0.0,             ,
-289.598 2731.38 295.725,    113 115,              stand,  0.0 0.0 0.0,             ,
-318.061 2892.59 329.889,    114 116,              stand,  0.0 0.0 0.0,             ,
-259.235 3027.34 360.849,    115 117 338,          stand,  0.0 0.0 0.0,             ,
-68.8957 3033.69 359.807,    116 118,              stand,  0.0 0.0 0.0,             ,
101.85 3022.45 360.096,      117 119,              stand,  0.0 0.0 0.0,             ,
272.799 3009.39 366.246,     118 120,              stand,  0.0 0.0 0.0,             ,
444.37 2998.06 347.851,      119 121,              stand,  0.0 0.0 0.0,             ,
613.168 2990.72 355.862,     120 342,              stand,  0.0 0.0 0.0,             ,
903.339 3156.33 369.2,       123 343,              stand,  0.0 0.0 0.0,             ,
925.035 3353.82 343.012,     122 124,              stand,  0.0 0.0 0.0,             ,
1014.44 3486.48 300.775,     123 125 345,          stand,  0.0 0.0 0.0,             ,
1078.39 3269.19 300.293,     124 346 347,          stand,  0.0 0.0 0.0,             ,
1056.64 2699.5 264.107,      11 18 127,            stand,  0.0 0.0 0.0,             ,
929.387 2561.5 264.817,      126 128 347,          stand,  0.0 0.0 0.0,             ,
763.846 2485.95 197.671,     127 129 295 335,      stand,  0.0 0.0 0.0,             ,
518.951 2399.94 151.38,      128 130 353,          stand,  0.0 0.0 0.0,             ,
350.204 2377.77 161.487,     129 131,              stand,  0.0 0.0 0.0,             ,
181.159 2359.87 167.254,     130 132 140 340,      stand,  0.0 0.0 0.0,             ,
13.5051 2343.93 165.114,     131 133,              stand,  0.0 0.0 0.0,             ,
-158.313 2330.03 155.132,    132 134,              stand,  0.0 0.0 0.0,             ,
-320.348 2289.76 164.389,    133 135 393,          stand,  0.0 0.0 0.0,             ,
-312.101 2097.59 151.695,    134 136,              stand,  0.0 0.0 0.0,             ,
-224.992 1948.23 140.84,     135 137 323 395,      stand,  0.0 0.0 0.0,             ,
-64.8472 1893.3 134.89,      136 138 323,          stand,  0.0 0.0 0.0,             ,
31.9002 2020.25 164.775,     137 139,              stand,  0.0 0.0 0.0,             ,
94.6361 2178.38 163.209,     138 140,              stand,  0.0 0.0 0.0,             ,
161.039 2328.71 166.578,     131 139,              stand,  0.0 0.0 0.0,             ,
-912.824 1410.23 135.125,    101 142,              stand,  0.0 0.0 0.0,             ,
-1062.9 1424.33 135.125,     141 143,              stand,  0.0 0.0 0.0,             ,
-1233.14 1425.1 135.125,     142 144,              stand,  0.0 0.0 0.0,             ,
-1302.96 1283.59 151.125,    143 145,              stand,  0.0 0.0 0.0,             ,
-1292.9 1125.6 215.125,      144 146,              stand,  0.0 0.0 0.0,             ,
