198
-331.287 915.787 -61.875,   24 167,              stand,  0.0 0.0 0.0,           ,
-1724.29 214.213 -61.875,   130 131,             stand,  0.0 0.0 0.0,           ,
-879.0 404.5 -55.875,       104 107,             stand,  0.0 0.0 0.0,           ,
1035.71 21.7868 -61.875,    59 60,               stand,  0.0 0.0 0.0,           ,
765.213 663.787 -55.875,    88 89,               stand,  0.0 0.0 0.0,           ,
1276.0 1047.5 -61.875,      13 78,               stand,  0.0 0.0 0.0,           ,
-823.787 22.7132 -55.875,   138 139,             stand,  0.0 0.0 0.0,           ,
-767.213 508.787 80.125,    115 116,             stand,  0.0 0.0 0.0,           ,
771.287 361.787 80.125,     148 155,             stand,  0.0 0.0 0.0,           ,
955.213 192.213 -55.875,    81 87,               stand,  0.0 0.0 0.0,           ,
1906.5 422.5 -61.875,       68 70,               stand,  0.0 0.0 0.0,           ,
-648.213 -259.787 -61.875,  39 176,              stand,  0.0 0.0 0.0,           ,
1655.09 864.975 -61.875,    13 75 79,            stand,  0.0 0.0 0.0,           ,
1453.78 861.48 -61.875,     5 12 14 153,         stand,  0.0 0.0 0.0,           ,
1282.55 852.254 -61.875,    13 15,               stand,  0.0 0.0 0.0,           ,
1113.56 844.958 -61.875,    14 16 83,            stand,  0.0 0.0 0.0,           ,
944.345 873.173 -61.875,    15 17,               stand,  0.0 0.0 0.0,           ,
773.027 869.622 -61.875,    16 18,               stand,  0.0 0.0 0.0,           ,
609.274 818.793 -61.875,    17 19,               stand,  0.0 0.0 0.0,           ,
442.129 783.392 -61.875,    18 20 170,           stand,  0.0 0.0 0.0,           ,
283.002 840.815 -61.875,    19 21,               stand,  0.0 0.0 0.0,           ,
123.798 904.458 -61.875,    20 22 166,           stand,  0.0 0.0 0.0,           ,
-41.3353 949.0 -61.875,     21 23,               stand,  0.0 0.0 0.0,           ,
-211.895 933.837 -61.875,   22 24,               stand,  0.0 0.0 0.0,           ,
-361.708 853.024 -61.875,   0 23 25 168,         stand,  0.0 0.0 0.0,           ,
-488.534 737.264 -61.875,   24 26,               stand,  0.0 0.0 0.0,           ,
-653.446 747.109 -61.875,   25 27 185,           stand,  0.0 0.0 0.0,           ,
-795.144 843.816 -61.875,   26 28,               stand,  0.0 0.0 0.0,           ,
-950.343 916.057 -61.875,   27 29,               stand,  0.0 0.0 0.0,           ,
-1119.98 938.417 -61.875,   28 30,               stand,  0.0 0.0 0.0,           ,
-1287.84 907.183 -61.875,   29 31 190,           stand,  0.0 0.0 0.0,           ,
-1411.49 794.121 -61.875,   30 32 106 189,       stand,  0.0 0.0 0.0,           ,
-1475.98 635.55 -61.875,    31 33,               stand,  0.0 0.0 0.0,           ,
-1513.74 468.898 -61.875,   32 34 129,           stand,  0.0 0.0 0.0,           ,
-1458.62 307.965 -61.875,   33 35 128 129,       stand,  0.0 0.0 0.0,           ,
-1354.0 172.113 -61.875,    34 36 109,           stand,  0.0 0.0 0.0,           ,
-1228.66 55.372 -61.875,    35 37,               stand,  0.0 0.0 0.0,           ,
-1084.01 -29.7082 -61.875,  36 38,               stand,  0.0 0.0 0.0,           ,
-928.544 -102.147 -61.875,  37 39,               stand,  0.0 0.0 0.0,           ,
-761.204 -135.548 -61.875,  11 38 40,            stand,  0.0 0.0 0.0,           ,
-590.128 -129.615 -59.875,  39 41 176,           stand,  0.0 0.0 0.0,           ,
-489.755 -100.194 -59.875,  40 42 177,           stand,  0.0 0.0 0.0,           ,
-386.985 -81.4394 -59.875,  41 43,               stand,  0.0 0.0 0.0,           ,
-247.509 -172.522 -67.875,  42 44 187,           stand,  0.0 0.0 0.0,           ,
-223.972 -337.878 -66.875,  43 45 100,           stand,  0.0 0.0 0.0,           ,
-194.439 -494.055 -67.875,  44 46,               stand,  0.0 0.0 0.0,           ,
-40.8839 -560.579 -74.375,  45 47,               stand,  0.0 0.0 0.0,           ,
127.23 -548.66 -74.375,     46 48,               stand,  0.0 0.0 0.0,           ,
191.143 -465.469 -67.875,   47 49,               stand,  0.0 0.0 0.0,           ,
194.014 -362.268 -67.875,   48 50 100,           stand,  0.0 0.0 0.0,           ,
199.022 -257.728 -67.875,   49 51,               stand,  0.0 0.0 0.0,           ,
241.476 -162.094 -67.875,   50 52,               stand,  0.0 0.0 0.0,           ,
327.96 -103.352 -67.875,    51 53,               stand,  0.0 0.0 0.0,           ,
