161
-3572.96 1234.16 -192.875,   25 27 27 28 123 124 126 147,      stand,  0.0 0.0 0.0,           ,
-2110.18 3377.92 -144.875,   11 12 22,                         stand,  0.0 0.0 0.0,           ,
-441.269 1695.16 -89.875,    69 70,                            stand,  0.0 0.0 0.0,           ,
-1376.5 801.0 -86.875,       95 96,                            stand,  0.0 0.0 0.0,           ,
100.213 2400.29 -140.875,    63 65,                            stand,  0.0 0.0 0.0,           ,
-17.6643 2108.92 -140.875,   66 67 68 71,                      stand,  0.0 0.0 0.0,           ,
-933.788 3706.64 -192.875,   7 9 10 148,                       stand,  0.0 0.0 0.0,           ,
-788.042 3810.23 -192.875,   6 10 87 88 89,                    stand,  0.0 0.0 0.0,           ,
-1898.45 3251.51 -144.875,   9 10 11 12,                       stand,  0.0 0.0 0.0,           ,
-1225.41 3172.16 -192.875,   6 8 45 46 48 148,                 stand,  0.0 0.0 0.0,           ,
-1359.83 3800.14 -192.875,   6 7 8 46 48 87 89 148,            stand,  0.0 0.0 0.0,           ,
-2246.37 3338.86 -144.875,   1 8 22,                           stand,  0.0 0.0 0.0,           ,
-2051.02 3083.36 -144.875,   1 8 13,                           stand,  0.0 0.0 0.0,           ,
-2202.44 2648.17 -144.875,   12 14 16,                         stand,  0.0 0.0 0.0,           ,
-2242.69 2495.85 -144.875,   13 15 16,                         stand,  0.0 0.0 0.0,           ,
-2139.22 2396.8 -88.875,     14 41,                            stand,  0.0 0.0 0.0,           ,
-2440.21 2452.5 -144.875,    13 14 17,                         stand,  0.0 0.0 0.0,           ,
-2817.19 2331.88 -144.875,   16 19,                            stand,  0.0 0.0 0.0,           ,
-3118.34 2365.95 -144.875,   19 20,                            stand,  0.0 0.0 0.0,           ,
-2941.01 2164.31 -144.875,   17 18 23,                         stand,  0.0 0.0 0.0,           ,
-2903.31 2774.87 -144.875,   18 21,                            stand,  0.0 0.0 0.0,           ,
-2851.04 3106.8 -144.875,    20 22,                            stand,  0.0 0.0 0.0,           ,
-2409.92 3180.08 -144.875,   1 11 21,                          stand,  0.0 0.0 0.0,           ,
-3041.43 2016.99 -159.981,   19 24 25,                         stand,  0.0 0.0 0.0,           ,
-3482.19 1655.92 -192.875,   23 27 28 126 135 147,             stand,  0.0 0.0 0.0,           ,
-2897.91 1526.51 -192.875,   0 23 26 27 28 29 135 147,         stand,  0.0 0.0 0.0,           ,
-3038.27 1208.84 -192.875,   25 28 135 147,                    stand,  0.0 0.0 0.0,           ,
-3431.26 1212.76 -192.875,   0 0 24 25 28 124 147,             stand,  0.0 0.0 0.0,           ,
-3489.18 1406.34 -192.875,   0 24 25 26 27 123 124 126 147,    stand,  0.0 0.0 0.0,           ,
-2502.25 1483.12 -192.875,   25 31 32 110 134,                 stand,  0.0 0.0 0.0,           ,
-2181.6 1181.88 -192.875,    31 32 110 111 134,                stand,  0.0 0.0 0.0,           ,
-2138.11 1548.48 -192.875,   29 30 34,                         stand,  0.0 0.0 0.0,           ,
-2399.51 1788.07 -192.875,   29 30 33 110,                     stand,  0.0 0.0 0.0,           ,
-2189.27 2037.05 -88.875,    32 35 41 42,                      stand,  0.0 0.0 0.0,           ,
-1938.49 1807.27 -88.875,    31 35 36 41,                      stand,  0.0 0.0 0.0,           ,
-1753.51 2021.65 -88.875,    33 34 36 37 42,                   stand,  0.0 0.0 0.0,           ,
-1507.93 2212.12 -88.875,    34 35 41 44,                      stand,  0.0 0.0 0.0,           ,
-1567.48 1820.98 -86.875,    35 38 39,                         stand,  0.0 0.0 0.0,           ,
-1512.78 1591.71 -86.875,    37 40,                            stand,  0.0 0.0 0.0,           ,
-1335.83 1773.43 -86.875,    37 40,                            stand,  0.0 0.0 0.0,           ,
-1242.96 1489.09 -86.875,    38 39 92,                         stand,  0.0 0.0 0.0,           ,
-1995.8 2251.86 -88.875,     15 33 34 36 42,                   stand,  0.0 0.0 0.0,           ,
-1775.39 2439.15 -88.875,    33 35 41 43,                      stand,  0.0 0.0 0.0,           ,
-1541.18 2648.85 -192.875,   42 45 54,                         stand,  0.0 0.0 0.0,           ,
-1307.61 2431.02 -192.875,   36 45 56,                         stand,  0.0 0.0 0.0,           ,
-1243.76 2799.07 -192.875,   9 43 44 54,                       stand,  0.0 0.0 0.0,           ,
-935.009 3181.1 -192.875,    9 10 48 148,                      stand,  0.0 0.0 0.0,           ,
-732.218 3356.2 -192.875,    48 49,                            stand,  0.0 0.0 0.0,           ,
-918.656 3371.32 -192.875,   9 10 46 47,                       stand,  0.0 0.0 0.0,           ,
-741.027 3242.64 -192.875,   47 50,                            stand,  0.0 0.0 0.0,           ,
-492.203 3090.43 -192.875,   49 51 60,                         stand,  0.0 0.0 0.0,           ,
-141.075 3085.53 -192.875,   50 52 53 61 76 80 81 89,          stand,  0.0 0.0 0.0,           ,
-359.853 2461.83 -192.875,   51 53 55 56 61,                   stand,  0.0 0.0 0.0,           ,
-367.205 2692.39 -192.875,   51 52 54 55 56 81 84,             stand,  0.0 0.0 0.0,           ,
-734.891 2690.61 -192.875,   43 45 53 55 56 57 61,             stand,  0.0 0.0 0.0,           ,
-445.949 2311.86 -192.875,   52 53 54 57 61,                   stand,  0.0 0.0 0.0,           ,
-963.557 2491.97 -192.875,   44 52 53 54,                      stand,  0.0 0.0 0.0,           ,
-645.145 2758.95 -192.875,   54 55 58 61,                      stand,  0.0 0.0 0.0,           ,
-620.412 2815.91 -161.375,   57 59,                            stand,  0.0 0.0 0.0,           ,
-592.098 2896.61 -192.875,   58 60,                            stand,  0.0 0.0 0.0,           ,
-631.355 2999.59 -192.875,   50 59,                            stand,  0.0 0.0 0.0,           ,
-434.828 2388.24 -192.875,   51 52 54 55 57 62,                stand,  0.0 0.0 0.0,           ,
-314.648 2344.46 -139.875,   61 63 64,                         stand,  0.0 0.0 0.0,           ,
-105.933 2311.42 -140.875,   4 62 64 66,                       stand,  0.0 0.0 0.0,           ,
-73.041 2517.49 -140.875,    62 63 65,                         stand,  0.0 0.0 0.0,           ,
207.147 2767.69 -140.875,    4 64 75,                          stand,  0.0 0.0 0.0,           ,
-147.83 2008.18 -140.875,    5 63 67 68 71,                    stand,  0.0 0.0 0.0,           ,
-208.085 2106.96 -140.875,   5 66 68 71,                       stand,  0.0 0.0 0.0,           ,
-330.703 1958.55 -140.875,   5 66 67 69 71,                    stand,  0.0 0.0 0.0,           ,
-489.623 1818.09 -89.875,    2 68 70,                          stand,  0.0 0.0 0.0,           ,
-521.059 1374.05 -86.875,    2 69 91 94,                       stand,  0.0 0.0 0.0,           ,
35.905 1989.51 -140.875,     5 66 67 68 72,                    stand,  0.0 0.0 0.0,           ,
474.58 2112.26 -140.875,     71 73,                            stand,  0.0 0.0 0.0,           ,
448.448 2238.8 -192.875,     72 74,                            stand,  0.0 0.0 0.0,           ,
471.168 2773.72 -192.875,    73 75 76 77 78 81,                stand,  0.0 0.0 0.0,           ,
351.256 2754.32 -192.875,    65 74 76 77,                      stand,  0.0 0.0 0.0,           ,
595.532 2740.41 -192.875,    51 74 75 77 78 81,                stand,  0.0 0.0 0.0,           ,
833.697 3117.72 -192.875,    74 75 76 78 79 80 84,             stand,  0.0 0.0 0.0,           ,
608.314 3370.28 -192.875,    74 76 77 79 80 82 84,             stand,  0.0 0.0 0.0,           ,
462.714 3436.58 -192.875,    77 78 81,                         stand,  0.0 0.0 0.0,           ,
-123.123 3354.75 -192.875,   51 77 78 82 84 87 89 158 160,     stand,  0.0 0.0 0.0,           ,
116.969 2993.35 -192.875,    51 53 74 76 79 82 84,             stand,  0.0 0.0 0.0,           ,
342.907 3396.79 -192.875,    78 80 81 83 84,                   stand,  0.0 0.0 0.0,           ,
340.75 3571.76 -192.875,     82 85,                            stand,  0.0 0.0 0.0,           ,
156.558 3302.88 -192.875,    53 77 78 80 81 82,                stand,  0.0 0.0 0.0,           ,
120.378 3619.48 -192.875,    83 86 90,                         stand,  0.0 0.0 0.0,           ,
24.1989 3764.62 -192.875,    85 87 90,                         stand,  0.0 0.0 0.0,           ,
-117.296 3759.25 -192.875,   7 10 80 86 88 89,                 stand,  0.0 0.0 0.0,           ,
-463.448 3715.54 -192.875,   7 87 89 160,                      stand,  0.0 0.0 0.0,           ,
-113.33 3827.92 -192.875,    7 10 51 80 87 88,                 stand,  0.0 0.0 0.0,           ,
251.562 3804.83 -192.875,    85 86,                            stand,  0.0 0.0 0.0,           ,
-913.872 1324.62 -86.875,    70 92,                            stand,  0.0 0.0 0.0,           ,
-1098.49 1341.64 -86.875,    40 91 93,                         stand,  0.0 0.0 0.0,           ,
-1100.2 824.244 -86.875,     92 94 95,                         stand,  0.0 0.0 0.0,           ,
-718.17 965.03 -86.875,      70 93,                            stand,  0.0 0.0 0.0,           ,
-1192.74 704.824 -89.875,    3 93 96,                          stand,  0.0 0.0 0.0,           ,
-1573.22 740.692 -89.8951,   3 95 97,                          stand,  0.0 0.0 0.0,           ,
-1734.51 555.723 -140.875,   96 98 115 116,                    stand,  0.0 0.0 0.0,           ,
-1744.32 148.935 -140.875,   97 99 115,                        stand,  0.0 0.0 0.0,           ,
-1868.94 -208.781 -140.875,  98 100,                           stand,  0.0 0.0 0.0,           ,
-1986.01 -186.617 -192.875,  99 101,                           stand,  0.0 0.0 0.0,           ,
-2455.29 -214.255 -192.875,  100 102 103 104,                  stand,  0.0 0.0 0.0,           ,
-2487.43 -365.605 -192.875,  101 103 104 131,                  stand,  0.0 0.0 0.0,           ,
-2499.83 -99.9483 -192.875,  101 102 104 119,                  stand,  0.0 0.0 0.0,           ,
-2837.82 -595.75 -192.875,   101 102 103 105 106 125,          stand,  0.0 0.0 0.0,           ,
-3109.96 -277.619 -192.875,  104 106 107 136,                  stand,  0.0 0.0 0.0,           ,
-3034.98 -95.9747 -192.875,  104 105 107 108 111 120 125 136,  stand,  0.0 0.0 0.0,           ,
-3127.66 374.137 -192.875,   105 106 108 123 125 131 136,      stand,  0.0 0.0 0.0,           ,
-2547.51 501.361 -192.875,   106 107 109 111 131,              stand,  0.0 0.0 0.0,           ,
-2081.69 718.151 -192.875,   108 110 112 134,                  stand,  0.0 0.0 0.0,           ,
-2524.13 1152.13 -192.875,   29 30 32 109 112 134,             stand,  0.0 0.0 0.0,           ,
-2457.9 646.271 -192.875,    30 106 108 134,                   stand,  0.0 0.0 0.0,           ,
-2121.04 666.035 -192.375,   109 110 113 134,                  stand,  0.0 0.0 0.0,           ,
-2083.84 562.591 -140.875,   112 114 118,                      stand,  0.0 0.0 0.0,           ,
-2012.1 373.997 -140.875,    113 115 117 118,                  stand,  0.0 0.0 0.0,           ,
-1725.35 382.645 -140.875,   97 98 114 116,                    stand,  0.0 0.0 0.0,           ,
-1867.01 279.253 -140.875,   97 115,                           stand,  0.0 0.0 0.0,           ,
-2154.04 127.896 -140.875,   114 119,                          stand,  0.0 0.0 0.0,           ,
-2252.08 326.279 -140.875,   113 114 119,                      stand,  0.0 0.0 0.0,           ,
-2506.41 40.9928 -140.875,   103 117 118,                      stand,  0.0 0.0 0.0,           ,
-3298.0 -71.832 -192.875,    106 121 122,                      stand,  0.0 0.0 0.0,           ,
-3529.81 -40.6397 -192.432,  120 122,                          stand,  0.0 0.0 0.0,           ,
-3506.47 194.916 -192.875,   120 121 123,                      stand,  0.0 0.0 0.0,           ,
-3501.6 388.318 -192.875,    0 28 107 122 124 126,             stand,  0.0 0.0 0.0,           ,
-3579.26 403.62 -192.875,    0 27 28 123 126,                  stand,  0.0 0.0 0.0,           ,
-3237.93 603.149 -192.875,   104 106 107 126,                  stand,  0.0 0.0 0.0,           ,
-3463.2 696.628 -192.875,    0 24 28 123 124 125,              stand,  0.0 0.0 0.0,           ,
-3109.0 1041.09 -192.875,    128 135,                          stand,  0.0 0.0 0.0,           ,
-2936.45 936.58 -192.875,    127 129 130,                      stand,  0.0 0.0 0.0,           ,
-2820.32 870.701 -192.875,   128 130 132,                      stand,  0.0 0.0 0.0,           ,
-2895.25 573.502 -192.875,   128 129 131,                      stand,  0.0 0.0 0.0,           ,
-2884.43 451.312 -192.875,   102 107 108 130,                  stand,  0.0 0.0 0.0,           ,
-2638.03 865.721 -192.875,   129 133,                          stand,  0.0 0.0 0.0,           ,
-2551.76 858.261 -161.375,   132 134,                          stand,  0.0 0.0 0.0,           ,
-2457.92 912.036 -192.875,   29 30 109 110 111 112 133,        stand,  0.0 0.0 0.0,           ,
-3113.09 1161.13 -192.875,   24 25 26 127,                     stand,  0.0 0.0 0.0,           ,
-3094.03 637.875 -192.875,   105 106 107 137,                  climb,  3.43201 93.8397 0.0,   ,
-3092.12 700.339 -63.875,    136 138,                          climb,  4.8822 87.3248 0.0,    ,
-3083.3 918.872 -63.875,     137 139 141 142,                  stand,  0.0 0.0 0.0,           ,
-2838.86 757.618 -63.875,    138 140,                          stand,  0.0 0.0 0.0,           ,
-2479.18 889.356 -63.875,    139 141,                          stand,  0.0 0.0 0.0,           ,
-2803.53 999.079 -63.875,    138 140,                          stand,  0.0 0.0 0.0,           ,
-3214.94 919.538 -47.875,    138 143,                          stand,  0.0 0.0 0.0,           ,
