246
30.6565 -1430.94 552.125,   1 38 193,           stand,  0.0 0.0 0.0,  ,
-11.0282 -1686.25 552.125,  0 2 36 209,         stand,  0.0 0.0 0.0,  ,
-21.7884 -1843.53 522.786,  1 3,                stand,  0.0 0.0 0.0,  ,
-24.3494 -1983.47 460.212,  2 4 200,            stand,  0.0 0.0 0.0,  ,
0.584733 -2152.91 456.031,  3 5,                stand,  0.0 0.0 0.0,  ,
12.4726 -2323.84 455.234,   4 6,                stand,  0.0 0.0 0.0,  ,
14.946 -2493.1 452.502,     5 7 207,            stand,  0.0 0.0 0.0,  ,
14.5742 -2631.04 456.125,   6 8 206,            stand,  0.0 0.0 0.0,  ,
68.1313 -2782.56 448.125,   7 9 196 197 221,    stand,  0.0 0.0 0.0,  ,
144.131 -2916.72 456.125,   8 10,               stand,  0.0 0.0 0.0,  ,
265.076 -3018.9 456.125,    9 11 17 221,        stand,  0.0 0.0 0.0,  ,
321.452 -3165.93 456.125,   10 12,              stand,  0.0 0.0 0.0,  ,
385.006 -3307.31 461.178,   11 13,              stand,  0.0 0.0 0.0,  ,
534.923 -3353.59 458.937,   12 14,              stand,  0.0 0.0 0.0,  ,
693.726 -3340.02 462.125,   13 15,              stand,  0.0 0.0 0.0,  ,
786.433 -3229.63 456.125,   14 16 245,          stand,  0.0 0.0 0.0,  ,
754.498 -3126.53 456.125,   15 17,              stand,  0.0 0.0 0.0,  ,
703.794 -3034.01 456.125,   10 16 18,           stand,  0.0 0.0 0.0,  ,
663.134 -2937.77 456.125,   17 19 245,          stand,  0.0 0.0 0.0,  ,
673.928 -2833.49 449.245,   18 20 196 205,      stand,  0.0 0.0 0.0,  ,
809.316 -2739.4 447.962,    19 21 169,          stand,  0.0 0.0 0.0,  ,
973.58 -2716.39 464.125,    20 22,              stand,  0.0 0.0 0.0,  ,
1014.0 -2618.7 464.125,     21 23,              stand,  0.0 0.0 0.0,  ,
1018.01 -2515.93 464.125,   22 24 168,          stand,  0.0 0.0 0.0,  ,
1021.69 -2411.07 464.125,   23 25,              stand,  0.0 0.0 0.0,  ,
954.33 -2336.55 464.125,    24 26,              stand,  0.0 0.0 0.0,  ,
780.76 -2335.59 448.125,    25 27 167 168,      stand,  0.0 0.0 0.0,  ,
631.406 -2290.9 456.125,    26 28,              stand,  0.0 0.0 0.0,  ,
628.657 -2185.37 456.125,   27 29,              stand,  0.0 0.0 0.0,  ,
628.743 -2081.43 456.125,   28 30,              stand,  0.0 0.0 0.0,  ,
628.92 -1976.7 456.125,     29 31,              stand,  0.0 0.0 0.0,  ,
630.172 -1875.09 474.209,   30 32,              stand,  0.0 0.0 0.0,  ,
631.766 -1773.54 500.003,   31 33 171,          stand,  0.0 0.0 0.0,  ,
633.872 -1667.34 504.125,   32 34,              stand,  0.0 0.0 0.0,  ,
635.574 -1566.0 504.125,    33 35 194,          stand,  0.0 0.0 0.0,  ,
574.134 -1558.03 522.765,   34 36,              stand,  0.0 0.0 0.0,  ,
481.155 -1558.36 552.125,   1 35 37,            stand,  0.0 0.0 0.0,  ,
463.183 -1492.43 552.125,   36 38,              stand,  0.0 0.0 0.0,  ,
329.075 -1419.11 552.125,   0 37 39,            stand,  0.0 0.0 0.0,  ,
213.242 -1319.23 552.125,   38 40 209,          stand,  0.0 0.0 0.0,  ,
326.536 -1036.05 552.125,   39 41 141 210 211,  stand,  0.0 0.0 0.0,  ,
637.569 -1013.85 552.125,   40 42,              stand,  0.0 0.0 0.0,  ,
794.626 -1014.73 552.125,   41 43 152,          stand,  0.0 0.0 0.0,  ,
951.385 -1016.57 552.125,   42 44,              stand,  0.0 0.0 0.0,  ,
1109.29 -1018.42 552.125,   43 45,              stand,  0.0 0.0 0.0,  ,
1223.95 -1020.07 552.125,   44 46 154,          stand,  0.0 0.0 0.0,  ,
1221.22 -808.465 552.125,   45 47,              stand,  0.0 0.0 0.0,  ,
1237.14 -652.989 552.125,   46 48 234,          stand,  0.0 0.0 0.0,  ,
