363
-796.213 1116.21 8.125,      256 257,              stand,  0.0 0.0 0.0,            ,
197.787 1307.71 8.125,       82 84,                stand,  0.0 0.0 0.0,            ,
-315.787 1348.21 8.125,      79 259,               stand,  0.0 0.0 0.0,            ,
-277.5 1416.0 144.125,       335 336,              stand,  0.0 0.0 0.0,            ,
-361.0 1142.0 144.125,       334 335,              stand,  0.0 0.0 0.0,            ,
-22.0 960.5 144.125,         333 334,              stand,  0.0 0.0 0.0,            ,
1118.5 1526.5 15.4393,       313 314,              stand,  0.0 0.0 0.0,            ,
1008.71 1118.21 14.4477,     93 95,                stand,  0.0 0.0 0.0,            ,
1313.79 630.713 8.125,       99 315,               stand,  0.0 0.0 0.0,            ,
1415.29 347.213 8.125,       101 327,              stand,  0.0 0.0 0.0,            ,
1076.79 -9.7868 8.125,       130 354,              stand,  0.0 0.0 0.0,            ,
1132.21 536.287 144.125,     343 344,              stand,  0.0 0.0 0.0,            ,
1020.79 -709.213 8.125,      115 135,              stand,  0.0 0.0 0.0,            ,
1629.29 -579.787 6.34917,    106 108,              stand,  0.0 0.0 0.0,            ,
548.0 -433.5 8.125,          123 284,              stand,  0.0 0.0 0.0,            ,
104.5 -1130.5 0.125,         138 139,              stand,  0.0 0.0 0.0,            ,
-780.0 -1624.5 7.125,        145 177,              stand,  0.0 0.0 0.0,            ,
-1064.29 -1362.71 7.125,     191 193,              stand,  0.0 0.0 0.0,            ,
-1789.5 -1697.0 8.125,       53 150,               stand,  0.0 0.0 0.0,            ,
-1217.5 -1200.0 7.125,       57 209,               stand,  0.0 0.0 0.0,            ,
-1842.5 -1081.0 44.125,      212 213 358,          stand,  0.0 0.0 0.0,            ,
-919.0 -578.5 8.125,         164 166,              stand,  0.0 0.0 0.0,            ,
-1555.5 -458.0 8.125,        222 223,              stand,  0.0 0.0 0.0,            ,
-1578.5 -167.5 8.125,        239 240,              stand,  0.0 0.0 0.0,            ,
-1275.71 -89.7868 8.125,     236 237,              stand,  0.0 0.0 0.0,            ,
-1061.79 504.287 8.125,      70 233,               stand,  0.0 0.0 0.0,            ,
-1176.79 1074.29 8.125,      73 248,               stand,  0.0 0.0 0.0,            ,
-764.787 1424.79 8.125,      78 341,               stand,  0.0 0.0 0.0,            ,
-423.5 896.0 8.125,          323 324,              stand,  0.0 0.0 0.0,            ,
