364
-647.097 -1790.15 208.125,   65 263 274,        stand,  0.0 0.0 0.0,           ,
-1200.7 -1029.29 200.125,    59 60 336,         stand,  0.0 0.0 0.0,           ,
-1335.4 -546.681 202.75,     26 58,             stand,  0.0 0.0 0.0,           ,
-252.021 -1722.59 215.125,   66 67,             stand,  0.0 0.0 0.0,           ,
286.062 -1417.42 124.197,    70 71,             stand,  0.0 0.0 0.0,           ,
749.797 -1434.79 104.125,    73 74,             stand,  0.0 0.0 0.0,           ,
2337.88 618.182 208.85,      20 92,             stand,  0.0 0.0 0.0,           ,
1747.39 1369.24 208.125,     98 152 155,        stand,  0.0 0.0 0.0,           ,
691.251 2036.07 283.125,     105 118,           stand,  0.0 0.0 0.0,           ,
-682.864 950.236 168.125,    168 169,           stand,  0.0 0.0 0.0,           ,
-783.0 -578.311 160.625,     57 226,            stand,  0.0 0.0 0.0,           ,
428.238 1016.1 106.125,      311 312,           stand,  0.0 0.0 0.0,           ,
1058.24 1317.77 282.125,     125 135,           stand,  0.0 0.0 0.0,           ,
681.572 -603.607 121.125,    294 297,           stand,  0.0 0.0 0.0,           ,
1357.74 -1121.94 104.125,    77 79,             stand,  0.0 0.0 0.0,           ,
1843.92 -890.664 104.125,    80 204,            stand,  0.0 0.0 0.0,           ,
1480.28 1741.43 257.553,     100 150 155 321,   stand,  0.0 0.0 0.0,           ,
349.982 1825.22 281.763,     36 123 163,        stand,  0.0 0.0 0.0,           ,
506.306 -1636.82 112.023,    72 264,            stand,  0.0 0.0 0.0,           ,
435.238 2039.48 283.316,     34 37,             stand,  0.0 0.0 0.0,           ,
2205.74 910.288 208.125,     6 154,             stand,  0.0 0.0 0.0,           ,
1628.28 1059.31 207.258,     96 161,            stand,  0.0 0.0 0.0,           ,
1261.62 1315.66 206.125,     148 149,           stand,  0.0 0.0 0.0,           ,
-128.884 1586.29 252.783,    41 162,            stand,  0.0 0.0 0.0,           ,
-979.719 -1136.0 200.125,    61 62,             stand,  0.0 0.0 0.0,           ,
-725.222 -1445.08 206.966,   62 274,            stand,  0.0 0.0 0.0,           ,
-1339.6 -477.611 204.333,    2 184,             stand,  0.0 0.0 0.0,           ,
-360.097 2764.15 359.313,    28 106 109,        stand,  0.0 0.0 0.0,           ,
-105.257 2765.72 324.129,    27 29,             stand,  0.0 0.0 0.0,           ,
54.7968 2767.65 299.783,     28 30 111 117,     stand,  0.0 0.0 0.0,           ,
218.296 2747.33 280.826,     29 31,             stand,  0.0 0.0 0.0,           ,
359.825 2657.05 279.125,     30 32,             stand,  0.0 0.0 0.0,           ,
437.29 2506.41 279.125,      31 33 112,         stand,  0.0 0.0 0.0,           ,
493.894 2352.4 279.125,      32 34 113,         stand,  0.0 0.0 0.0,           ,
537.783 2197.17 279.125,     19 33 35 118,      stand,  0.0 0.0 0.0,           ,
558.895 2034.55 279.125,     34 36,             stand,  0.0 0.0 0.0,           ,
558.559 1875.09 279.125,     17 35 37,          stand,  0.0 0.0 0.0,           ,
484.437 1732.95 278.814,     19 36 38 105,      stand,  0.0 0.0 0.0,           ,
393.053 1694.76 276.718,     37 39,             stand,  0.0 0.0 0.0,           ,
294.394 1669.79 273.515,     38 40,             stand,  0.0 0.0 0.0,           ,
200.633 1635.03 265.541,     39 41 164,         stand,  0.0 0.0 0.0,           ,
84.5633 1530.51 241.265,     23 40 42,          stand,  0.0 0.0 0.0,           ,
20.9544 1386.81 211.335,     41 43,             stand,  0.0 0.0 0.0,           ,
-6.21799 1228.6 167.115,     42 44,             stand,  0.0 0.0 0.0,           ,
13.7766 1074.24 131.271,     43 45 165,         stand,  0.0 0.0 0.0,           ,
46.9319 914.915 114.867,     44 46 311,         stand,  0.0 0.0 0.0,           ,
61.3002 752.618 110.379,     45 47 285,         stand,  0.0 0.0 0.0,           ,
54.7541 591.401 112.125,     46 48 284 293,     stand,  0.0 0.0 0.0,           ,
28.5375 433.516 106.513,     47 49,             stand,  0.0 0.0 0.0,           ,
-29.9987 282.154 86.767,     48 50,             stand,  0.0 0.0 0.0,           ,
-142.958 166.515 66.7501,    49 51 304 305,     stand,  0.0 0.0 0.0,           ,
-299.479 129.715 65.709,     50 52 282,         stand,  0.0 0.0 0.0,           ,
-458.037 94.6235 77.8962,    51 53 305,         stand,  0.0 0.0 0.0,           ,
-585.139 3.78475 103.183,    52 54,             stand,  0.0 0.0 0.0,           ,
-643.784 -147.466 123.799,   53 55,             stand,  0.0 0.0 0.0,           ,
-668.531 -307.037 141.397,   54 56,             stand,  0.0 0.0 0.0,           ,
-732.818 -454.176 152.106,   55 57 225,         stand,  0.0 0.0 0.0,           ,
-843.224 -571.548 165.428,   10 56 58,          stand,  0.0 0.0 0.0,           ,
-961.273 -685.193 185.318,   2 57 59,           stand,  0.0 0.0 0.0,           ,
-1020.77 -832.5 197.103,     1 58 60,           stand,  0.0 0.0 0.0,           ,
-998.165 -991.913 200.125,   1 59 61,           stand,  0.0 0.0 0.0,           ,
-905.887 -1126.23 200.125,   24 60 62,          stand,  0.0 0.0 0.0,           ,
-793.08 -1241.61 199.35,     24 25 61 63,       stand,  0.0 0.0 0.0,           ,
-677.064 -1356.38 200.137,   62 64,             stand,  0.0 0.0 0.0,           ,
-561.269 -1470.41 206.897,   63 65,             stand,  0.0 0.0 0.0,           ,
-439.574 -1576.35 204.125,   0 64 66 202,       stand,  0.0 0.0 0.0,           ,
-291.926 -1636.82 208.125,   3 65 67 349,       stand,  0.0 0.0 0.0,           ,
-133.14 -1616.75 203.247,    3 66 68 273 350,   stand,  0.0 0.0 0.0,           ,
27.8824 -1597.59 179.399,    67 69,             stand,  0.0 0.0 0.0,           ,
186.603 -1579.65 148.203,    68 70,             stand,  0.0 0.0 0.0,           ,
279.086 -1552.71 128.221,    4 69 71,           stand,  0.0 0.0 0.0,           ,
395.578 -1392.48 108.889,    4 70 72,           stand,  0.0 0.0 0.0,           ,
493.639 -1377.64 104.057,    18 71 73,          stand,  0.0 0.0 0.0,           ,
654.894 -1399.29 104.057,    5 72 74,           stand,  0.0 0.0 0.0,           ,
810.532 -1375.47 104.075,    5 73 75,           stand,  0.0 0.0 0.0,           ,
956.17 -1299.76 102.688,     74 76,             stand,  0.0 0.0 0.0,           ,
1093.31 -1214.79 104.125,    75 77,             stand,  0.0 0.0 0.0,           ,
1228.49 -1123.72 104.125,    14 76 78,          stand,  0.0 0.0 0.0,           ,
1359.29 -1029.62 101.227,    77 79,             stand,  0.0 0.0 0.0,           ,
1484.82 -924.402 104.125,    14 78 80,          stand,  0.0 0.0 0.0,           ,
1580.08 -792.277 104.125,    15 79 81,          stand,  0.0 0.0 0.0,           ,
1601.77 -697.525 104.125,    80 82,             stand,  0.0 0.0 0.0,           ,
1595.58 -601.18 104.125,     81 83,             stand,  0.0 0.0 0.0,           ,
1575.29 -503.976 104.125,    82 84 213,         stand,  0.0 0.0 0.0,           ,
1572.85 -400.594 104.478,    83 358,            stand,  0.0 0.0 0.0,           ,
1604.95 -80.5554 117.276,    86 358,            stand,  0.0 0.0 0.0,           ,
1664.16 67.3946 116.999,     85 87,             stand,  0.0 0.0 0.0,           ,
1770.9 188.92 141.433,       86 88,             stand,  0.0 0.0 0.0,           ,
1815.22 264.022 176.125,     87 89,             stand,  0.0 0.0 0.0,           ,
1835.86 347.052 208.125,     88 90,             stand,  0.0 0.0 0.0,           ,
1849.73 426.408 208.125,     89 91 156,         stand,  0.0 0.0 0.0,           ,
2037.02 482.537 211.058,     90 92 157,         stand,  0.0 0.0 0.0,           ,
2148.54 598.601 204.125,     6 91 93 306,       stand,  0.0 0.0 0.0,           ,
2158.3 740.509 204.318,      92 94,             stand,  0.0 0.0 0.0,           ,
2045.03 847.753 214.741,     93 95,             stand,  0.0 0.0 0.0,           ,
1909.09 938.058 204.125,     94 96,             stand,  0.0 0.0 0.0,           ,
1791.48 1049.11 204.125,     21 95 97 152 156,  stand,  0.0 0.0 0.0,           ,
