138
5558.07 276.867 2.125,      1 62 63 65 72,                   stand,  ,  ,
5682.22 501.98 7.51133,     0 2 42 43 62,                    stand,  ,  ,
5890.74 1017.45 32.2673,    1 3 4 7 33,                      stand,  ,  ,
6076.59 1005.82 24.6923,    2 4 122 126,                     stand,  ,  ,
6025.51 1252.49 13.6878,    2 3 5 27,                        stand,  ,  ,
6004.95 1664.68 21.7474,    4 6 7,                           stand,  ,  ,
5898.3 2146.54 17.984,      5 8 27,                          stand,  ,  ,
5703.48 1334.42 10.8435,    2 5 8 27 33 43,                  stand,  ,  ,
5439.69 1346.16 -19.7718,   6 7 9 27 127,                    stand,  ,  ,
5120.14 1420.72 -18.7604,   8 10 36,                         stand,  ,  ,
4823.41 1447.11 -19.0865,   9 11 23 32 35,                   stand,  ,  ,
4497.01 1359.82 85.3466,    10 12 12 29 31 32 36,            stand,  ,  ,
4209.0 1381.57 -6.11538,    11 11 13 29 30 31 37,            stand,  ,  ,
3786.1 1521.5 -19.875,      12 14 18 30 31 39 40,            stand,  ,  ,
3384.45 1567.63 -2.50394,   13 15 16 18,                     stand,  ,  ,
3092.5 1572.2 -17.2813,     14 16 99 101 129,                stand,  ,  ,
3223.91 1268.01 -10.1584,   14 15 90 107 110,                stand,  ,  ,
3162.11 2117.35 18.7318,    18 19 24 100 101 129,            stand,  ,  ,
3569.94 2131.06 27.5482,    13 14 17 19 20 24 40,            stand,  ,  ,
3662.52 2282.68 9.22789,    17 18 100 128,                   stand,  ,  ,
3987.98 2151.32 29.9899,    18 21 24 25,                     stand,  ,  ,
4158.8 2252.83 10.4854,     20 22 128,                       stand,  ,  ,
4605.12 2135.98 13.0578,    21 23 25,                        stand,  ,  ,
4818.97 1900.76 -25.409,    10 22 26 27 32,                  stand,  ,  ,
3999.13 1944.32 -3.59326,   17 18 20 25 30,                  stand,  ,  ,
4187.94 2142.06 34.125,     20 22 24 26,                     stand,  ,  ,
4408.57 1954.25 3.95194,    23 25 28,                        stand,  ,  ,
5412.95 1894.56 -15.0535,   4 6 7 8 23 127,                  stand,  ,  ,
4592.02 1724.87 -25.1031,   26 29 30 32,                     stand,  ,  ,
4323.85 1603.73 -6.44125,   11 12 28 30,                     stand,  ,  ,
