287
-2240.22 2708.06 -66.4859,  1 5,                                 stand,  0.0 0.0 0.0,          ,
-2148.83 2549.75 -62.1623,  0 2,                                 stand,  0.0 0.0 0.0,          ,
-1953.78 2556.0 -60.5159,   1 3 255,                             stand,  0.0 0.0 0.0,          ,
-1720.56 2546.72 -58.0809,  2 4,                                 stand,  0.0 0.0 0.0,          ,
-1705.74 2957.84 -55.6295,  3 5,                                 stand,  0.0 0.0 0.0,          ,
-2134.72 2984.97 -63.1904,  0 4 6,                               stand,  0.0 0.0 0.0,          ,
-2068.67 3149.14 -59.391,   5 7 8,                               stand,  0.0 0.0 0.0,          ,
-1781.81 3118.84 -51.6793,  6 9 14,                              stand,  0.0 0.0 0.0,          ,
-1946.25 3591.85 -62.0203,  6 10 258,                            stand,  0.0 0.0 0.0,          ,
-1552.98 3129.33 -31.3414,  7 10 22 23,                          stand,  0.0 0.0 0.0,          ,
-1618.56 3500.05 -29.0007,  8 9 11 13 14,                        stand,  0.0 0.0 0.0,          ,
-1089.41 3703.91 -39.6748,  10 12 15,                            stand,  0.0 0.0 0.0,          ,
-1588.07 3762.91 -43.3033,  11 13,                               stand,  0.0 0.0 0.0,          ,
-1704.98 3711.82 -42.4629,  10 12 14 258,                        stand,  0.0 0.0 0.0,          ,
-1741.58 3415.64 -41.6075,  7 10 13 258,                         stand,  0.0 0.0 0.0,          ,
-879.134 3570.93 -32.1986,  11 17 35 36,                         stand,  0.0 0.0 0.0,          ,
-1098.2 3244.97 -21.975,    18 19 31,                            stand,  0.0 0.0 0.0,          ,
-1122.14 3512.86 -21.975,   15 18,                               stand,  0.0 0.0 0.0,          ,
-1157.32 3377.05 -21.975,   16 17,                               stand,  0.0 0.0 0.0,          ,
-1111.29 3157.6 -21.975,    16 20 25,                            stand,  0.0 0.0 0.0,          ,
-1285.7 3134.02 -21.975,    19 21 22,                            stand,  0.0 0.0 0.0,          ,
-1394.48 3388.56 -21.975,   20,                                  stand,  0.0 0.0 0.0,          ,
-1452.87 3075.39 -30.5512,  9 20 23 24,                          stand,  0.0 0.0 0.0,          ,
-1485.67 2769.97 -32.9369,  9 22 24 32,                          stand,  0.0 0.0 0.0,          ,
-1382.31 2888.89 -31.4767,  22 23 33,                            stand,  0.0 0.0 0.0,          ,
-909.497 3215.91 106.025,   19 26,                               stand,  0.0 0.0 0.0,          ,
-954.276 3322.84 146.025,   25 27,                               stand,  0.0 0.0 0.0,          ,
-1056.76 3309.07 146.025,   26 28,                               stand,  0.0 0.0 0.0,          ,
-1145.48 3398.87 146.025,   27 29,                               stand,  0.0 0.0 0.0,          ,
-1263.26 3358.61 146.025,   28 30,                               stand,  0.0 0.0 0.0,          ,
-1182.06 3158.87 146.025,   29 286,                              stand,  0.0 0.0 0.0,          ,
-893.631 3216.13 -21.975,   16,                                  stand,  0.0 0.0 0.0,          ,
-1378.98 2631.98 -39.875,   23 46 48 52,                         stand,  0.0 0.0 0.0,          ,
-1167.55 2964.42 -31.7779,  24 34 285,                           stand,  0.0 0.0 0.0,          ,
-910.729 3095.82 -32.6868,  33 35 43 44 285,                     stand,  0.0 0.0 0.0,          ,
-669.223 3273.51 -36.0478,  15 34 36 37 41,                      stand,  0.0 0.0 0.0,          ,
-512.874 3445.59 -48.3834,  15 35 40 41,                         stand,  0.0 0.0 0.0,          ,
-449.022 2984.44 -36.0511,  35 38 41,                            stand,  0.0 0.0 0.0,          ,
-299.342 2728.49 -39.4414,  37 39 41 42,                         stand,  0.0 0.0 0.0,          ,
40.6951 2822.28 -30.2943,   38 257,                              stand,  0.0 0.0 0.0,          ,
-41.2741 3182.61 -27.9041,  36 41 257,                           stand,  0.0 0.0 0.0,          ,
-261.68 3115.44 -64.7417,   35 36 37 38 40,                      stand,  0.0 0.0 0.0,          ,
-465.623 2618.35 -39.876,   38 43 45 47 94,                      stand,  0.0 0.0 0.0,          ,
-627.904 2941.49 -39.876,   34 42 44,                            stand,  0.0 0.0 0.0,          ,
-753.711 2875.24 -39.875,   34 43 45,                            stand,  0.0 0.0 0.0,          ,
-809.222 2686.35 -39.875,   42 44 46 47,                         stand,  0.0 0.0 0.0,          ,
-1082.51 2754.9 -39.875,    32 45 48,                            stand,  0.0 0.0 0.0,          ,
-823.404 2278.04 -39.875,   42 45 48 75 91,                      stand,  0.0 0.0 0.0,          ,
-1122.01 2435.22 -39.875,   32 46 47 49 74,                      stand,  0.0 0.0 0.0,          ,
-1394.98 2264.27 -39.875,   48 50 52 73 74,                      stand,  0.0 0.0 0.0,          ,
-1710.62 2267.23 -47.7957,  49 51 52 73 255 256,                 stand,  0.0 0.0 0.0,          ,
-1713.38 2415.43 -43.9655,  50 52 73 255 256,                    stand,  0.0 0.0 0.0,          ,
-1580.78 2441.51 -37.4878,  32 49 50 51 73,                      stand,  0.0 0.0 0.0,          ,
-1946.72 2160.22 -63.875,   54 55 256,                           stand,  0.0 0.0 0.0,          ,
-1734.27 2139.15 -60.9915,  53,                                  stand,  0.0 0.0 0.0,          ,
-2151.95 2175.39 -63.875,   53 56,                               stand,  0.0 0.0 0.0,          ,
-2168.22 2036.9 -63.875,    55 57 60,                            stand,  0.0 0.0 0.0,          ,
-2092.88 1690.62 -62.562,   56 58,                               stand,  0.0 0.0 0.0,          ,
-1996.67 1619.99 -53.275,   57 59 68 69,                         stand,  0.0 0.0 0.0,          ,
-1986.61 1896.6 -55.875,    58 60 62,                            stand,  0.0 0.0 0.0,          ,
-1995.78 2030.34 -55.875,   56 59 61,                            stand,  0.0 0.0 0.0,          ,
-1765.23 2036.1 -55.875,    60 62,                               stand,  0.0 0.0 0.0,          ,
-1753.21 1896.39 -55.875,   59 61 63,                            stand,  0.0 0.0 0.0,          ,
-1713.35 1760.97 -39.875,   62 64,                               stand,  0.0 0.0 0.0,          ,
-1978.55 1765.41 80.125,    63 65,                               stand,  0.0 0.0 0.0,          ,
-1981.61 1919.78 80.125,    64 66 67,                            stand,  0.0 0.0 0.0,          ,
-1979.37 2144.29 80.125,    65,                                  stand,  0.0 0.0 0.0,          ,
-1695.54 1949.21 80.125,    65,                                  stand,  0.0 0.0 0.0,          ,
-1733.43 1674.3 -37.5198,   58,                                  stand,  0.0 0.0 0.0,          ,
-1959.9 1440.45 -43.9835,   58 70 71 259,                        stand,  0.0 0.0 0.0,          ,
