285
873.717 -1243.53 5.00716,    1 21 22,                                  stand,  ,  ,
508.31 -1257.81 5.849,       0 2 18 21,                                stand,  ,  ,
171.575 -1257.8 16.0482,     1 3 6,                                    stand,  ,  ,
-131.61 -859.434 58.2854,    2 4 6 19,                                 stand,  ,  ,
-345.72 -481.742 85.8564,    3 5 19,                                   stand,  ,  ,
-382.054 -133.077 89.7042,   4 29 30 31,                               stand,  ,  ,
273.468 -808.613 53.5687,    2 3 7 17 18,                              stand,  ,  ,
278.756 -499.715 77.9345,    6 8 16 17 18 19 20,                       stand,  ,  ,
366.36 -69.0645 18.182,      7 9 15 16 17 28,                          stand,  ,  ,
422.348 314.615 -8.08688,    8 10 11 12 13 14 16 28 41,                stand,  ,  ,
414.521 765.525 -10.4957,    9 11 13 44,                               stand,  ,  ,
567.282 775.656 -9.71986,    9 10 12 62 63 70,                         stand,  ,  ,
563.341 684.79 -11.0692,     9 11 13 44 242,                           stand,  ,  ,
555.313 494.538 -8.10029,    9 10 12 14,                               stand,  ,  ,
546.402 252.749 -7.87499,    9 13 15 26,                               stand,  ,  ,
526.699 47.1167 0.27956,     8 14 16 25,                               stand,  ,  ,
463.853 -194.209 40.2273,    7 8 9 15 17 24 27,                        stand,  ,  ,
423.026 -442.219 76.2029,    6 7 8 16 18 21 27,                        stand,  ,  ,
430.131 -756.829 64.3461,    1 6 7 17 21,                              stand,  ,  ,
-28.369 -550.598 109.288,    3 4 7 20,                                 stand,  ,  ,
-33.0847 -295.914 99.4415,   7 19 28 29,                               stand,  ,  ,
650.423 -887.968 5.15212,    0 1 17 18 22 27,                          stand,  ,  ,
958.138 -645.755 -7.875,     0 21 23 27,                               stand,  ,  ,
957.346 -161.631 0.124999,   22 24 27,                                 stand,  ,  ,
643.022 -194.73 48.125,      16 23 25 27,                              stand,  ,  ,
604.587 51.1742 6.21808,     15 24 26,                                 stand,  ,  ,
626.763 192.684 0.00489363,  14 25 263,                                stand,  ,  ,
652.494 -375.039 43.5602,    16 17 21 22 23 24,                        stand,  ,  ,
106.708 141.908 8.125,       8 9 20 29 38 39,                          stand,  ,  ,
-224.822 136.584 8.125,      5 20 28 30 38 39,                         stand,  ,  ,
-473.621 160.158 9.62108,    5 29 31 37 38,                            stand,  ,  ,
-745.654 307.589 32.125,     5 30 32,                                  stand,  ,  ,
-841.719 529.933 8.9802,     31 33,                                    stand,  ,  ,
-786.95 832.354 0.124999,    32 34 54,                                 stand,  ,  ,
-513.165 1160.65 0.124999,   33 35 55,                                 stand,  ,  ,
-385.548 1556.6 0.124998,    34 36 55 58,                              stand,  ,  ,
-456.2 1695.12 0.124998,     35 57 58 172,                             stand,  ,  ,
-373.912 409.522 0.125002,   30 38 53,                                 stand,  ,  ,
-180.905 423.731 0.125002,   28 29 30 37 39 53 56,                     stand,  ,  ,
-14.4129 435.896 0.124997,   28 29 38 40,                              stand,  ,  ,
112.616 434.757 8.125,       39 41 42,                                 stand,  ,  ,
216.611 422.437 8.125,       9 40,                                     stand,  ,  ,
130.769 594.203 0.125,       40 43,                                    stand,  ,  ,
220.762 704.347 0.125,       42 44 45,                                 stand,  ,  ,
243.071 785.916 -0.809666,   10 12 43 45 52 62 63,                     stand,  ,  ,
258.814 680.215 0.124999,    43 44 46,                                 stand,  ,  ,
262.396 510.151 80.125,      45 47,                                    stand,  ,  ,
112.894 515.398 144.125,     46 48 50,                                 stand,  ,  ,
122.374 699.878 144.125,     47 49,                                    stand,  ,  ,
261.739 688.749 144.125,     48,                                       stand,  ,  ,
19.5231 518.375 144.125,     47 51,                                    stand,  ,  ,
-5.32674 668.159 144.125,    50,                                       stand,  ,  ,
55.9945 782.928 0.125001,    44 53 59 61,                              stand,  ,  ,
-187.063 781.561 0.125001,   37 38 52 54 55 56,                        stand,  ,  ,
-367.988 788.666 0.125001,   33 53 55 56,                              stand,  ,  ,
-310.271 1087.8 -7.875,      34 35 53 54 59 61,                        stand,  ,  ,
-343.257 609.212 0.124998,   38 53 54,                                 stand,  ,  ,
-256.716 1734.9 -7.87498,    36 58,                                    stand,  ,  ,
-136.146 1430.28 0.125002,   35 36 57 59,                              stand,  ,  ,
-112.829 1242.99 0.125,      52 55 58 60 61,                           stand,  ,  ,
80.6442 1257.01 0.125,       59 61 129,                                stand,  ,  ,
164.297 1041.34 0.125,       52 55 59 60 62,                           stand,  ,  ,
338.727 999.84 -7.875,       11 44 61 63 267,                          stand,  ,  ,
607.297 986.147 -11.0845,    11 44 62 64 70 231,                       stand,  ,  ,
907.954 990.053 -15.0371,    63 65 68 69 70,                           stand,  ,  ,
1216.03 990.481 -31.1326,    64 66 67 68 69 104,                       stand,  ,  ,
1451.81 1010.73 -31.875,     65 67 68 73 88 89 90,                     stand,  ,  ,
1406.82 838.814 -31.875,     65 66 68 71 72 73,                        stand,  ,  ,
1192.42 829.828 -31.2391,    64 65 66 67 69,                           stand,  ,  ,
959.76 824.433 -15.8058,     64 65 68 70,                              stand,  ,  ,
738.865 841.104 -9.49058,    11 63 64 69,                              stand,  ,  ,
1397.65 613.397 -24.0867,    67 72 73 74 83,                           stand,  ,  ,
1472.32 608.433 -23.8812,    67 71 73 74 83,                           stand,  ,  ,
1509.01 794.791 -31.875,     66 67 71 72 85 88,                        stand,  ,  ,
1390.67 433.171 -23.875,     71 72 75 78 81 82 83,                     stand,  ,  ,
1175.16 383.38 -11.8395,     74 76 82,                                 stand,  ,  ,
1131.45 271.41 -15.875,      75 77,                                    stand,  ,  ,
1164.95 201.3 -16.3309,      76 78 80,                                 stand,  ,  ,
1366.39 198.626 -21.7832,    74 77 79 81,                              stand,  ,  ,
1365.21 63.5931 -20.3833,    78 80 82 84,                              stand,  ,  ,
1146.48 -13.6524 -15.875,    77 79 84,                                 stand,  ,  ,
1456.26 104.825 -22.6385,    74 78 82 84,                              stand,  ,  ,
1479.62 240.873 -23.6107,    74 75 79 81 83,                           stand,  ,  ,
1474.63 436.833 -23.875,     71 72 74 82,                              stand,  ,  ,
1339.82 -26.8521 -15.5235,   79 80 81,                                 stand,  ,  ,
1769.37 778.179 -23.875,     73 86 88,                                 stand,  ,  ,
1783.71 970.961 -23.875,     85 87 88 89,                              stand,  ,  ,
1771.86 1211.39 -23.875,     86 89 90 91,                              stand,  ,  ,
1579.16 948.149 -31.875,     66 73 85 86 89 90,                        stand,  ,  ,
1599.69 1159.25 -31.875,     66 86 87 88 90 91 101,                    stand,  ,  ,
1459.46 1358.59 -24.2751,    66 87 88 89 92 101 105,                   stand,  ,  ,
1634.35 1509.15 -31.875,     87 89 92 100,                             stand,  ,  ,
1564.05 1583.81 -31.875,     90 91 93 100 101,                         stand,  ,  ,
1452.58 1748.85 -23.875,     92 94 95 100 101,                         stand,  ,  ,
1471.91 1884.78 -31.875,     93 95 100 117,                            stand,  ,  ,
1602.33 2011.11 -31.875,     93 94 96 98 100 118,                      stand,  ,  ,
