206
3706.53 906.767 0.125,      1 52 56,                  stand,  0.0 0.0 0.0,  ,
3523.4 900.327 0.125,       0 2 51,                   stand,  0.0 0.0 0.0,  ,
3221.29 926.572 0.125,      1 3 43 50,                stand,  0.0 0.0 0.0,  ,
3042.47 922.914 0.184251,   2 4 49 50,                stand,  0.0 0.0 0.0,  ,
2648.01 967.89 -1.14396,    3 5 49,                   stand,  0.0 0.0 0.0,  ,
2488.79 941.3 0.124999,     4 6,                      stand,  0.0 0.0 0.0,  ,
2484.68 555.62 0.125,       5 7 48,                   stand,  0.0 0.0 0.0,  ,
2414.4 453.031 0.125,       6 8,                      stand,  0.0 0.0 0.0,  ,
2411.51 314.16 -47.875,     7 9,                      stand,  0.0 0.0 0.0,  ,
2410.07 6.28816 -47.875,    8 10,                     stand,  0.0 0.0 0.0,  ,
2414.29 -94.7458 -87.875,   9 11,                     stand,  0.0 0.0 0.0,  ,
2365.98 -373.339 -95.875,   10 12 13 14,              stand,  0.0 0.0 0.0,  ,
2228.09 -462.291 -95.875,   11 13 14 193,             stand,  0.0 0.0 0.0,  ,
2499.68 -531.275 -95.875,   11 12 14 15,              stand,  0.0 0.0 0.0,  ,
2553.31 -454.123 -95.875,   11 12 13 36,              stand,  0.0 0.0 0.0,  ,
2459.36 -762.435 -95.875,   13 16,                    stand,  0.0 0.0 0.0,  ,
2628.76 -1108.49 -95.875,   15 17 23,                 stand,  0.0 0.0 0.0,  ,
2488.34 -1209.34 -95.875,   16 18 21 22,              stand,  0.0 0.0 0.0,  ,
2325.11 -1214.27 -95.875,   17 19,                    stand,  0.0 0.0 0.0,  ,
2238.97 -1360.79 -95.875,   18 20,                    stand,  0.0 0.0 0.0,  ,
2269.83 -1540.31 -95.875,   19 21,                    stand,  0.0 0.0 0.0,  ,
2584.49 -1548.53 -95.875,   17 20 22 194,             stand,  0.0 0.0 0.0,  ,
2648.47 -1501.12 -95.875,   17 21 24,                 stand,  0.0 0.0 0.0,  ,
2774.24 -1156.11 -96.914,   16 24 28 30,              stand,  0.0 0.0 0.0,  ,
2748.26 -1506.94 -96.7163,  22 23 25 27,              stand,  0.0 0.0 0.0,  ,
3306.68 -1726.76 -95.875,   24 26,                    stand,  0.0 0.0 0.0,  ,
3335.8 -1499.33 -95.875,    25 27,                    stand,  0.0 0.0 0.0,  ,
3168.74 -1459.07 -99.7293,  24 26 28,                 stand,  0.0 0.0 0.0,  ,
3206.82 -1307.45 -97.3593,  23 27 29 147,             stand,  0.0 0.0 0.0,  ,
3246.21 -944.82 -96.5038,   28 30 31 187,             stand,  0.0 0.0 0.0,  ,
2796.39 -1050.46 -97.2722,  23 29 31 32,              stand,  0.0 0.0 0.0,  ,
3066.61 -848.997 -111.875,  29 30 32 33 38,           stand,  0.0 0.0 0.0,  ,
2781.19 -793.616 -97.2238,  30 31 36,                 stand,  0.0 0.0 0.0,  ,
3115.79 -602.917 -97.6688,  31 34 36 40,              stand,  0.0 0.0 0.0,  ,
3240.23 -515.189 -95.875,   33 35,                    stand,  0.0 0.0 0.0,  ,
3258.39 -270.813 -95.875,   34 39 41 135,             stand,  0.0 0.0 0.0,  ,
2705.96 -466.499 -95.9209,  14 32 33 37 38 39 40,     stand,  0.0 0.0 0.0,  ,
2670.53 -175.819 -90.8103,  36 38 44 45,              stand,  0.0 0.0 0.0,  ,
2902.31 -294.775 -109.531,  31 36 37 39 40,           stand,  0.0 0.0 0.0,  ,
3055.57 -367.488 -98.5859,  35 36 38 40 41,           stand,  0.0 0.0 0.0,  ,
3045.04 -519.727 -109.694,  33 36 38 39,              stand,  0.0 0.0 0.0,  ,
3125.37 -136.334 -92.7523,  35 39 42,                 stand,  0.0 0.0 0.0,  ,
3068.2 187.292 -45.1844,    41 43 44 47,              stand,  0.0 0.0 0.0,  ,
