360
1792.0 -1502.0 396.125,     1 13 231 232 233,                 stand,     0.0 0.0 0.0,            ,
1505.88 -1483.61 384.125,   0 2 230 232,                      stand,     0.0 0.0 0.0,            ,
1297.43 -1469.43 420.893,   1 3,                              stand,     0.0 0.0 0.0,            ,
1145.6 -1474.22 480.125,    2 4 334,                          stand,     0.0 0.0 0.0,            ,
1138.29 -1673.49 480.125,   3 5,                              stand,     0.0 0.0 0.0,            ,
1141.59 -1915.02 639.859,   4 6,                              stand,     0.0 0.0 0.0,            ,
1145.42 -2129.6 672.125,    5 7 189 196 211,                  stand,     0.0 0.0 0.0,            ,
1358.72 -2108.47 672.125,   6 8,                              stand,     0.0 0.0 0.0,            ,
1532.57 -2090.71 592.125,   7 229 332,                        stand,     0.0 0.0 0.0,            ,
1905.76 -2096.89 592.125,   10 229,                           stand,     0.0 0.0 0.0,            ,
2176.97 -2145.75 592.125,   9 11 26 27 355,                   stand,     0.0 0.0 0.0,            ,
2203.16 -1976.12 592.125,   10 12 328,                        stand,     0.0 0.0 0.0,            ,
1961.59 -1978.9 488.125,    11 13,                            stand,     0.0 0.0 0.0,            ,
1949.24 -1765.56 400.125,   0 12,                             stand,     0.0 0.0 0.0,            ,
1580.35 -2116.39 389.236,   15 18 234 238,                    stand,     0.0 0.0 0.0,            ,
1792.18 -2250.48 401.653,   14 16 17 239,                     stand,     0.0 0.0 0.0,            ,
1893.63 -2364.15 412.768,   15 17 239 241,                    stand,     0.0 0.0 0.0,            ,
1722.01 -2291.46 405.016,   15 16 18,                         stand,     0.0 0.0 0.0,            ,
1528.92 -2324.7 409.42,     14 17 19 238 243 244,             stand,     0.0 0.0 0.0,            ,
1460.86 -2596.52 449.894,   18 20 70 243 244,                 stand,     0.0 0.0 0.0,            ,
1475.0 -2876.22 504.066,    19 21 70,                         stand,     0.0 0.0 0.0,            ,
1447.68 -3048.23 540.125,   20 22 208,                        stand,     0.0 0.0 0.0,            ,
1586.13 -3059.95 593.637,   21 23,                            stand,     0.0 0.0 0.0,            ,
1802.67 -3062.4 600.125,    22 24 45 198 209 327,             stand,     0.0 0.0 0.0,            ,
1909.35 -2787.81 600.125,   23 25 198 225 347,                stand,     0.0 0.0 0.0,            ,
