197
1863.18 -848.051 -4.03997,   1 65 66 165 181,              stand,  0.0 0.0 0.0,  ,
1695.53 -1243.02 -10.9972,   0 2 65 66,                    stand,  0.0 0.0 0.0,  ,
1588.67 -1407.0 -4.62537,    1 3 174,                      stand,  0.0 0.0 0.0,  ,
1368.87 -1586.11 5.01566,    2 4,                          stand,  0.0 0.0 0.0,  ,
939.8 -1809.55 5.16842,      3 13 67,                      stand,  0.0 0.0 0.0,  ,
620.807 -1875.16 40.125,     6 13,                         stand,  0.0 0.0 0.0,  ,
449.48 -1902.7 -0.938498,    5 7 68,                       stand,  0.0 0.0 0.0,  ,
202.94 -1866.83 1.34225,     6 12 69,                      stand,  0.0 0.0 0.0,  ,
-154.305 -1876.67 40.125,    9 12,                         stand,  0.0 0.0 0.0,  ,
-296.693 -1880.79 5.32237,   8 10 70,                      stand,  0.0 0.0 0.0,  ,
-534.565 -1866.14 5.20895,   9 11 70,                      stand,  0.0 0.0 0.0,  ,
-750.695 -1905.5 46.125,     10 14,                        stand,  0.0 0.0 0.0,  ,
49.4044 -1891.46 40.125,     7 8,                          stand,  0.0 0.0 0.0,  ,
829.736 -1888.46 40.125,     4 5,                          stand,  0.0 0.0 0.0,  ,
-932.609 -1879.07 41.606,    11 15,                        stand,  0.0 0.0 0.0,  ,
-1120.74 -1744.33 0.595317,  14 16 72,                     stand,  0.0 0.0 0.0,  ,
-1338.44 -1530.25 -9.36547,  15 17 72 74,                  stand,  0.0 0.0 0.0,  ,
-1548.74 -1248.78 -19.2823,  16 18,                        stand,  0.0 0.0 0.0,  ,
-1725.27 -980.971 -14.1658,  17 19 74,                     stand,  0.0 0.0 0.0,  ,
-1817.17 -665.786 -12.1815,  18 20,                        stand,  0.0 0.0 0.0,  ,
-1664.14 -461.246 -14.6461,  19 21 74,                     stand,  0.0 0.0 0.0,  ,
-1553.32 -364.67 -23.875,    20 22,                        stand,  0.0 0.0 0.0,  ,
-1558.03 -84.4517 -23.875,   21 137 138 180,               stand,  0.0 0.0 0.0,  ,
-1807.52 174.34 -15.875,     24 25 26 137 195,             stand,  0.0 0.0 0.0,  ,
-2337.85 115.497 -15.875,    23 25,                        stand,  0.0 0.0 0.0,  ,
-2325.67 394.895 -15.875,    23 24 194,                    stand,  0.0 0.0 0.0,  ,
-1957.09 399.395 -15.875,    23 27 137 194,                stand,  0.0 0.0 0.0,  ,
-1931.55 552.703 -18.3322,   26 28 77 196,                 stand,  0.0 0.0 0.0,  ,
-1897.8 728.543 -13.1589,    27 29 77,                     stand,  0.0 0.0 0.0,  ,
-1877.05 931.469 -14.0805,   28 30 77 78 179,              stand,  0.0 0.0 0.0,  ,
-1819.79 1128.62 -14.3996,   29 31 78 79,                  stand,  0.0 0.0 0.0,  ,
-1818.08 1402.42 -15.875,    30 32 35,                     stand,  0.0 0.0 0.0,  ,
-1984.17 1492.86 -15.875,    31 33 35 192,                 stand,  0.0 0.0 0.0,  ,
-2164.99 1627.06 -15.875,    32 34 35 175,                 stand,  0.0 0.0 0.0,  ,
-2227.39 1458.51 -15.875,    33 175,                       stand,  0.0 0.0 0.0,  ,
-1782.38 1660.89 -15.875,    31 32 33 36 128 175 192,      stand,  0.0 0.0 0.0,  ,
-1531.45 1662.79 -22.7408,   35 37 39 127 128,             stand,  0.0 0.0 0.0,  ,
-1422.8 1953.12 -23.875,     36 38 39 81 127,              stand,  0.0 0.0 0.0,  ,
-1384.39 2182.12 -23.875,    37 39 81 127,                 stand,  0.0 0.0 0.0,  ,
-1114.35 2055.51 -20.005,    36 37 38 40 81 127 191,       stand,  0.0 0.0 0.0,  ,
-904.367 2348.85 -11.0405,   39 41 42 83 191,              stand,  0.0 0.0 0.0,  ,
-599.164 2852.58 -23.875,    40 42 83 190,                 stand,  0.0 0.0 0.0,  ,
-211.098 2644.69 -23.875,    40 41 43,                     stand,  0.0 0.0 0.0,  ,
111.752 2485.3 -23.875,      42 44 126,                    stand,  0.0 0.0 0.0,  ,
446.596 2342.42 -23.875,     43 45 86,                     stand,  0.0 0.0 0.0,  ,
595.154 2261.49 -23.875,     44 46,                        stand,  0.0 0.0 0.0,  ,
504.762 2112.05 -23.875,     45 47 87,                     stand,  0.0 0.0 0.0,  ,
671.397 1977.97 -23.875,     46 48 88,                     stand,  0.0 0.0 0.0,  ,
957.605 1812.61 -23.875,     47 49 88 89 96,               stand,  0.0 0.0 0.0,  ,
1215.29 1685.72 -23.875,     48 50 188,                    stand,  0.0 0.0 0.0,  ,
1756.1 1539.59 -23.875,      49 51 53 188,                 stand,  0.0 0.0 0.0,  ,
1974.96 1423.49 -23.875,     50 52 120,                    stand,  0.0 0.0 0.0,  ,
2051.98 1298.26 -23.875,     51 120 122,                   stand,  0.0 0.0 0.0,  ,
1636.41 1253.39 -23.875,     50 123,                       stand,  0.0 0.0 0.0,  ,
1649.87 736.0 -13.0996,      56 97 98 123 124 187,         stand,  0.0 0.0 0.0,  ,
2325.97 913.488 -7.875,      177,                          stand,  0.0 0.0 0.0,  ,
1928.06 700.921 -7.875,      54 57 177 186 187,            stand,  0.0 0.0 0.0,  ,
1923.61 441.876 -7.875,      56 58 99 176,                 stand,  0.0 0.0 0.0,  ,
2012.54 146.842 -6.875,      57 59 62 99 176,              stand,  0.0 0.0 0.0,  ,
2284.69 -99.2048 -6.875,     58 60 61 62 183,              stand,  0.0 0.0 0.0,  ,
2445.68 -222.15 -6.875,      59,                           stand,  0.0 0.0 0.0,  ,
2023.72 -240.273 -6.875,     59 62,                        stand,  0.0 0.0 0.0,  ,
