189
6089.45 -870.212 144.125,   1 177,                    stand,  ,                       ,
6115.72 -392.275 144.125,   0 2 3 4 5,                stand,  ,                       ,
6015.46 -387.324 146.125,   1 3 4 16,                 stand,  ,                       ,
6035.16 -467.38 144.125,    1 2 17,                   stand,  ,                       ,
6029.29 -339.103 144.125,   1 2 15,                   stand,  ,                       ,
6114.69 58.3902 138.244,    1 161,                    stand,  ,                       ,
6160.15 505.952 144.125,    7 160 161,                stand,  ,                       ,
5859.67 522.036 50.2895,    6 8,                      stand,  ,                       ,
5786.47 445.7 48.1966,      7 9 63 66 175,            stand,  ,                       ,
5890.44 308.476 48.6311,    8 10,                     stand,  ,                       ,
5947.52 56.7679 51.6221,    9 11 175,                 stand,  ,                       ,
5951.32 -126.861 -33.1638,  10 12,                    stand,  ,                       ,
5937.48 -389.785 -40.7611,  11 13,                    stand,  ,                       ,
5954.34 -688.967 -27.6427,  12 14,                    stand,  ,                       ,
5949.04 -851.335 55.125,    13 95 98,                 stand,  ,                       ,
5665.72 -167.527 48.125,    4 16 67 91 92,            stand,  ,                       ,
5663.99 -395.16 44.125,     2 15 17 97,               stand,  ,                       ,
5655.25 -625.135 46.1469,   3 16 93 97,               stand,  ,                       ,
4847.78 -1919.67 72.125,    19 110 186,               stand,  ,                       ,
4519.43 -1950.98 72.125,    18 20,                    stand,  ,                       ,
4149.61 -1831.56 72.125,    19 21 22 169,             stand,  ,                       ,
3907.05 -1753.68 72.125,    20 22 112,                stand,  ,                       ,
3899.02 -1896.2 72.125,     20 21 23 168,             stand,  ,                       ,
4072.95 -1991.99 72.125,    22,                       stand,  ,                       ,
3456.94 -1597.48 88.125,    25 26 168,                stand,  ,                       ,
3290.27 -1413.63 88.125,    24 27,                    stand,  ,                       ,
3530.85 -1348.45 88.125,    24 27 185,                stand,  ,                       ,
3381.71 -1023.92 88.1248,   25 26 28 29,              stand,  ,                       ,
3407.82 -1251.67 88.1248,   27,                       stand,  ,                       ,
3475.67 -812.095 88.1248,   27 167,                   stand,  ,                       ,
3552.36 -428.151 88.125,    147 167,                  stand,  ,                       ,
3481.1 26.6309 88.125,      33 35 167,                stand,  ,                       ,
3647.33 445.132 88.125,     34 38 166 183,            stand,  ,                       ,
3445.48 149.725 88.125,     31 34 35 37,              stand,  ,                       ,
3454.29 298.462 88.125,     32 33 38,                 stand,  ,                       ,
3642.31 22.7913 88.125,     31 33 36 37,              stand,  ,                       ,
3640.24 -124.387 49.7503,   35 148 149,               stand,  ,                       ,
3660.11 140.659 88.125,     33 35 38,                 stand,  ,                       ,
3668.29 307.833 88.125,     32 34 37 183,             stand,  ,                       ,
3651.82 687.142 88.125,     41 166,                   stand,  ,                       ,
3959.13 590.191 88.125,     155 166,                  stand,  ,                       ,
3650.89 822.761 72.125,     39 42,                    stand,  ,                       ,
3633.95 957.157 72.125,     41 43,                    stand,  ,                       ,
3629.58 1109.15 32.0591,    42 44 49,                 stand,  ,                       ,
3857.02 1094.5 37.0434,     43 46 49 164,             stand,  ,                       ,
4012.53 867.325 39.0436,    51 52 164,                stand,  ,                       ,
4040.05 1112.71 29.799,     44 47,                    stand,  ,                       ,
4029.17 1268.46 36.3229,    46 48 49,                 stand,  ,                       ,
4146.61 1273.07 60.125,     47 50,                    stand,  ,                       ,
3865.89 1260.19 32.125,     43 44 47,                 stand,  ,                       ,
4317.37 1262.73 64.7793,    48 51,                    stand,  ,                       ,
4313.26 1090.43 28.3547,    45 50 52,                 stand,  ,                       ,
4221.01 848.151 37.834,     45 51 53,                 stand,  ,                       ,
4348.03 768.221 37.1376,    52 162,                   stand,  ,                       ,
4990.26 762.945 47.3173,    55 58 59,                 stand,  ,                       ,
4991.51 914.831 96.125,     54 56,                    stand,  ,                       ,
4938.44 1081.82 96.125,     55 57 165,                stand,  ,                       ,
4992.54 1191.67 96.125,     56,                       stand,  ,                       ,
4881.53 719.433 47.7734,    54 59 162,                stand,  ,                       ,
4981.05 586.009 48.8323,    54 58 60 79 87,           stand,  ,                       ,
5203.87 603.512 57.3205,    59 61 64,                 stand,  ,                       ,
5454.37 564.353 55.8719,    60 62,                    stand,  ,                       ,
5468.54 413.629 46.4244,    61 63 65,                 stand,  ,                       ,
5636.41 412.638 49.0151,    8 62,                     stand,  ,                       ,
5219.39 407.215 48.1871,    60 65 68 79 174,          stand,  ,                       ,
5461.01 318.203 48.2316,    62 64 66 174,             stand,  ,                       ,
5552.14 173.839 48.1166,    8 65 67 91 175,           stand,  ,                       ,
5602.71 -24.7625 48.1231,   15 66 91 92 175,          stand,  ,                       ,
5072.38 398.587 48.1641,    64 69 79 174,             stand,  ,                       ,
4947.02 313.929 48.1071,    68 70 78 79 86 87 174,    stand,  ,                       ,
4859.69 234.213 48.625,     69 71 86,                 stand,  ,                       ,
4777.08 150.081 -3.875,     70 72 77,                 stand,  ,                       ,
4543.81 157.039 -3.875,     71 73 74,                 stand,  ,                       ,
4478.77 225.01 48.625,      72 85 88 159,             stand,  ,                       ,
4525.86 -52.2454 -3.96081,  72 75,                    stand,  ,                       ,
4671.39 -120.352 -3.875,    74 76 77,                 stand,  ,                       ,
