316
1269.17 -1859.71 64.125,    7 258 259 261,                stand,   0.0 0.0 0.0,             ,
1648.3 -1859.81 66.125,     2 9 261,                      stand,   0.0 0.0 0.0,             ,
1655.13 -1963.63 66.125,    1 3,                          stand,   0.0 0.0 0.0,             ,
1411.54 -1971.4 202.125,    2 4,                          stand,   0.0 0.0 0.0,             ,
1378.44 -1853.15 202.125,   3 5,                          stand,   0.0 0.0 0.0,             ,
1669.74 -1850.18 202.125,   4 6 262,                      stand,   0.0 0.0 0.0,             ,
1673.59 -1760.62 226.125,   5 263,                        stand,   0.0 0.0 0.0,             ,
1255.1 -1438.8 64.125,      0 8 12 14 20 21,              stand,   0.0 0.0 0.0,             ,
1606.34 -1438.86 66.125,    7 9 10 11 12 13,              stand,   0.0 0.0 0.0,             ,
1662.54 -1784.07 66.125,    1 8 11,                       stand,   0.0 0.0 0.0,             ,
1420.55 -1644.77 66.125,    8 11 12,                      stand,   0.0 0.0 0.0,             ,
1559.25 -1691.01 66.125,    8 9 10 12,                    stand,   0.0 0.0 0.0,             ,
1452.21 -1516.07 66.125,    7 8 10 11,                    stand,   0.0 0.0 0.0,             ,
1634.86 -1279.73 65.125,    8 16 271,                     stand,   0.0 0.0 0.0,             ,
1288.79 -1277.2 64.125,     7 15 17,                      stand,   0.0 0.0 0.0,             ,
1373.36 -1119.85 64.436,    14 16 17 153 155,             stand,   0.0 0.0 0.0,             ,
1543.16 -1160.77 65.125,    13 15 271,                    stand,   0.0 0.0 0.0,             ,
1181.75 -1172.1 65.6526,    14 15 20 154,                 stand,   0.0 0.0 0.0,             ,
540.444 -1363.65 63.9518,   22 23 253 308,                stand,   0.0 0.0 0.0,             ,
-104.886 -1250.27 68.1691,  28 34 37 305,                 stand,   0.0 0.0 0.0,             ,
1051.97 -1304.49 64.9747,   7 17 22 153 154 252,          stand,   0.0 0.0 0.0,             ,
959.24 -1520.63 68.125,     7 22 23,                      stand,   0.0 0.0 0.0,             ,
779.906 -1427.67 64.0908,   18 20 21 23,                  stand,   0.0 0.0 0.0,             ,
712.319 -1518.52 63.2002,   18 21 22 24 30 33,            stand,   0.0 0.0 0.0,             ,
636.248 -1988.98 129.238,   23 25 30 250,                 stand,   0.0 0.0 0.0,             ,
281.723 -2019.87 134.354,   24 26 30 31,                  stand,   0.0 0.0 0.0,             ,
-206.792 -2002.53 198.361,  25 27 249,                    stand,   0.0 0.0 0.0,             ,
-220.432 -1625.56 59.7447,  26 28 29 32 34,               stand,   0.0 0.0 0.0,             ,
-248.895 -1158.01 76.9509,  19 27 29 34 35 37,            stand,   0.0 0.0 0.0,             ,
-394.43 -1304.65 73.9691,   27 28,                        stand,   0.0 0.0 0.0,             ,
444.003 -1698.49 109.5,     23 24 25 31 33,               stand,   0.0 0.0 0.0,             ,
129.48 -1732.01 81.2481,    25 30 32 33 34 306 307,       stand,   0.0 0.0 0.0,             ,
-11.9653 -1515.75 64.125,   27 31 34 306,                 stand,   0.0 0.0 0.0,             ,
354.51 -1521.49 62.0141,    23 30 31 307,                 stand,   0.0 0.0 0.0,             ,
-129.882 -1457.54 61.6682,  19 27 28 31 32,               stand,   0.0 0.0 0.0,             ,
-400.852 -864.493 107.936,  28 36,                        stand,   0.0 0.0 0.0,             ,
-387.691 -531.457 110.403,  35 37 40,                     stand,   0.0 0.0 0.0,             ,
-167.792 -876.602 103.097,  19 28 36 38 247,              stand,   0.0 0.0 0.0,             ,
-157.064 -595.032 104.458,  37 39,                        stand,   0.0 0.0 0.0,             ,
-127.937 -256.815 116.351,  38 40 99,                     stand,   0.0 0.0 0.0,             ,
-323.522 -311.698 109.637,  36 39 41,                     stand,   0.0 0.0 0.0,             ,
-343.44 -48.6591 124.933,   40 42 196,                    stand,   0.0 0.0 0.0,             ,
-300.241 249.021 175.455,   41 43,                        stand,   0.0 0.0 0.0,             ,
