511
1682.46 4110.21 215.801,     1 469,                        stand,   0.0 0.0 0.0,             ,
1434.17 4133.08 207.98,      0 2 3,                        stand,   0.0 0.0 0.0,             ,
1470.04 3564.24 168.347,     1 4 8 88 470,                 stand,   0.0 0.0 0.0,             ,
1274.64 4341.21 195.408,     1 4,                          stand,   0.0 0.0 0.0,             ,
1134.36 4115.76 187.433,     2 3 5 8 468,                  stand,   0.0 0.0 0.0,             ,
620.391 4223.25 123.625,     4 6,                          stand,   0.0 0.0 0.0,             ,
637.661 3842.13 127.294,     5 7,                          stand,   0.0 0.0 0.0,             ,
637.198 3245.33 123.625,     6 8 101 102,                  stand,   0.0 0.0 0.0,             ,
1190.47 3436.83 138.25,      2 4 7 89,                     stand,   0.0 0.0 0.0,             ,
2004.92 3590.43 174.738,     10 470,                       stand,   0.0 0.0 0.0,             ,
2359.57 3509.67 279.856,     9 11 20,                      stand,   0.0 0.0 0.0,             ,
2567.62 3488.13 231.806,     10 12,                        stand,   0.0 0.0 0.0,             ,
2603.83 3002.21 127.962,     11 13 33 34,                  stand,   0.0 0.0 0.0,             ,
2587.11 2693.16 142.125,     12 14,                        stand,   0.0 0.0 0.0,             ,
2359.61 2700.64 142.125,     13 15 29,                     stand,   0.0 0.0 0.0,             ,
2091.04 2729.81 142.125,     14 16 27,                     stand,   0.0 0.0 0.0,             ,
2126.05 3276.18 142.125,     15 17 88,                     stand,   0.0 0.0 0.0,             ,
2166.74 3420.76 142.125,     16 18,                        stand,   0.0 0.0 0.0,             ,
1895.13 3408.95 278.125,     17 19,                        stand,   0.0 0.0 0.0,             ,
2003.52 3179.65 278.125,     18 20 23 24 476 477,          stand,   0.0 0.0 0.0,             ,
2348.62 3193.33 278.125,     10 19 21,                     stand,   0.0 0.0 0.0,             ,
2415.55 3194.53 278.125,     20 22,                        stand,   0.0 0.0 0.0,             ,
2403.32 2932.99 278.125,     21 23,                        stand,   0.0 0.0 0.0,             ,
