137
926.252 1164.99 395.125,   1 131,                          stand,  ,                     ,
924.592 1464.43 392.125,   0 2,                            stand,  ,                     ,
1018.9 1527.51 392.125,    1 3 4,                          stand,  ,                     ,
1015.72 1767.82 392.125,   2,                              stand,  ,                     ,
1276.17 1528.78 392.125,   2 5,                            stand,  ,                     ,
1273.37 1254.4 392.125,    4 6 134,                        stand,  ,                     ,
1188.9 1168.97 392.125,    5 131 134,                      stand,  ,                     ,
811.66 1596.18 226.125,    70 72 113 114 132,              stand,  ,                     ,
915.58 1830.17 221.467,    9,                              stand,  ,                     ,
996.443 2141.69 226.125,   8 10 11 12 132,                 stand,  ,                     ,
970.504 2299.73 226.016,   9,                              stand,  ,                     ,
1052.08 2296.65 226.125,   9,                              stand,  ,                     ,
820.473 2149.51 226.752,   9 110 111 112 119,              stand,  ,                     ,
203.375 1561.45 226.125,   14 71 74 75,                    stand,  ,                     ,
196.612 1658.35 226.125,   13 16 124,                      stand,  ,                     ,
304.594 1783.22 226.125,   115 116 120 124,                stand,  ,                     ,
-139.69 1659.78 226.125,   14 17 18,                       stand,  ,                     ,
-149.075 1564.27 233.426,  16 95 96,                       stand,  ,                     ,
-266.982 1798.47 226.125,  16 90 91,                       stand,  ,                     ,
-713.514 1594.13 226.125,  20 92 94,                       stand,  ,                     ,
-910.949 1593.18 226.125,  19 21 22 23,                    stand,  ,                     ,
-817.924 1466.15 226.125,  20,                             stand,  ,                     ,
-1129.26 1567.54 226.125,  20 105,                         stand,  ,                     ,
-905.231 1949.21 226.125,  20 24 25,                       stand,  ,                     ,
-809.313 1952.04 226.125,  23,                             stand,  ,                     ,
-804.635 2079.25 237.617,  23 26,                          stand,  ,                     ,
-709.997 2092.62 230.377,  25 87 88 89,                    stand,  ,                     ,
-78.1181 332.203 138.125,  56 122,                         stand,  ,                     ,
-532.043 711.134 136.125,  31 34 35 36 41,                 stand,  ,                     ,
-730.973 303.048 137.082,  121,                            stand,  ,                     ,
-642.995 455.505 146.352,  31 32 121 129,                  stand,  ,                     ,
-540.233 514.393 136.125,  28 30 37 129,                   stand,  ,                     ,
-738.192 555.414 176.471,  30 33,                          stand,  ,                     ,
-741.388 829.598 227.125,  32 104 108,                     stand,  ,                     ,
-619.429 711.061 136.125,  28,                             stand,  ,                     ,
-631.98 766.786 136.125,   28,                             stand,  ,                     ,
