172
-400.925 -1848.68 -75.875,    1 33 34 35 96 102 103,              stand,  0.0 0.0 0.0,  ,
-461.074 -2179.81 -69.0313,   0 4 95 102 103,                     stand,  0.0 0.0 0.0,  ,
-108.985 -2335.46 -50.0058,   3 4 93 95 100 102,                  stand,  0.0 0.0 0.0,  ,
109.746 -2420.89 -27.2776,    2 4 102,                            stand,  0.0 0.0 0.0,  ,
160.05 -2233.93 -59.0473,     1 2 3 5 8 100 101,                  stand,  0.0 0.0 0.0,  ,
331.536 -2277.84 -41.4471,    4 6 8 94 100 101,                   stand,  0.0 0.0 0.0,  ,
426.124 -2419.23 -29.2144,    5 7 9 91 94 101,                    stand,  0.0 0.0 0.0,  ,
823.502 -2367.01 -15.906,     6 8 9 91 101,                       stand,  0.0 0.0 0.0,  ,
963.249 -2125.95 -43.7372,    4 5 7 9 91 94,                      stand,  0.0 0.0 0.0,  ,
1145.68 -2127.78 -32.9809,    6 7 8 11 94 113,                    stand,  0.0 0.0 0.0,  ,
1283.74 -1383.82 -0.784768,   11 19 113,                          stand,  0.0 0.0 0.0,  ,
1183.15 -1746.25 -36.8967,    9 10 12 19 113 114,                 stand,  0.0 0.0 0.0,  ,
660.129 -1719.49 -72.1482,    11 14 91 92 93 114 115,             stand,  0.0 0.0 0.0,  ,
274.947 -1492.57 -80.2546,    14 18 92 102 103 104 115,           stand,  0.0 0.0 0.0,  ,
528.197 -1234.74 -88.2837,    12 13 18 19 112 114 115,            stand,  0.0 0.0 0.0,  ,
564.222 -513.084 -16.0546,    18 25 28 90 117,                    stand,  0.0 0.0 0.0,  ,
1086.37 -637.72 -37.8709,     17 20 21 117 118,                   stand,  0.0 0.0 0.0,  ,
1031.38 -1063.71 -65.5953,    16 18 19 20 22 117,                 stand,  0.0 0.0 0.0,  ,
563.472 -1050.51 -59.1323,    13 14 15 17 26 28 116,              stand,  0.0 0.0 0.0,  ,
1165.79 -1341.53 -40.5455,    10 11 14 17 20 114 117,             stand,  0.0 0.0 0.0,  ,
1226.74 -905.625 -38.0171,    16 17 19 21 22,                     stand,  0.0 0.0 0.0,  ,
1361.57 -916.191 -26.2767,    16 20 22,                           stand,  0.0 0.0 0.0,  ,
1272.34 -98.3398 36.125,      17 20 21 23 118 122,                stand,  0.0 0.0 0.0,  ,
930.924 -147.67 36.125,       22,                                 stand,  0.0 0.0 0.0,  ,
889.126 -235.727 -25.1596,    25 117,                             stand,  0.0 0.0 0.0,  ,
885.115 -445.087 -20.2578,    15 24 26 117,                       stand,  0.0 0.0 0.0,  ,
666.519 -412.793 -18.2361,    18 25,                              stand,  0.0 0.0 0.0,  ,
509.489 -204.794 44.125,      28 86,                              stand,  0.0 0.0 0.0,  ,
509.046 -385.997 -12.6521,    15 18 27 86 90,                     stand,  0.0 0.0 0.0,  ,
-599.018 -236.168 1.878,      65 66 79 80 81 83 84 85 85 87 161,  stand,  0.0 0.0 0.0,  ,
47.6607 -604.03 -2.91847,     86 89,                              stand,  0.0 0.0 0.0,  ,
-944.453 -732.062 0.124722,   56 158,                             stand,  0.0 0.0 0.0,  ,
-902.53 -1848.39 -75.875,     33 37 98,                           stand,  0.0 0.0 0.0,  ,
-705.926 -1764.46 -75.875,    0 32 35 37 96,                      stand,  0.0 0.0 0.0,  ,
-454.518 -1485.36 -75.875,    0 35 36 97,                         stand,  0.0 0.0 0.0,  ,
-511.066 -1640.1 -75.875,     0 33 34 36 96 97 99,                stand,  0.0 0.0 0.0,  ,
-674.29 -1429.09 -75.875,     34 35 37 97 99,                     stand,  0.0 0.0 0.0,  ,
-909.691 -1598.23 -75.875,    32 33 36 38 97 98 99,               stand,  0.0 0.0 0.0,  ,
-902.003 -1157.83 -78.355,    37 39 56 57 98 99 158,              stand,  0.0 0.0 0.0,  ,
-1098.9 -1147.03 -80.5413,    38 40 46 56 83 159 171,             stand,  0.0 0.0 0.0,  ,
-1126.9 -1516.02 -84.3364,    39 41 45 46 171,                    stand,  0.0 0.0 0.0,  ,
-1768.68 -1469.69 -81.184,    40 42 159,                          stand,  0.0 0.0 0.0,  ,
-1786.75 -1092.8 -91.5515,    41 43 44 45 159,                    stand,  0.0 0.0 0.0,  ,
-1903.15 -1066.78 -76.3617,   42 44 45,                           stand,  0.0 0.0 0.0,  ,
-1873.77 -787.736 -64.2273,   42 43 45,                           stand,  0.0 0.0 0.0,  ,
-1681.88 -996.866 -96.865,    40 42 43 44 46 46 48,               stand,  0.0 0.0 0.0,  ,
-1542.95 -984.523 -101.024,   39 40 45 45 47 48 56 171,           stand,  0.0 0.0 0.0,  ,
-1504.63 -735.407 -90.4379,   46 48,                              stand,  0.0 0.0 0.0,  ,
-1602.92 -573.338 -91.8602,   45 46 47 49 54,                     stand,  0.0 0.0 0.0,  ,
