149
9541.88 -3327.63 192.125,   1 112 114,           stand,  0.0 0.0 0.0,  ,
9539.37 -2931.88 96.125,    0 2,                 stand,  0.0 0.0 0.0,  ,
9543.22 -2698.31 96.125,    1 3,                 stand,  0.0 0.0 0.0,  ,
9508.64 -2422.53 96.125,    2 4,                 stand,  0.0 0.0 0.0,  ,
9643.89 -2419.16 152.125,   3 7,                 stand,  0.0 0.0 0.0,  ,
9394.42 -2586.81 216.125,   6,                   stand,  0.0 0.0 0.0,  ,
9758.84 -2559.85 216.125,   5 7 8,               stand,  0.0 0.0 0.0,  ,
9687.18 -2474.59 216.125,   4 6,                 stand,  0.0 0.0 0.0,  ,
10131.7 -2564.93 216.125,   6 9,                 stand,  0.0 0.0 0.0,  ,
10497.6 -2569.65 216.125,   8 10 11,             stand,  0.0 0.0 0.0,  ,
10604.3 -2435.21 216.125,   9,                   stand,  0.0 0.0 0.0,  ,
10818.0 -2560.93 216.125,   9 12,                stand,  0.0 0.0 0.0,  ,
10822.8 -2468.05 216.125,   11 13,               stand,  0.0 0.0 0.0,  ,
10745.4 -2409.76 152.125,   12 14,               stand,  0.0 0.0 0.0,  ,
10633.5 -2416.18 96.125,    13 15,               stand,  0.0 0.0 0.0,  ,
10654.9 -2790.84 96.125,    14 16,               stand,  0.0 0.0 0.0,  ,
10650.6 -2973.55 18.125,    15 17 145,           stand,  0.0 0.0 0.0,  ,
10579.1 -3078.44 18.125,    16 18,               stand,  0.0 0.0 0.0,  ,
10660.7 -3362.53 14.125,    17 19 20 25 145,     stand,  0.0 0.0 0.0,  ,
10921.1 -3381.99 14.625,    18 25 136,           stand,  0.0 0.0 0.0,  ,
10445.7 -3431.18 14.125,    18 25 26 140,        stand,  0.0 0.0 0.0,  ,
9906.35 -3422.47 26.2029,   141,                 stand,  0.0 0.0 0.0,  ,
9892.56 -4035.83 54.125,    23 24 142,           stand,  0.0 0.0 0.0,  ,
10027.3 -4062.21 68.3978,   22,                  stand,  0.0 0.0 0.0,  ,
9676.63 -4055.47 192.125,   22 105 107,          stand,  0.0 0.0 0.0,  ,
10689.7 -3646.31 15.9321,   18 19 20 26 136,     stand,  0.0 0.0 0.0,  ,
10467.3 -3713.04 14.125,    20 25,               stand,  0.0 0.0 0.0,  ,
11519.8 -3582.07 -113.875,  137,                 stand,  0.0 0.0 0.0,  ,
12212.7 -3639.9 19.125,     30 134,              stand,  0.0 0.0 0.0,  ,
12410.0 -3580.1 -113.875,   144,                 stand,  0.0 0.0 0.0,  ,
12202.2 -3835.72 18.125,    28 31 34,            stand,  0.0 0.0 0.0,  ,
11966.8 -4120.45 18.125,    30 32 33,            stand,  0.0 0.0 0.0,  ,
11799.1 -4180.28 19.125,    31,                  stand,  0.0 0.0 0.0,  ,
12161.9 -4305.07 18.125,    31 34 43 50 51,      stand,  0.0 0.0 0.0,  ,
12521.9 -3929.25 18.1245,   30 33 35,            stand,  0.0 0.0 0.0,  ,
12923.2 -4100.8 18.2777,    34 36 37,            stand,  0.0 0.0 0.0,  ,
13047.0 -4002.86 19.125,    35,                  stand,  0.0 0.0 0.0,  ,
12973.2 -4408.21 21.125,    35 38 39 40,         stand,  0.0 0.0 0.0,  ,
13387.9 -4426.0 18.125,     37,                  stand,  0.0 0.0 0.0,  ,
12760.7 -4593.73 18.4622,   37 40 41 53,         stand,  0.0 0.0 0.0,  ,
13056.0 -4691.72 19.125,    37 39 41,            stand,  0.0 0.0 0.0,  ,
12708.7 -4752.57 19.125,    39 40 42,            stand,  0.0 0.0 0.0,  ,
12459.9 -4868.7 19.125,     41 43 44 47,         stand,  0.0 0.0 0.0,  ,
12173.7 -4651.65 18.135,    33 42 47 50 51,      stand,  0.0 0.0 0.0,  ,
12135.5 -5146.77 18.1867,   42 45 46 47,         stand,  0.0 0.0 0.0,  ,
12405.6 -5124.77 19.125,    44,                  stand,  0.0 0.0 0.0,  ,
11801.0 -5363.88 21.125,    44 48 49 58,         stand,  0.0 0.0 0.0,  ,
12067.4 -4815.5 21.125,     42 43 44 48,         stand,  0.0 0.0 0.0,  ,
11795.7 -4823.76 21.125,    46 47,               stand,  0.0 0.0 0.0,  ,
11931.0 -5362.44 19.125,    46,                  stand,  0.0 0.0 0.0,  ,
12006.9 -4490.95 19.125,    33 43 51 54,         stand,  0.0 0.0 0.0,  ,
12282.6 -4462.28 18.3459,   33 43 50 52,         stand,  0.0 0.0 0.0,  ,
12410.3 -4503.31 52.125,    51 53,               stand,  0.0 0.0 0.0,  ,
12645.1 -4560.62 52.125,    39 52,               stand,  0.0 0.0 0.0,  ,
11698.6 -4480.1 96.125,     50 55,               stand,  0.0 0.0 0.0,  ,
11482.1 -4553.47 126.156,   54 56 57,            stand,  0.0 0.0 0.0,  ,
11235.2 -4554.78 211.125,   55 65 66,            stand,  0.0 0.0 0.0,  ,
11464.7 -4999.42 97.2314,   55 58 72,            stand,  0.0 0.0 0.0,  ,
11480.2 -5385.74 96.8375,   46 57 59 60,         stand,  0.0 0.0 0.0,  ,
11491.0 -5516.33 97.4038,   58,                  stand,  0.0 0.0 0.0,  ,
11317.3 -5421.19 96.8928,   58 61,               stand,  0.0 0.0 0.0,  ,
11165.4 -5248.1 108.819,    60 62 63 64,         stand,  0.0 0.0 0.0,  ,
11006.4 -5354.34 98.1853,   61 73,               stand,  0.0 0.0 0.0,  ,
11309.6 -5174.76 95.049,    61,                  stand,  0.0 0.0 0.0,  ,
11026.9 -5138.06 99.6359,   61,                  stand,  0.0 0.0 0.0,  ,
11112.9 -4385.57 204.125,   56 66,               stand,  0.0 0.0 0.0,  ,
10968.7 -4467.14 204.125,   56 65 67,            stand,  0.0 0.0 0.0,  ,
10872.4 -4454.49 192.125,   66 68 133,           stand,  0.0 0.0 0.0,  ,
10763.4 -4540.31 192.125,   67 69,               stand,  0.0 0.0 0.0,  ,
10600.2 -4561.1 98.1714,    68 70 146,           stand,  0.0 0.0 0.0,  ,
10883.2 -4892.49 100.894,   69 71 72 146 147,    stand,  0.0 0.0 0.0,  ,
10986.5 -4832.67 100.081,   70,                  stand,  0.0 0.0 0.0,  ,
10993.9 -4999.32 100.625,   57 70 147,           stand,  0.0 0.0 0.0,  ,
10867.4 -5376.29 100.361,   62 74 147,           stand,  0.0 0.0 0.0,  ,
10678.2 -5499.56 99.2189,   73 75 76 146,        stand,  0.0 0.0 0.0,  ,
10542.5 -5638.4 96.6548,    74 76 77,            stand,  0.0 0.0 0.0,  ,
10706.0 -5699.47 99.6741,   74 75,               stand,  0.0 0.0 0.0,  ,
10282.4 -5616.48 194.125,   75 78 79,            stand,  0.0 0.0 0.0,  ,
10145.0 -5676.78 194.125,   77,                  stand,  0.0 0.0 0.0,  ,
9974.94 -5549.42 193.125,   77 80 130,           stand,  0.0 0.0 0.0,  ,
9865.28 -5649.96 194.125,   79 81,               stand,  0.0 0.0 0.0,  ,
9497.68 -5603.95 193.125,   80 82 83,            stand,  0.0 0.0 0.0,  ,
9323.29 -5643.55 193.125,   81 83 84,            stand,  0.0 0.0 0.0,  ,
9396.08 -5497.39 193.125,   81 82 91 92 93,      stand,  0.0 0.0 0.0,  ,
9150.98 -5653.08 324.125,   82 85 87,            stand,  0.0 0.0 0.0,  ,
8810.36 -5689.73 320.125,   84 86 88,            stand,  0.0 0.0 0.0,  ,
8811.01 -5301.47 321.125,   85 87 89 90,         stand,  0.0 0.0 0.0,  ,
9078.59 -5394.84 320.125,   84 86,               stand,  0.0 0.0 0.0,  ,
8501.94 -5653.46 320.125,   85 89,               stand,  0.0 0.0 0.0,  ,
8554.51 -5366.66 320.125,   86 88,               stand,  0.0 0.0 0.0,  ,
8821.93 -5035.48 190.435,   86 92 94 97,         stand,  0.0 0.0 0.0,  ,
9214.76 -5459.12 193.125,   83,                  stand,  0.0 0.0 0.0,  ,
9224.8 -5249.02 193.125,    83 90 93,            stand,  0.0 0.0 0.0,  ,
9393.36 -5171.96 195.125,   83 92 96,            stand,  0.0 0.0 0.0,  ,
8841.39 -4784.67 195.124,   90 95 97 98,         stand,  0.0 0.0 0.0,  ,
9164.99 -4623.59 193.125,   94 96 104,           stand,  0.0 0.0 0.0,  ,
9387.46 -4740.8 195.125,    93 95 126,           stand,  0.0 0.0 0.0,  ,
8486.82 -4853.39 199.084,   90 94,               stand,  0.0 0.0 0.0,  ,
