447
-3572.3 1041.86 -280.157,    1 6 234,                         stand,   0.0 0.0 0.0,            ,
-3409.63 499.68 -286.281,    0 2 3 385,                       stand,   0.0 0.0 0.0,            ,
-3197.38 -55.5249 -311.066,  1 3 40,                          stand,   0.0 0.0 0.0,            ,
-3077.12 300.949 -308.931,   1 2 4,                           stand,   0.0 0.0 0.0,            ,
-2870.47 335.084 -306.875,   3 5 40 369,                      stand,   0.0 0.0 0.0,            ,
-2851.7 658.72 -306.875,     4 41 368 370,                    stand,   0.0 0.0 0.0,            ,
-3026.3 1228.49 -306.096,    0 7 51 368 386 387,              stand,   0.0 0.0 0.0,            ,
-3548.84 1637.48 -306.871,   6 8 52 234 390,                  stand,   0.0 0.0 0.0,            ,
-3892.0 2037.18 -339.122,    7 9 390,                         stand,   0.0 0.0 0.0,            ,
-4026.34 2617.38 -335.687,   8 10,                            stand,   0.0 0.0 0.0,            ,
-4368.66 3018.89 -307.732,   9 11 248 272,                    stand,   0.0 0.0 0.0,            ,
-4422.65 3570.46 -296.75,    10 228 270 271 272,              stand,   0.0 0.0 0.0,            ,
-2383.98 3700.72 -314.977,   61 210 226 273,                  stand,   0.0 0.0 0.0,            ,
-1813.04 3721.01 -294.095,   14 209 210 275 276,              stand,   0.0 0.0 0.0,            ,
-1366.33 3818.54 -167.664,   13 15 276,                       stand,   0.0 0.0 0.0,            ,
-905.812 3852.21 -28.47,     14 69 208 278,                   stand,   0.0 0.0 0.0,            ,
-394.305 3715.57 151.519,    17 142 145 146 278,              stand,   0.0 0.0 0.0,            ,
-86.5852 4097.95 139.453,    16 18 279 291,                   stand,   0.0 0.0 0.0,            ,
488.401 4137.98 145.831,     17 19 72 291 292,                stand,   0.0 0.0 0.0,            ,
853.023 4103.21 64.9354,     18 230 232,                      stand,   0.0 0.0 0.0,            ,
1765.02 3664.91 25.4692,     21 231 293 294,                  stand,   0.0 0.0 0.0,            ,
1526.74 3325.59 128.886,     20 76 79 220 293 294,            stand,   0.0 0.0 0.0,            ,
966.572 1878.98 141.555,     81 213 214 218 221 302 303 306,  stand,   0.0 0.0 0.0,            ,
1079.12 1374.37 147.557,     24 213 214 306 310,              stand,   0.0 0.0 0.0,            ,
1397.51 1041.36 80.6408,     23 158 159,                      stand,   0.0 0.0 0.0,            ,
