302
-1240.52 -529.098 7.51933,   1 267 268,                   stand,   0.0 0.0 0.0,             ,
-1191.76 -344.915 6.60295,   0 2 269 271,                 stand,   0.0 0.0 0.0,             ,
-1457.79 -256.051 8.125,     1 170 174,                   stand,   0.0 0.0 0.0,             ,
-1404.77 202.677 8.125,      4 112 172 174 175,           stand,   0.0 0.0 0.0,             ,
-1327.99 730.39 8.125,       3 6 116 175 178 264,         stand,   0.0 0.0 0.0,             ,
-1881.06 789.8 8.125,        261 262 263 264,             stand,   0.0 0.0 0.0,             ,
-1285.47 862.204 8.125,      4 7 178,                     stand,   0.0 0.0 0.0,             ,
-1500.52 856.432 144.125,    6 8,                         stand,   0.0 0.0 0.0,             ,
-1387.51 1063.06 184.125,    7 258 259 260,               stand,   0.0 0.0 0.0,             ,
-1155.0 1079.68 184.125,     10 256 257 258,              stand,   0.0 0.0 0.0,             ,
-1142.29 1244.39 184.125,    9 11 252 254 255,            stand,   0.0 0.0 0.0,             ,
-1366.64 1271.73 184.125,    10 12 253,                   stand,   0.0 0.0 0.0,             ,
-1378.48 1524.4 159.814,     11 13 15 250 251,            stand,   0.0 0.0 0.0,             ,
-982.999 1584.72 151.479,    12 14 118 119,               stand,   0.0 0.0 0.0,             ,
-1081.06 1878.52 224.79,     13 15 17,                    stand,   0.0 0.0 0.0,             ,
-1448.72 1883.16 225.224,    12 14 16,                    stand,   0.0 0.0 0.0,             ,
-1476.0 2135.29 259.081,     15 184,                      stand,   0.0 0.0 0.0,             ,
-1049.5 2124.89 272.015,     14 18 182 183 184,           stand,   0.0 0.0 0.0,             ,
-884.091 2346.19 283.064,    17 19 28 120 182 183,        stand,   0.0 0.0 0.0,             ,
-928.166 2609.88 280.454,    18 20 21 183,                stand,   0.0 0.0 0.0,             ,
-972.976 2841.63 282.991,    19 185 186,                  stand,   0.0 0.0 0.0,             ,
-473.351 2636.13 332.687,    19 22 28,                    stand,   0.0 0.0 0.0,             ,
-185.746 2692.11 339.027,    21 23 187,                   stand,   0.0 0.0 0.0,             ,
67.9628 2803.79 335.675,     22 24 187 191,               stand,   0.0 0.0 0.0,             ,
457.718 2772.79 290.291,     23 25 52 189 191,            stand,   0.0 0.0 0.0,             ,
404.131 2303.06 283.853,     24 26 123,                   crouch,  0.0 0.0 0.0,             ,
357.561 2252.26 282.266,     25 27,                       crouch,  0.0 0.0 0.0,             ,
-36.3888 2317.88 283.949,    26 28 187,                   stand,   0.0 0.0 0.0,             ,
-298.846 2265.6 282.682,     18 21 27 29,                 stand,   0.0 0.0 0.0,             ,
-304.549 2066.33 288.125,    28 30 31 120,                stand,   0.0 0.0 0.0,             ,
-90.6727 1977.92 240.673,    29 31 36 37,                 stand,   0.0 0.0 0.0,             ,
-288.308 1907.56 238.951,    29 30 32,                    stand,   0.0 0.0 0.0,             ,
-278.88 1452.92 152.481,     31 33 211,                   stand,   0.0 0.0 0.0,             ,
-132.82 1471.87 152.885,     32 34 71,                    stand,   0.0 0.0 0.0,             ,
244.621 1396.14 151.457,     33 35 40,                    stand,   0.0 0.0 0.0,             ,
265.338 1578.47 158.592,     34 36 39,                    stand,   0.0 0.0 0.0,             ,
256.137 1986.09 240.125,     30 35 50,                    stand,   0.0 0.0 0.0,             ,
5.12561 1902.64 299.094,     30 210,                      stand,   0.0 0.0 0.0,             ,
128.721 1794.53 312.125,     39 210,                      stand,   0.0 0.0 0.0,             ,
137.605 1595.53 176.125,     35 38,                       stand,   0.0 0.0 0.0,             ,
657.917 1396.94 168.125,     34 41 49 50 203,             stand,   0.0 0.0 0.0,             ,
664.176 1100.94 344.125,     40 42,                       stand,   0.0 0.0 0.0,             ,
835.259 1112.91 344.125,     41 43 150 205 206,           stand,   0.0 0.0 0.0,             ,
753.065 880.578 344.125,     42 44 151,                   climb,   0.0 0.0 0.0,             ,
739.415 767.908 320.125,     43 138 139,                  climb,   0.0 0.0 0.0,             ,
909.311 737.683 190.049,     46 53 139,                   stand,   0.0 0.0 0.0,             ,
1241.21 770.286 192.45,      45 47 70 297,                stand,   0.0 0.0 0.0,             ,
1710.02 782.053 192.112,     46 48,                       stand,   0.0 0.0 0.0,             ,
1712.35 1152.94 189.854,     47 201,                      stand,   0.0 0.0 0.0,             ,
974.33 1655.93 172.976,      40 50 200 204,               stand,   0.0 0.0 0.0,             ,
811.139 1874.35 168.125,     36 40 49 51 195,             stand,   0.0 0.0 0.0,             ,
819.511 2301.87 283.816,     50 123 193,                  stand,   0.0 0.0 0.0,             ,
800.88 2825.17 294.23,       24 193 194,                  stand,   0.0 0.0 0.0,             ,
