622
-1133.21 -2180.29 -251.875,   1 19 20,                      stand,   0.0 0.0 0.0,             ,
-1117.09 -2208.62 -251.875,   0 2 3 4 247,                  stand,   0.0 0.0 0.0,             ,
-1371.74 -2321.64 -235.875,   1 245 247,                    stand,   0.0 0.0 0.0,             ,
-1326.65 -2116.28 -235.875,   1 243 244,                    stand,   0.0 0.0 0.0,             ,
-940.151 -2365.09 -251.583,   1 5 6 7 247,                  stand,   0.0 0.0 0.0,             ,
-755.273 -2342.07 -243.875,   4 251 252,                    stand,   0.0 0.0 0.0,             ,
-870.617 -2186.63 -243.875,   4 248,                        stand,   0.0 0.0 0.0,             ,
-1014.67 -2571.29 -261.953,   4 8 10 247,                   stand,   0.0 0.0 0.0,             ,
-1029.76 -2996.04 -253.025,   7 9 24,                       stand,   0.0 0.0 0.0,             ,
-547.604 -2973.73 -257.81,    8 10 235,                     stand,   0.0 0.0 0.0,             ,
-527.998 -2500.82 -263.21,    7 9 11 234 253,               stand,   0.0 0.0 0.0,             ,
-236.715 -2420.48 -255.894,   10 12 16 17 255 256,          stand,   0.0 0.0 0.0,             ,
-38.8684 -2851.23 -255.91,    11 13 233 256,                stand,   0.0 0.0 0.0,             ,
486.36 -2817.42 -255.875,     12 14 296 297,                stand,   0.0 0.0 0.0,             ,
989.421 -2735.41 -255.875,    13 129 294 295 297,           stand,   0.0 0.0 0.0,             ,
202.209 -2361.5 -255.875,     135 255 297 617,              stand,   0.0 0.0 0.0,             ,
13.4271 -2065.6 -247.875,     11 136 149 257 616,           stand,   0.0 0.0 0.0,             ,
-435.046 -2070.8 -212.402,    11 18 149 253 254,            stand,   0.0 0.0 0.0,             ,
-539.348 -1929.81 -186.958,   17 29 253 254 326,            stand,   0.0 0.0 0.0,             ,
-870.775 -2036.8 -249.701,    0 20 254,                     stand,   0.0 0.0 0.0,             ,
-1106.49 -1960.19 -229.853,   0 19 21 28,                   stand,   0.0 0.0 0.0,             ,
-1603.33 -1977.3 -240.791,    20 22 27,                     stand,   0.0 0.0 0.0,             ,
