95
-398.0 -701.0 -103.875,      25 26 29,                   stand,  0.0 0.0 0.0,           ,
-399.0 -1414.0 -15.875,      2 30,                       stand,  0.0 0.0 0.0,           ,
35.0 -1413.0 -15.875,        1 31,                       stand,  0.0 0.0 0.0,           ,
1436.0 -1094.0 -103.875,     4 45 46 47,                 stand,  0.0 0.0 0.0,           ,
1434.0 -1396.0 -103.875,     3 48 88,                    stand,  0.0 0.0 0.0,           ,
1394.0 -389.0 -183.875,      57 58,                      stand,  0.0 0.0 0.0,           ,
-131.0 -1005.0 -183.875,     8 71 73 75,                 stand,  0.0 0.0 0.0,           ,
-321.0 -1413.0 -183.875,     63 80,                      stand,  0.0 0.0 0.0,           ,
-82.2299 -863.762 -183.875,  6 9 70 73,                  stand,  0.0 0.0 0.0,           ,
448.301 -856.908 -183.875,   8 10 17 22 60 61 64 69 70,  stand,  0.0 0.0 0.0,           ,
614.125 -1000.76 -183.875,   9 11 61 62 65 94,           stand,  0.0 0.0 0.0,           ,
858.713 -676.924 -183.875,   10 12 16 17 59 94,          stand,  0.0 0.0 0.0,           ,
1169.3 -1000.41 -183.875,    11 13 53,                   stand,  0.0 0.0 0.0,           ,
1209.24 -771.844 -183.875,   12 54,                      stand,  0.0 0.0 0.0,           ,
1061.15 -644.94 -183.875,    15 55 56 66,                stand,  0.0 0.0 0.0,           ,
996.8 -642.878 -151.875,     14 16,                      stand,  0.0 0.0 0.0,           ,
921.559 -593.903 -183.875,   11 15 17 59,                stand,  0.0 0.0 0.0,           ,
451.329 -449.584 -183.875,   9 11 16 18 19 60,           stand,  0.0 0.0 0.0,           ,
245.304 -612.352 -183.875,   17 20 21 82,                stand,  0.0 0.0 0.0,           ,
315.629 -367.416 -183.875,   17 20 23,                   stand,  0.0 0.0 0.0,           ,
186.036 -426.774 -183.875,   18 19 23 73,                stand,  0.0 0.0 0.0,           ,
269.278 -677.727 -156.875,   18 22,                      stand,  0.0 0.0 0.0,           ,
291.121 -753.166 -183.875,   9 21 69,                    stand,  0.0 0.0 0.0,           ,
33.4921 -417.0 -183.472,     19 20 24,                   stand,  0.0 0.0 0.0,           ,
-209.379 -412.259 -103.875,  23 84,                      stand,  0.0 0.0 0.0,           ,
-309.785 -518.292 -103.875,  0 84,                       stand,  0.0 0.0 0.0,           ,
-329.691 -873.338 -103.875,  0 27 29,                    stand,  0.0 0.0 0.0,           ,
-281.145 -1100.49 -103.875,  26 28,                      stand,  0.0 0.0 0.0,           ,
-312.532 -1252.46 -103.875,  27,                         stand,  0.0 0.0 0.0,           ,
-405.186 -1062.2 -103.875,   0 26 30,                    stand,  0.0 0.0 0.0,           ,
-423.212 -1332.62 -15.875,   1 29,                       stand,  0.0 0.0 0.0,           ,
299.073 -1416.97 -15.875,    2 32,                       stand,  0.0 0.0 0.0,           ,
447.621 -1437.67 40.125,     31 33,                      stand,  0.0 0.0 0.0,           ,
544.413 -1404.59 40.125,     32 34,                      stand,  0.0 0.0 0.0,           ,
570.087 -1113.91 40.125,     33 35,                      stand,  0.0 0.0 0.0,           ,
600.923 -1054.12 40.125,     34 36,                      stand,  0.0 0.0 0.0,           ,
588.691 -975.325 40.125,     35 37,                      stand,  0.0 0.0 0.0,           ,
518.748 -962.02 40.125,      36 38,                      stand,  0.0 0.0 0.0,           ,
555.415 -804.267 40.125,     37 39,                      stand,  0.0 0.0 0.0,           ,
572.23 -384.759 40.125,      38 40,                      stand,  0.0 0.0 0.0,           ,
739.804 -388.636 40.125,     39 41,                      stand,  0.0 0.0 0.0,           ,
871.832 -383.268 -15.875,    40 42 43,                   stand,  0.0 0.0 0.0,           ,
1000.36 -387.843 -15.875,    41 43,                      stand,  0.0 0.0 0.0,           ,
1514.0 -391.607 -15.875,     41 42 44,                   stand,  0.0 0.0 0.0,           ,
1523.82 -509.058 -15.875,    43 45,                      stand,  0.0 0.0 0.0,           ,
1514.89 -764.221 -103.875,   3 44,                       stand,  0.0 0.0 0.0,           ,
1440.01 -557.111 -103.875,   3 47,                       stand,  0.0 0.0 0.0,           ,
1437.44 -870.675 -103.875,   3 46,                       stand,  0.0 0.0 0.0,           ,
1311.87 -1394.94 -103.875,   4 50,                       stand,  0.0 0.0 0.0,           ,
816.624 -1368.08 -183.875,   50 51 53 67 68 92,          stand,  0.0 0.0 0.0,           ,
