212
-985.5 -540.5 -0.875,         170,                                      stand,  0.0 0.0 0.0,           ,
-1359.52 -2861.22 -1.375,     91,                                       stand,  0.0 0.0 0.0,           ,
-1922.0 -2647.0 -1.375,       85,                                       stand,  0.0 0.0 0.0,           ,
-634.0 -1991.0 -65.6629,      44,                                       stand,  0.0 0.0 0.0,           ,
1799.0 372.0 -4.06483,        24,                                       stand,  0.0 0.0 0.0,           ,
1086.0 974.5 95.625,          179,                                      stand,  0.0 0.0 0.0,           ,
-3922.0 -554.0 -0.874996,     126,                                      stand,  0.0 0.0 0.0,           ,
-1987.0 -1153.5 -58.4135,     72,                                       stand,  0.0 0.0 0.0,           ,
883.5 883.0 95.625,           179 180,                                  stand,  0.0 0.0 0.0,           ,
-865.0 1361.0 -0.875,         142,                                      stand,  0.0 0.0 0.0,           ,
-1328.5 -164.0 164.625,       153,                                      stand,  0.0 0.0 0.0,           ,
-3598.0 -276.0 164.625,       200,                                      stand,  0.0 0.0 0.0,           ,
-2730.0 -2446.0 28.125,       83,                                       stand,  0.0 0.0 0.0,           ,
-3096.5 -2104.5 28.125,       81,                                       stand,  0.0 0.0 0.0,           ,
544.5 -417.5 88.125,          184,                                      stand,  0.0 0.0 0.0,           ,
436.5 -1088.5 88.125,         187,                                      stand,  0.0 0.0 0.0,           ,
734.5 -1623.0 -60.875,        40,                                       stand,  0.0 0.0 0.0,           ,
1477.0 -2266.5 2.27177,       100 101,                                  stand,  0.0 0.0 0.0,           ,
393.142 -2855.29 54.125,      103 114,                                  stand,  0.0 0.0 0.0,           ,
1270.59 -594.1 -3.74253,      20 21 23 25 26 194,                       stand,  0.0 0.0 0.0,           ,
1439.94 -1211.43 14.2583,     19 26 98 99,                              stand,  0.0 0.0 0.0,           ,
974.645 -765.3 -15.6665,      19 22 27 28 194,                          stand,  0.0 0.0 0.0,           ,
950.237 -401.687 -10.8743,    21 23 194,                                stand,  0.0 0.0 0.0,           ,
1338.29 94.2717 -21.375,      19 22 24 195,                             stand,  0.0 0.0 0.0,           ,
1676.74 270.029 -3.42084,     4 23 25 195,                              stand,  0.0 0.0 0.0,           ,
964.097 249.968 -12.1501,     19 24 182 183 186 195,                    stand,  0.0 0.0 0.0,           ,
1261.12 -1180.28 20.125,      19 20 27,                                 stand,  0.0 0.0 0.0,           ,
1023.45 -1436.62 9.69316,     21 26 102,                                stand,  0.0 0.0 0.0,           ,
660.174 -680.895 -20.875,     21 29 30 31,                              stand,  0.0 0.0 0.0,           ,
604.003 -174.976 -20.875,     28 185 186,                               stand,  0.0 0.0 0.0,           ,
576.309 -429.47 -20.875,      28,                                       stand,  0.0 0.0 0.0,           ,
261.308 -600.065 -25.9104,    28 32 48 49 174 183,                      stand,  0.0 0.0 0.0,           ,
197.276 -1129.38 -20.875,     31 33 34,                                 stand,  0.0 0.0 0.0,           ,
288.97 -1218.68 -20.875,      32 188,                                   stand,  0.0 0.0 0.0,           ,
428.505 -1087.8 -20.875,      32 35 38,                                 stand,  0.0 0.0 0.0,           ,
797.486 -1179.04 -20.875,     34 36 38,                                 stand,  0.0 0.0 0.0,           ,
832.063 -1366.88 -20.875,     35 37,                                    stand,  0.0 0.0 0.0,           ,
756.673 -1491.43 -60.875,     36 40 106,                                stand,  0.0 0.0 0.0,           ,
585.588 -1130.43 -20.875,     34 35 39,                                 stand,  0.0 0.0 0.0,           ,
549.07 -1395.14 -20.875,      38 40,                                    stand,  0.0 0.0 0.0,           ,
555.328 -1505.95 -60.875,     16 37 39 41 106,                          stand,  0.0 0.0 0.0,           ,
563.221 -1699.28 -73.0057,    40 42 119 209,                            stand,  0.0 0.0 0.0,           ,
376.745 -1935.9 -81.9537,     41 43 115 209,                            stand,  0.0 0.0 0.0,           ,
-550.585 -1856.45 -88.375,    42 44 45 115,                             stand,  0.0 0.0 0.0,           ,
-550.265 -2000.38 -76.5512,   3 43,                                     stand,  0.0 0.0 0.0,           ,
-754.659 -1805.88 -17.875,    43 46 52,                                 stand,  0.0 0.0 0.0,           ,
-1181.13 -1894.21 -4.75304,   45 47 52 55 56 90,                        stand,  0.0 0.0 0.0,           ,
-1218.75 -780.067 -6.98815,   46 48 51 54 76,                           stand,  0.0 0.0 0.0,           ,
-173.973 -812.255 -5.85045,   31 47 49 50 54,                           stand,  0.0 0.0 0.0,           ,
-64.8642 -957.799 -15.267,    31 48 51 53 54,                           stand,  0.0 0.0 0.0,           ,
-263.213 -1584.41 -19.1199,   48 51,                                    stand,  0.0 0.0 0.0,           ,
-873.875 -1341.69 -26.379,    47 49 50 53 76,                           stand,  0.0 0.0 0.0,           ,
-903.219 -1779.93 -26.8708,   45 46 53,                                 stand,  0.0 0.0 0.0,           ,
-665.343 -1263.0 -26.375,     49 51 52 54,                              stand,  0.0 0.0 0.0,           ,
-577.465 -836.658 -26.375,    47 48 49 53 158,                          stand,  0.0 0.0 0.0,           ,
-1188.59 -2252.06 -1.375,     46 56 57 86 90 91 92,                     stand,  0.0 0.0 0.0,           ,
-1701.45 -1948.32 3.94055,    46 55 57 77 85 86,                        stand,  0.0 0.0 0.0,           ,
-1670.66 -1785.85 -18.476,    55 56 58 77 78,                           stand,  0.0 0.0 0.0,           ,
-1668.81 -1587.37 94.125,     57 59 68,                                 stand,  0.0 0.0 0.0,           ,
-1654.41 -1024.02 94.125,     58 60 68 71,                              stand,  0.0 0.0 0.0,           ,
-1844.25 -1183.43 94.125,     59 61 66 71,                              stand,  0.0 0.0 0.0,           ,
-2285.62 -1138.69 94.125,     60 62 63,                                 stand,  0.0 0.0 0.0,           ,
-2278.65 -864.778 94.125,     61,                                       stand,  0.0 0.0 0.0,           ,
-2300.93 -1646.04 101.625,    61 64,                                    stand,  0.0 0.0 0.0,           ,
-2257.94 -1735.06 53.625,     63 65,                                    stand,  0.0 0.0 0.0,           ,
-2296.03 -1808.71 -1.375,     64 77 78,                                 stand,  0.0 0.0 0.0,           ,
-1840.81 -1475.04 94.125,     60 67,                                    stand,  0.0 0.0 0.0,           ,
-2071.72 -1557.38 94.125,     66,                                       stand,  0.0 0.0 0.0,           ,
-1521.51 -1379.92 94.125,     58 59 69 71,                              stand,  0.0 0.0 0.0,           ,
-1520.14 -1740.2 94.125,      68,                                       stand,  0.0 0.0 0.0,           ,
-1932.14 -861.271 -29.6865,   71 73 74,                                 climb,  17.0947 -89.978 0.0,   ,
-1929.78 -937.206 94.125,     59 60 68 70,                              climb,  10.4315 -89.5441 0.0,  ,
-1976.81 -1002.59 -31.875,    7 73,                                     stand,  0.0 0.0 0.0,           ,
-1959.41 -763.455 -31.875,    70 72 74,                                 stand,  0.0 0.0 0.0,           ,
-1776.02 -756.412 -32.0495,   70 73 75,                                 stand,  0.0 0.0 0.0,           ,
-1483.86 -816.907 -31.875,    74 76,                                    stand,  0.0 0.0 0.0,           ,
-1366.21 -820.574 1.08542,    47 51 75,                                 stand,  0.0 0.0 0.0,           ,
-1956.02 -1779.43 -1.375,     56 57 65 78 86,                           stand,  0.0 0.0 0.0,           ,
-2707.93 -1813.05 -4.55221,   57 65 77 79 89 120 124,                   stand,  0.0 0.0 0.0,           ,
-2930.0 -1948.49 -1.375,      78 80 89 120 124,                         stand,  0.0 0.0 0.0,           ,
-2935.53 -2086.15 28.125,     79 81,                                    stand,  0.0 0.0 0.0,           ,
-3017.32 -2399.82 28.125,     13 80 82,                                 stand,  0.0 0.0 0.0,           ,
-2780.81 -2621.87 28.125,     81 83,                                    stand,  0.0 0.0 0.0,           ,
-2515.02 -2415.78 28.125,     12 82 84,                                 stand,  0.0 0.0 0.0,           ,
-2042.97 -2532.62 28.125,     83 85,                                    stand,  0.0 0.0 0.0,           ,
-1885.31 -2523.99 -1.375,     2 56 84 86 90,                            stand,  0.0 0.0 0.0,           ,
-1908.51 -2009.62 1.27478,    55 56 77 85 87,                           stand,  0.0 0.0 0.0,           ,
-2046.39 -2009.53 28.125,     86 88,                                    stand,  0.0 0.0 0.0,           ,
-2378.26 -2005.23 28.125,     87 89,                                    stand,  0.0 0.0 0.0,           ,
-2479.6 -2002.03 -1.375,      78 79 88 120 124,                         stand,  0.0 0.0 0.0,           ,
-1305.54 -2555.21 -1.375,     46 55 85 91,                              stand,  0.0 0.0 0.0,           ,
-1234.2 -2846.85 0.125,       1 55 90,                                  stand,  0.0 0.0 0.0,           ,
-1073.72 -2248.58 1.125,      55 93,                                    stand,  0.0 0.0 0.0,           ,
-498.946 -2267.75 34.7698,    92 94,                                    stand,  0.0 0.0 0.0,           ,
-126.373 -2410.24 47.1844,    93 95 118,                                stand,  0.0 0.0 0.0,           ,
317.461 -2260.88 45.277,      94 96 104 118,                            stand,  0.0 0.0 0.0,           ,
713.852 -1984.17 46.5551,     95 97 101,                                stand,  0.0 0.0 0.0,           ,
1139.58 -1777.67 0.991589,    96 98 101 102,                            stand,  0.0 0.0 0.0,           ,
1363.64 -1541.53 27.8211,     20 97 99,                                 stand,  0.0 0.0 0.0,           ,
1762.38 -1716.08 14.9196,     20 98 100,                                stand,  0.0 0.0 0.0,           ,
1591.68 -2212.15 2.59679,     17 99 101,                                stand,  0.0 0.0 0.0,           ,
1179.44 -2027.91 11.4186,     17 96 97 100,                             stand,  0.0 0.0 0.0,           ,
952.642 -1594.19 17.125,      27 97,                                    stand,  0.0 0.0 0.0,           ,
235.286 -2700.3 54.125,       18 104,                                   stand,  0.0 0.0 0.0,           ,
260.272 -2417.7 48.8009,      95 103 118,                               stand,  0.0 0.0 0.0,           ,
642.599 -1361.15 -60.875,     106 107,                                  climb,  15.8575 -169.131 0.0,  ,
642.578 -1482.18 -60.875,     37 40 105,                                stand,  0.0 0.0 0.0,           ,
687.126 -1303.45 -320.831,    105 108,                                  climb,  18.2086 -179.42 0.0,   ,
711.452 -1415.93 -321.243,    107 109,                                  stand,  0.0 0.0 0.0,           ,
695.993 -1666.74 -321.363,    108 110,                                  stand,  0.0 0.0 0.0,           ,
455.392 -1922.78 -321.285,    109 111,                                  stand,  0.0 0.0 0.0,           ,
311.597 -1993.18 -320.513,    110 112,                                  stand,  0.0 0.0 0.0,           ,
400.369 -2527.54 -320.736,    111 113,                                  stand,  0.0 0.0 0.0,           ,
395.839 -2646.87 -320.824,    112 114,                                  climb,  13.2813 -87.0252 0.0,  ,
395.222 -2685.37 54.125,      18 113,                                   climb,  15.3137 -90.5023 0.0,  ,
124.988 -1920.26 -88.375,     42 43 116 119,                            stand,  0.0 0.0 0.0,           ,
141.663 -2021.68 -24.3752,    115 117,                                  stand,  0.0 0.0 0.0,           ,
196.773 -1993.18 23.625,      116 118,                                  stand,  0.0 0.0 0.0,           ,
124.659 -2114.33 48.657,      94 95 104 117,                            stand,  0.0 0.0 0.0,           ,
95.5908 -1701.68 -64.3868,    41 115 209,                               stand,  0.0 0.0 0.0,           ,
-2707.12 -1335.15 -13.375,    78 79 89 121 124,                         stand,  0.0 0.0 0.0,           ,
-2555.73 -1053.93 -5.98936,   120 122 164 199,                          stand,  0.0 0.0 0.0,           ,
-2841.6 -763.316 -1.375,      121 123 164 199,                          stand,  0.0 0.0 0.0,           ,
-3157.26 -930.822 -1.375,     122 124 125,                              stand,  0.0 0.0 0.0,           ,
-2776.61 -1500.34 -13.375,    78 79 89 120 123,                         stand,  0.0 0.0 0.0,           ,
-3144.36 -482.273 -0.875,     123 126 163 164,                          stand,  0.0 0.0 0.0,           ,
-3808.11 -415.736 -0.875,     6 125 127 163 164,                        stand,  0.0 0.0 0.0,           ,
