126
1619.21 -874.787 -798.875,   38 39 41,             stand,  ,  ,
2224.0 -624.0 -798.875,      39 43,                stand,  ,  ,
2312.79 394.787 -930.736,    49,                   stand,  ,  ,
2033.0 1037.0 -783.875,      60 63 125,            stand,  ,  ,
1664.0 1583.0 -799.875,      62 77,                stand,  ,  ,
298.0 1557.0 -799.875,       18 78,                stand,  ,  ,
1132.0 1133.0 -949.875,      24,                   stand,  ,  ,
-229.0 1411.0 -799.875,      17,                   stand,  ,  ,
25.0 1161.0 -799.875,        18 19 20 119,         stand,  ,  ,
-949.0 430.0 -872.774,       10 86 87,             stand,  ,  ,
-946.0 15.0 -896.971,        9 99,                 stand,  ,  ,
-893.0 -461.0 -783.875,      103,                  stand,  ,  ,
169.0 -629.0 -783.875,       113,                  stand,  ,  ,
474.0 -991.0 -798.875,       33 35 36,             stand,  ,  ,
1216.79 -924.787 -798.875,   33 35 37,             stand,  ,  ,
989.0 -447.0 -798.875,       30 31 32 33,          stand,  ,  ,
477.0 102.0 -783.875,        91 94,                stand,  ,  ,
-166.509 1294.8 -799.875,    7 18 79 80 119,       stand,  ,  ,
469.061 1235.23 -799.875,    5 8 17 79,            stand,  ,  ,
-44.2076 795.081 -799.238,   8 80 81 119,          stand,  ,  ,
259.025 946.102 -799.875,    8 21 80,              stand,  ,  ,
581.526 957.705 -796.01,     20 22,                stand,  ,  ,
747.767 974.002 -835.093,    21 23,                stand,  ,  ,
936.859 934.817 -922.838,    22 24 25,             stand,  ,  ,
1132.29 1019.85 -949.875,    6 23,                 stand,  ,  ,
1019.97 809.198 -949.835,    23 26,                stand,  ,  ,
1223.91 807.23 -949.96,      25 27 73,             stand,  ,  ,
1227.23 519.23 -946.52,      26 28,                stand,  ,  ,
1226.39 109.677 -947.151,    27 29,                stand,  ,  ,
1122.83 115.251 -902.366,    28 30,                stand,  ,  ,
921.566 124.644 -803.321,    15 29 31 32 95,       stand,  ,  ,
755.896 257.277 -783.875,    15 30 32 94 96 114,   stand,  ,  ,
864.259 -484.75 -798.875,    15 30 31 33,          stand,  ,  ,
847.055 -923.857 -798.875,   13 14 15 32 37,       stand,  ,  ,
270.297 -883.942 -783.875,   36 108 110,           stand,  ,  ,
495.924 -706.795 -798.875,   13 14 36,             stand,  ,  ,
381.84 -899.093 -798.875,    13 34 35,             stand,  ,  ,
1279.53 -755.795 -798.875,   14 33 38 40,          stand,  ,  ,
1638.89 -793.94 -798.875,    0 37 39,              stand,  ,  ,
1943.48 -890.318 -798.875,   0 1 38 43 45,         stand,  ,  ,
1534.62 -679.286 -798.875,   37 41,                stand,  ,  ,
