285
1619.21 -874.787 -798.875,   64,                    stand,  0.0 0.0 0.0,  ,
2224.0 -624.0 -798.875,      59 60,                 stand,  0.0 0.0 0.0,  ,
2312.79 394.787 -930.736,    51 52 53,              stand,  0.0 0.0 0.0,  ,
2033.0 1037.0 -783.875,      169 170,               stand,  0.0 0.0 0.0,  ,
1664.0 1583.0 -799.875,      199 200,               stand,  0.0 0.0 0.0,  ,
298.0 1557.0 -799.875,       20 22,                 stand,  0.0 0.0 0.0,  ,
1132.0 1133.0 -949.875,      38,                    stand,  0.0 0.0 0.0,  ,
-229.0 1411.0 -799.875,      17,                    stand,  0.0 0.0 0.0,  ,
25.0 1161.0 -799.875,        30 101,                stand,  0.0 0.0 0.0,  ,
-949.0 430.0 -872.774,       111,                   stand,  0.0 0.0 0.0,  ,
-946.0 15.0 -896.971,        89 114 115,            stand,  0.0 0.0 0.0,  ,
-893.0 -461.0 -783.875,      282,                   stand,  0.0 0.0 0.0,  ,
169.0 -629.0 -783.875,       126,                   stand,  0.0 0.0 0.0,  ,
474.0 -991.0 -798.875,       73,                    stand,  0.0 0.0 0.0,  ,
1216.79 -924.787 -798.875,   67 68,                 stand,  0.0 0.0 0.0,  ,
989.0 -447.0 -798.875,       251 252,               stand,  0.0 0.0 0.0,  ,
477.0 102.0 -783.875,        272,                   stand,  0.0 0.0 0.0,  ,
-201.931 1376.29 -799.875,   7 18 99,               stand,  0.0 0.0 0.0,  ,
32.8611 1276.14 -799.875,    17 19,                 stand,  0.0 0.0 0.0,  ,
206.653 1230.24 -799.875,    18 20 29,              stand,  0.0 0.0 0.0,  ,
349.23 1273.27 -799.875,     5 19 21 28 28,         stand,  0.0 0.0 0.0,  ,
389.099 1416.29 -799.875,    20 22,                 stand,  0.0 0.0 0.0,  ,
414.136 1559.49 -799.875,    5 21 23,               stand,  0.0 0.0 0.0,  ,
564.224 1569.16 -799.875,    22 24 213,             stand,  0.0 0.0 0.0,  ,
662.672 1456.88 -799.875,    23 25,                 stand,  0.0 0.0 0.0,  ,
637.865 1309.54 -799.875,    24 26,                 stand,  0.0 0.0 0.0,  ,
544.542 1218.8 -799.875,     25 27 210,             stand,  0.0 0.0 0.0,  ,
443.353 1224.37 -799.875,    26 28,                 stand,  0.0 0.0 0.0,  ,
319.832 1208.72 -799.875,    20 20 27 29 223,       stand,  0.0 0.0 0.0,  ,
172.249 1188.76 -799.875,    19 28 30,              stand,  0.0 0.0 0.0,  ,
56.0571 1157.11 -799.875,    8 29 31,               stand,  0.0 0.0 0.0,  ,
254.317 980.028 -799.875,    30 32 103,             stand,  0.0 0.0 0.0,  ,
403.995 981.718 -799.875,    31 33,                 stand,  0.0 0.0 0.0,  ,
526.02 991.685 -795.72,      32 34,                 stand,  0.0 0.0 0.0,  ,
624.228 999.721 -802.36,     33 35 43,              stand,  0.0 0.0 0.0,  ,
