175
2806.81 1393.97 778.784,   1 6 171,              stand,  0.0 0.0 0.0,                ,
3096.6 1380.19 764.749,    0 2 5,                stand,  0.0 0.0 0.0,                ,
3001.24 1521.04 778.952,   1,                    stand,  0.0 0.0 0.0,                ,
3223.02 1289.82 760.294,   5,                    stand,  0.0 0.0 0.0,                ,
3043.07 812.693 786.158,   5 6 7,                stand,  0.0 0.0 0.0,                ,
3109.54 996.542 761.405,   1 3 4 6,              stand,  0.0 0.0 0.0,                ,
2816.37 1104.14 777.886,   0 4 5,                stand,  0.0 0.0 0.0,                ,
2839.0 623.214 797.72,     4 8 9 10,             stand,  0.0 0.0 0.0,                ,
2629.35 657.663 791.045,   7 9 11,               stand,  0.0 0.0 0.0,                ,
2669.78 881.576 708.875,   7 8 99 100,           stand,  0.0 0.0 0.0,                ,
2798.13 476.735 807.928,   7 11 13,              stand,  0.0 0.0 0.0,                ,
2536.89 553.224 826.656,   8 10 12,              stand,  0.0 0.0 0.0,                ,
2378.25 375.535 842.099,   11 13 15 16,          stand,  0.0 0.0 0.0,                ,
2612.17 182.989 826.583,   10 12 14 158,         stand,  0.0 0.0 0.0,                ,
2394.91 78.6638 858.502,   13 15 17 156,         stand,  0.0 0.0 0.0,                ,
2260.15 255.493 854.317,   12 14 16 17,          stand,  0.0 0.0 0.0,                ,
2185.39 371.995 848.984,   12 15,                stand,  0.0 0.0 0.0,                ,
2316.82 36.6854 868.045,   14 15 18,             stand,  0.0 0.0 0.0,                ,
2132.32 -64.049 966.125,   17 19,                stand,  0.0 0.0 0.0,                ,
2031.76 -100.094 966.125,  18 20,                stand,  0.0 0.0 0.0,                ,
1966.0 16.7655 972.125,    19 21 25,             stand,  0.0 0.0 0.0,                ,
2105.26 105.993 972.125,   20 22,                stand,  0.0 0.0 0.0,                ,
1990.27 288.856 972.125,   21 23,                stand,  0.0 0.0 0.0,                ,
1897.67 244.086 972.125,   22 24,                stand,  0.0 0.0 0.0,                ,
1859.91 125.719 972.125,   23 27,                stand,  0.0 0.0 0.0,                ,
1783.33 -47.9818 972.208,  20 27,                stand,  0.0 0.0 0.0,                ,
1459.45 80.3378 972.125,   28,                   stand,  0.0 0.0 0.0,                ,
1719.84 74.0153 972.125,   24 25 28,             stand,  0.0 0.0 0.0,                ,
1484.16 -4.66622 972.125,  26 27 29,             stand,  0.0 0.0 0.0,                ,
1240.3 -25.6426 972.125,   28 30 169,            stand,  0.0 0.0 0.0,                ,
995.372 -29.3722 968.125,  29 31 32,             stand,  0.0 0.0 0.0,                ,
1043.06 44.1385 968.125,   30,                   stand,  0.0 0.0 0.0,                ,
930.093 -166.662 968.125,  30 33,                stand,  0.0 0.0 0.0,                ,
917.999 -277.934 968.125,  32 34,                stand,  0.0 0.0 0.0,                ,
922.696 -460.064 893.703,  33 53 54 64,          stand,  0.0 0.0 0.0,                ,
957.262 -712.213 877.261,  36 53 54 67,          stand,  0.0 0.0 0.0,                ,
963.43 -794.916 898.125,   35 37,                stand,  0.0 0.0 0.0,                ,
1047.5 -938.032 898.125,   36 38 40,             stand,  0.0 0.0 0.0,                ,
1210.85 -873.274 898.125,  37 39,                stand,  0.0 0.0 0.0,                ,
1324.37 -868.631 864.068,  38 44 45,             stand,  0.0 0.0 0.0,                ,
