167
-10936.2 -15605.8 74.125,   138,                      stand,  ,                       ,
-10664.3 -20218.3 81.125,   30 31,                    stand,  ,                       ,
-9116.54 -16103.8 125.625,  105,                      stand,  ,                       ,
-9845.56 -14511.0 93.9511,  118,                      stand,  ,                       ,
-11784.1 -16765.4 24.125,   9 155,                    stand,  ,                       ,
-9272.71 -18780.9 80.0456,  67 68,                    stand,  ,                       ,
-9252.12 -16936.9 108.838,  86 104,                   stand,  ,                       ,
-9812.08 -17191.8 144.125,  56,                       stand,  ,                       ,
-11582.6 -17380.3 86.2591,  157,                      stand,  ,                       ,
-11887.9 -16692.9 24.125,   4,                        stand,  ,                       ,
-11412.7 -14828.4 28.125,   28 131,                   stand,  ,                       ,
-10450.4 -18762.6 74.125,   45,                       stand,  ,                       ,
-10583.8 -18377.3 74.125,   45,                       stand,  ,                       ,
-9980.53 -20064.1 81.125,   31 32,                    stand,  ,                       ,
-9551.43 -16140.2 120.202,  65,                       stand,  ,                       ,
-10933.0 -19893.0 17.822,   34,                       stand,  ,                       ,
-10059.4 -19211.6 44.625,   39,                       stand,  ,                       ,
-9833.84 -19737.2 66.5662,  40,                       stand,  ,                       ,
-9485.16 -19197.9 79.3512,  40,                       stand,  ,                       ,
-9429.88 -18800.8 69.755,   67,                       stand,  ,                       ,
-7519.8 -16985.1 180.843,   95,                       stand,  ,                       ,
-7285.77 -16897.7 205.295,  96,                       stand,  ,                       ,
-7590.64 -16058.3 295.89,   97,                       stand,  ,                       ,
-7427.16 -16218.0 261.875,  97,                       stand,  ,                       ,
-7711.84 -16492.9 250.774,  97,                       stand,  ,                       ,
-8177.36 -16580.3 247.637,  99 100,                   stand,  ,                       ,
-8114.84 -15937.3 214.029,  102,                      stand,  ,                       ,
-11120.0 -14040.3 95.125,   125,                      stand,  ,                       ,
-11479.6 -14815.8 28.125,   10,                       stand,  ,                       ,
-11416.9 -14286.3 24.8703,  128,                      stand,  ,                       ,
-10740.4 -20031.5 81.125,   1 31 34,                  stand,  ,                       ,
-10311.3 -20051.8 81.125,   1 13 30 32,               stand,  ,                       ,
-9985.23 -19869.5 81.125,   13 31 33,                 stand,  ,                       ,
-10025.5 -19754.3 79.6464,  32 37,                    stand,  ,                       ,
-10771.6 -19814.6 24.3814,  15 30 38,                 stand,  ,                       ,
-10519.4 -19214.1 33.9796,  36 38 39,                 stand,  ,                       ,
-10529.6 -19035.7 15.3894,  35 43,                    stand,  ,                       ,
-10054.6 -19646.3 46.0145,  33 38 40,                 stand,  ,                       ,
-10565.0 -19398.0 38.4952,  34 35 37,                 stand,  ,                       ,
-10219.2 -19282.7 44.625,   16 35 40,                 stand,  ,                       ,
