90
-702.0 704.0 84.9297,       16 17,                   stand,  ,                       ,
782.0 544.0 82.0158,        12 49,                   stand,  ,                       ,
930.0 96.0 85.2589,         12 56 57,                stand,  ,                       ,
98.0 -944.0 84.125,         84 85,                   stand,  ,                       ,
-426.787 -602.787 81.7705,  65 67,                   stand,  ,                       ,
-672.0 -198.0 80.125,       66 71,                   stand,  ,                       ,
24.0 -218.0 95.3131,        22 23 25,                stand,  ,                       ,
258.0 -160.0 101.56,        73,                      stand,  ,                       ,
416.0 -50.0 101.155,        50 51 52,                stand,  ,                       ,
112.0 302.0 93.1381,        47 50,                   stand,  ,                       ,
656.0 318.0 94.2423,        58 59,                   stand,  ,                       ,
786.0 816.0 80.1545,        12 13,                   stand,  ,                       ,
909.449 701.366 85.4138,    1 2 11 56 60,            stand,  ,                       ,
543.653 833.465 98.9951,    11 14,                   stand,  ,                       ,
188.541 832.399 78.8461,    13 15 47,                stand,  ,                       ,
-552.178 850.05 85.9342,    14 16 48,                stand,  ,                       ,
-727.621 841.782 87.2124,   0 15,                    stand,  ,                       ,
-698.312 505.786 87.0595,   0 18 19 42,              stand,  ,                       ,
-420.49 381.693 87.0563,    17 20 72,                stand,  ,                       ,
-745.652 206.723 86.2908,   17 20 71,                stand,  ,                       ,
-179.115 201.71 87.1316,    18 19 21 24 47 72,       stand,  ,                       ,
63.6156 1.71025 104.791,    20 22,                   stand,  ,                       ,
58.6865 -132.288 101.688,   6 21,                    stand,  ,                       ,
-77.6377 -124.441 112.125,  6 24,                    stand,  ,                       ,
-180.585 -128.551 92.0179,  20 23,                   stand,  ,                       ,
79.8739 -184.043 100.656,   6 26,                    climb,  4.77905 -0.818481 0.0,  ,
76.2798 -152.766 311.125,   25 27,                   climb,  28.9764 93.3563 0.0,    ,
-24.1882 -116.294 309.125,  26 28,                   stand,  ,                       ,
-3.83966 -250.027 309.125,  27 29,                   stand,  ,                       ,
144.541 -247.5 323.819,     28 30,                   stand,  ,                       ,
231.245 -277.649 337.186,   29 31 89,                stand,  ,                       ,
224.226 127.528 315.079,    30 32,                   stand,  ,                       ,
332.052 114.454 336.125,    31 33,                   stand,  ,                       ,
320.107 402.451 332.792,    32 34,                   stand,  ,                       ,
325.45 579.155 300.821,     33 35,                   stand,  ,                       ,
360.24 740.97 254.923,      34 36 61,                stand,  ,                       ,
24.9424 766.534 264.125,    35 37,                   stand,  ,                       ,
-328.643 844.201 264.125,   36 38 46,                stand,  ,                       ,
-344.774 726.75 185.682,    37 39 40 43,             stand,  ,                       ,
-356.176 503.604 191.685,   38 40 43,                stand,  ,                       ,
-469.497 613.523 184.603,   38 39 41,                stand,  ,                       ,
-520.866 591.828 128.125,   40 42,                   stand,  ,                       ,
-575.058 547.283 84.125,    17 41,                   stand,  ,                       ,
-437.257 683.896 186.025,   38 39 44,                stand,  ,                       ,
-486.435 687.149 234.125,   43 45,                   stand,  ,                       ,
-573.334 724.815 232.125,   44 46,                   stand,  ,                       ,
-574.331 840.052 264.125,   37 45,                   stand,  ,                       ,
162.606 600.811 76.8702,    9 14 20 48 49 50 51 73,  stand,  ,                       ,
-170.249 805.392 80.3886,   15 47,                   stand,  ,                       ,
639.861 623.304 98.3003,    1 47 59,                 stand,  ,                       ,
314.232 217.385 95.794,     8 9 47 51 52 56,         stand,  ,                       ,
500.703 259.746 87.7842,    8 47 50 73,              stand,  ,                       ,
633.916 65.6913 96.421,     8 50 53 56 57,           stand,  ,                       ,
664.424 -247.031 89.721,    52 54 55 75,             stand,  ,                       ,
553.353 -327.747 92.125,    53 62,                   stand,  ,                       ,
849.216 -229.146 78.0847,   53 56 76,                stand,  ,                       ,
859.298 95.4927 78.7174,    2 12 50 52 55,           stand,  ,                       ,
762.303 234.626 82.9014,    2 52 58,                 stand,  ,                       ,
751.076 394.949 91.1766,    10 57 59,                stand,  ,                       ,
625.379 395.224 90.5683,    10 49 58,                stand,  ,                       ,
793.288 709.497 103.587,    12 61,                   stand,  ,                       ,
518.218 719.158 218.309,    35 60,                   stand,  ,                       ,
432.495 -348.248 92.125,    54 63 74,                stand,  ,                       ,
176.014 -342.261 92.4113,   62 64 86,                stand,  ,                       ,
-84.8004 -305.191 92.035,   63 65,                   stand,  ,                       ,
