653
2250.5 -347.5 508.625,      77 80 561,                    stand,  ,  ,
2882.5 66.5 508.625,        194 436,                      stand,  ,  ,
98.5 316.5 460.625,         309 333,                      stand,  ,  ,
525.5 -281.5 468.625,       97 328 330,                   stand,  ,  ,
1080.5 -363.5 508.625,      218 325 560,                  stand,  ,  ,
3127.5 320.5 508.625,       193 238,                      stand,  ,  ,
96.5 -38.5 460.625,         332 376,                      stand,  ,  ,
1025.5 663.5 508.625,       25 317,                       stand,  ,  ,
1976.5 -380.5 508.625,      399 401,                      stand,  ,  ,
2183.5 -98.5 508.625,       242 535 556,                  stand,  ,  ,
292.5 268.5 460.625,        295 297,                      stand,  ,  ,
2008.5 -14.5 508.625,       398 401 542 552,              stand,  ,  ,
-216.5 289.5 386.125,       17 461 488,                   stand,  ,  ,
1582.5 319.5 508.625,       223 408 410 589 591,          stand,  ,  ,
3060.5 13.5 508.625,        167 170 239 546 547,          stand,  ,  ,
3194.5 -112.5 508.625,      71 190,                       stand,  ,  ,
3203.5 633.5 508.625,       47 48 237 562,                stand,  ,  ,
-411.5 349.5 386.125,       12 311 473 487 633,           stand,  ,  ,
-253.5 -56.5 386.125,       461 465 467,                  stand,  ,  ,
2181.5 331.5 508.625,       395 396,                      stand,  ,  ,
-1225.5 327.5 304.625,      122 516,                      stand,  ,  ,
1904.5 623.5 508.625,       226 410,                      stand,  ,  ,
2136.5 568.5 508.625,       41 227 395,                   stand,  ,  ,
2959.5 -288.5 508.625,      74 163,                       stand,  ,  ,
1386.5 5.5 508.625,         215 320 389,                  stand,  ,  ,
1281.5 624.5 508.625,       7 314 316 404 425,            stand,  ,  ,
1899.5 225.0 508.625,       224 392 528 557,              stand,  ,  ,
514.5 573.5 460.625,        142 299,                      stand,  ,  ,
1595.0 88.0 508.625,        389 408 537,                  stand,  ,  ,
537.399 686.123 460.625,    140 313 319,                  stand,  ,  ,
669.722 791.766 458.244,    31 142,                       stand,  ,  ,
737.919 889.812 444.625,    30 32,                        stand,  ,  ,
910.789 887.021 442.625,    31 33,                        stand,  ,  ,
1080.07 895.249 444.625,    32 34 414 416,                stand,  ,  ,
1251.45 896.375 442.625,    33 35,                        stand,  ,  ,
1413.9 896.36 444.625,      34 36 413 415,                stand,  ,  ,
1583.72 895.178 442.625,    35 37,                        stand,  ,  ,
1736.95 892.224 504.625,    36 38,                        stand,  ,  ,
1905.88 890.297 504.625,    37 39 412,                    stand,  ,  ,
2076.91 888.788 504.625,    38 40 227 411,                stand,  ,  ,
2197.69 758.27 508.625,     39 41,                        stand,  ,  ,
2247.09 704.294 508.625,    22 40 42 227 228,             stand,  ,  ,
2322.46 704.85 508.625,     41 43 534,                    stand,  ,  ,
2493.19 710.904 508.625,    42 44 230,                    stand,  ,  ,
2669.51 650.773 508.625,    43 45 232 534,                stand,  ,  ,
2840.7 651.993 508.625,     44 46 233,                    stand,  ,  ,
2980.67 673.689 508.625,    45 47 235,                    stand,  ,  ,
3123.78 700.579 508.625,    16 46 48,                     stand,  ,  ,
3292.59 694.51 508.625,     16 47 49,                     stand,  ,  ,
3459.38 652.97 508.625,     48 50 563,                    stand,  ,  ,
3622.54 600.087 508.625,    49 51,                        stand,  ,  ,
3784.62 544.778 508.625,    50 52 177,                    stand,  ,  ,
3938.31 468.589 508.625,    51 53 178,                    stand,  ,  ,
4027.11 416.054 508.625,    52 54 178,                    stand,  ,  ,
4116.77 362.601 514.625,    53 55,                        stand,  ,  ,
4206.33 307.526 514.625,    54 56 179,                    stand,  ,  ,
4291.42 247.624 514.625,    55 57 60,                     stand,  ,  ,
4361.58 170.683 514.625,    56 58,                        stand,  ,  ,
4339.32 68.957 514.625,     57 59,                        stand,  ,  ,
4261.41 -1.66146 514.625,   58 60,                        stand,  ,  ,
4177.04 -60.355 514.625,    56 59 61 183,                 stand,  ,  ,
4086.33 -112.554 514.625,   60 62,                        stand,  ,  ,
3997.35 -163.728 508.625,   61 63,                        stand,  ,  ,
3905.03 -216.257 508.625,   62 64,                        stand,  ,  ,
3813.68 -263.42 508.625,    63 65 185,                    stand,  ,  ,
3716.61 -305.677 508.625,   64 66,                        stand,  ,  ,
3618.86 -345.813 508.625,   65 67,                        stand,  ,  ,
3523.11 -381.163 508.625,   66 68 447,                    stand,  ,  ,
3419.92 -410.847 508.625,   67 69 445,                    stand,  ,  ,
3319.9 -429.144 508.625,    68 70,                        stand,  ,  ,
3217.96 -443.718 508.625,   69 71 165,                    stand,  ,  ,
3110.07 -449.871 508.625,   15 70 72,                     stand,  ,  ,
3006.23 -450.559 508.625,   71 73 164,                    stand,  ,  ,
2901.25 -451.255 508.625,   72 74 161,                    stand,  ,  ,
2799.12 -451.932 508.625,   23 73 75,                     stand,  ,  ,
2696.86 -430.283 508.625,   74 76 164,                    stand,  ,  ,
2601.75 -391.384 508.625,   75 77 160,                    stand,  ,  ,
2495.71 -396.915 508.625,   0 76 78,                      stand,  ,  ,
2389.2 -401.271 508.625,    77 79 160,                    stand,  ,  ,
2284.1 -413.981 508.625,    78 80,                        stand,  ,  ,
2184.53 -443.748 508.625,   0 79 81,                      stand,  ,  ,
2080.87 -453.722 508.625,   80 82 157 401,                stand,  ,  ,
1976.41 -455.373 508.625,   81 83,                        stand,  ,  ,
1874.2 -453.206 508.625,    82 84,                        stand,  ,  ,
1739.53 -368.738 526.625,   83 85,                        stand,  ,  ,
1683.9 -296.406 544.625,    84 86 154,                    stand,  ,  ,
1580.95 -283.084 544.625,   85 87,                        stand,  ,  ,
1475.58 -290.79 544.625,    86 88 152,                    stand,  ,  ,
1369.79 -297.929 544.625,   87 89 151,                    stand,  ,  ,
1267.12 -310.375 544.625,   88 90,                        stand,  ,  ,
1179.62 -364.012 526.625,   89 91,                        stand,  ,  ,
1119.14 -442.42 509.413,    90 92,                        stand,  ,  ,
1015.94 -454.141 508.625,   91 93 560,                    stand,  ,  ,
909.344 -453.719 508.625,   92 94 327,                    stand,  ,  ,
805.734 -455.375 508.625,   93 95,                        stand,  ,  ,
709.658 -455.375 469.288,   94 96,                        stand,  ,  ,
606.416 -454.544 468.625,   95 97 328,                    stand,  ,  ,
504.661 -431.061 468.625,   3 96 98,                      stand,  ,  ,
446.516 -401.353 468.625,   97 99,                        stand,  ,  ,
340.357 -399.457 468.625,   98 100 513 584,               stand,  ,  ,
242.099 -436.555 468.625,   99 101 329 510 584,           stand,  ,  ,
140.625 -447.821 460.625,   100 102 331,                  stand,  ,  ,
36.0965 -448.743 460.625,   101 103 509 510,              stand,  ,  ,
-59.5695 -449.236 425.719,  102 104,                      stand,  ,  ,
-157.333 -449.694 384.614,  103 105,                      stand,  ,  ,
-258.792 -443.779 375.125,  104 106 468,                  stand,  ,  ,
-355.242 -400.338 375.125,  105 107 466 469,              stand,  ,  ,
-444.981 -347.84 375.125,   106 108 505,                  stand,  ,  ,
-545.996 -325.046 375.125,  107 109 505,                  stand,  ,  ,
-651.151 -338.512 375.125,  108 110 478,                  stand,  ,  ,
-754.294 -358.534 375.125,  109 111,                      stand,  ,  ,
-852.811 -329.516 375.125,  110 112 479,                  stand,  ,  ,
-931.998 -258.16 375.125,   111 113,                      stand,  ,  ,
-1010.41 -197.508 375.125,  112 114,                      stand,  ,  ,
-1106.92 -180.028 347.231,  113 115,                      stand,  ,  ,
-1199.12 -174.414 304.625,  114 116,                      stand,  ,  ,
-1304.88 -166.081 304.625,  115 117 497,                  stand,  ,  ,
-1388.64 -137.371 260.625,  116 627,                      stand,  ,  ,
-1488.86 -9.73455 260.625,  119 514 627,                  stand,  ,  ,
-1490.61 160.124 260.625,   118 120 495,                  stand,  ,  ,
