259
-3066.8 -2720.6 267.132,     6 107 108 109,                 stand,  0.0 0.0 0.0,  ,
-2160.6 -947.2 -9.875,       241,                           stand,  0.0 0.0 0.0,  ,
-2303.4 -1080.8 -15.1004,    232,                           stand,  0.0 0.0 0.0,  ,
-3530.6 -1001.2 2.125,       82,                            stand,  0.0 0.0 0.0,  ,
-3435.4 -2084.8 162.339,     100 101,                       stand,  0.0 0.0 0.0,  ,
-3090.6 -2259.2 211.396,     105 106,                       stand,  0.0 0.0 0.0,  ,
-2956.8 -2840.6 279.371,     0 108 109,                     stand,  0.0 0.0 0.0,  ,
-1981.2 -91.4 -25.875,       55 64,                         stand,  0.0 0.0 0.0,  ,
-2989.2 -411.4 -27.4003,     71 78,                         stand,  0.0 0.0 0.0,  ,
-1865.2 -1493.4 150.125,     255,                           stand,  0.0 0.0 0.0,  ,
178.8 -2723.4 -15.875,       126,                           stand,  0.0 0.0 0.0,  ,
-91.8 -149.6 -9.27121,       26 27,                         stand,  0.0 0.0 0.0,  ,
-863.8 -45.6 -15.4497,       34 36 38,                      stand,  0.0 0.0 0.0,  ,
-1287.6 333.8 -33.5709,      40 43,                         stand,  0.0 0.0 0.0,  ,
-1580.2 213.6 -17.8919,      49 50,                         stand,  0.0 0.0 0.0,  ,
-1585.8 -183.6 -10.7653,     49 52,                         stand,  0.0 0.0 0.0,  ,
516.4 -960.2 -14.875,        170 171,                       stand,  0.0 0.0 0.0,  ,
755.8 -1222.4 -15.0269,      161,                           stand,  0.0 0.0 0.0,  ,
318.4 -1462.2 -17.875,       158 159,                       stand,  0.0 0.0 0.0,  ,
655.8 -1838.4 -9.24875,      157 158,                       stand,  0.0 0.0 0.0,  ,
88.2 -2129.6 -17.875,        132 144,                       stand,  0.0 0.0 0.0,  ,
-1859.4 -2908.8 193.449,     113 114 115,                   stand,  0.0 0.0 0.0,  ,
-1754.83 -2393.37 8.89853,   258,                           stand,  0.0 0.0 0.0,  ,
-2394.8 -2028.6 -9.69116,    224,                           stand,  0.0 0.0 0.0,  ,
228.6 -55.8 -17.8768,        25 26 32,                      stand,  0.0 0.0 0.0,  ,
245.126 -289.298 -17.9163,   24 31 175 176 177,             stand,  0.0 0.0 0.0,  ,
-93.0474 -25.2199 -23.6126,  11 24 27 33,                   stand,  0.0 0.0 0.0,  ,
