558
932.372 -2869.11 -159.875,   1 228 427,                            stand,   ,                        ,
1063.41 -2739.13 -159.875,   0 2 6 228,                            stand,   ,                        ,
1156.27 -2728.45 -159.875,   1 3 429,                              stand,   ,                        ,
1178.86 -2494.01 -159.875,   2 4 5,                                stand,   ,                        ,
1284.99 -2473.65 -159.875,   3 7 47 430,                           stand,   ,                        ,
969.36 -2489.49 -159.875,    3 6 10 426,                           stand,   ,                        ,
945.167 -2691.07 -159.875,   1 5,                                  stand,   ,                        ,
1415.48 -2493.97 -202.444,   4 8 49 421 424 425,                   stand,   ,                        ,
1552.47 -2353.12 -194.259,   7 9 38 421 425,                       stand,   ,                        ,
1571.72 -2100.15 -189.04,    8 14 38 40 435 436 441,               stand,   ,                        ,
977.484 -2398.01 -159.875,   5 11 15 16,                           stand,   ,                        ,
1229.69 -2384.57 -159.875,   10 12 229 445,                        stand,   ,                        ,
1371.98 -2276.73 -177.294,   11 13 229,                            stand,   ,                        ,
1459.01 -2249.69 -191.875,   12 14 442,                            stand,   ,                        ,
1460.07 -2127.28 -184.904,   9 13 435 436 437 439,                 stand,   ,                        ,
816.527 -2379.28 -191.875,   10 82 450,                            stand,   ,                        ,
932.795 -2334.57 -159.875,   10 447,                               stand,   ,                        ,
939.65 -2212.28 -111.875,    18 447,                               stand,   ,                        ,
1005.06 -2212.37 -111.875,   17 19,                                stand,   ,                        ,
998.46 -2349.51 -31.875,     18 20 262 448,                        stand,   ,                        ,
1044.99 -2522.24 -31.875,    19 263,                               stand,   ,                        ,
2112.8 -1847.0 -191.539,     22 27 36 261 441,                     stand,   ,                        ,
1925.87 -1704.58 -200.221,   21 27 36 232,                         stand,   ,                        ,
1563.57 -1634.06 -195.875,   232 431 433 465,                      stand,   ,                        ,
1578.18 -1403.67 -195.875,   25 234 460 462 463 464 465 466,       stand,   ,                        ,
1805.2 -1427.88 -199.875,    24 26 458 459,                        stand,   ,                        ,
1824.61 -1235.42 -207.875,   25 27 28 29 461,                      stand,   ,                        ,
2007.0 -1311.72 -211.556,    21 22 26 34 35 36 545,                stand,   ,                        ,
1577.66 -913.185 -191.875,   26 30 32 461 547,                     stand,   ,                        ,
1872.46 -832.291 -191.116,   26 30 31 33 233 544,                  stand,   ,                        ,
1729.12 -691.017 -153.942,   28 29 31 32 454,                      stand,   ,                        ,
1897.7 -425.366 -131.699,    29 30 33 235 451 452 454 544,         stand,   ,                        ,
1530.47 -678.741 -199.567,   28 30 206 210 454,                    stand,   ,                        ,
2495.01 -761.129 -154.112,   29 31 34 451 452 544,                 stand,   ,                        ,
2525.47 -1207.94 -155.815,   27 33 35 544 545,                     stand,   ,                        ,
2604.45 -1435.82 -157.453,   27 34 36 260,                         stand,   ,                        ,
2464.56 -1694.39 -173.048,   21 22 27 35 261,                      stand,   ,                        ,
2594.15 -2167.79 -164.244,   40 41 260 261 413 419,                stand,   ,                        ,
1730.91 -2365.96 -180.514,   8 9 39 40 46 422,                     stand,   ,                        ,
2035.32 -2441.17 -167.875,   38 40 44 45 46 422,                   stand,   ,                        ,
2296.86 -2178.18 -175.875,   9 37 38 39 413 441,                   stand,   ,                        ,
2745.95 -2201.79 -143.875,   37 42 416 417 418,                    stand,   ,                        ,
2736.97 -2509.06 -143.875,   41 43 258 409 410 415 418,            stand,   ,                        ,
2739.36 -2660.8 -147.707,    42 45 58 60 402 403 414,              stand,   ,                        ,
2296.08 -2501.12 -160.349,   39 45 410,                            stand,   ,                        ,
2321.04 -2722.17 -140.19,    39 43 44 46 59 414,                   stand,   ,                        ,
1770.91 -2748.48 -161.181,   38 39 45 50 56 57 59 406 422 423,     stand,   ,                        ,
1272.36 -2999.93 -162.924,   4 48 49 52 268,                       stand,   ,                        ,
1011.01 -3017.73 -169.774,   47 53 268 523,                        stand,   ,                        ,
1363.71 -2994.78 -161.822,   7 47 50 51 52 423 424,                stand,   ,                        ,
1609.56 -3014.84 -160.11,    46 49 51 423 424,                     stand,   ,                        ,
1540.17 -3339.25 -135.969,   49 50 55,                             stand,   ,                        ,
1234.56 -3423.6 -136.717,    47 49 53 55,                          stand,   ,                        ,
1015.01 -3462.3 -146.513,    48 52 54 55,                          stand,   ,                        ,
972.486 -3894.8 -149.512,    53 55 67 74 76,                       stand,   ,                        ,
1315.4 -3689.86 -128.892,    51 52 53 54 56 65 75,                 stand,   ,                        ,
1620.35 -3627.22 -122.363,   46 55 57 62 66,                       stand,   ,                        ,
2031.11 -3232.56 -180.847,   46 56 58 59 62,                       stand,   ,                        ,
2358.48 -3201.42 -175.875,   43 57 59 60,                          stand,   ,                        ,
2163.18 -3012.54 -178.914,   45 46 57 58,                          stand,   ,                        ,
2821.11 -3104.09 -174.92,    43 58 61 62 402 403,                  stand,   ,                        ,
2879.56 -3464.4 -154.592,    60 62 401 402 407,                    stand,   ,                        ,
2494.25 -3667.34 -177.221,   56 57 60 61 63 66 401 407,            stand,   ,                        ,
2255.17 -3954.51 -119.957,   62 64 398,                            stand,   ,                        ,
2062.25 -4148.86 -119.425,   63 65 255 396 398,                    stand,   ,                        ,
1925.23 -3949.95 -143.318,   55 64 66 67 75,                       stand,   ,                        ,
1879.16 -3735.76 -133.752,   56 62 65 75,                          stand,   ,                        ,
1388.69 -3985.64 -127.389,   54 65 68 75,                          stand,   ,                        ,
1377.0 -4121.51 -119.875,    67 69 72 256 257 382,                 stand,   ,                        ,
1631.08 -4149.46 -119.875,   68 70 379,                            stand,   ,                        ,
1600.36 -4446.1 -119.875,    69 71 378,                            stand,   ,                        ,
1144.62 -4438.13 -119.875,   70 72 73 257,                         stand,   ,                        ,
1140.77 -4212.01 -119.875,   68 71 256,                            stand,   ,                        ,
950.257 -4473.24 -165.051,   71 74 84 374 375 377,                 stand,   ,                        ,
823.594 -4148.97 -126.155,   54 73 76 77 373 374,                  stand,   ,                        ,
1568.82 -3915.72 -126.371,   55 65 66 67,                          stand,   ,                        ,
611.035 -3855.82 -182.792,   54 74 77 79 550,                      stand,   ,                        ,
606.044 -4040.63 -181.341,   74 76 550,                            stand,   ,                        ,
-125.239 -3941.82 -163.875,  367 552,                              stand,   ,                        ,
608.476 -3685.29 -171.875,   76 80 524 526,                        stand,   ,                        ,
537.993 -3429.39 -171.875,   79 81 525,                            stand,   ,                        ,
780.897 -3440.88 -194.419,   80 527 530 531,                       stand,   ,                        ,
720.665 -2470.49 -228.615,   15 83 227 450,                        stand,   ,                        ,
535.94 -2393.56 -276.615,    82 107 110 111,                       stand,   ,                        ,
670.196 -4489.23 -211.093,   73 371 374,                           stand,   ,                        ,
386.131 -4634.8 -210.658,    86 108 370 371,                       stand,   ,                        ,
58.4701 -4781.56 -283.749,   85 87 108 140 356 358,                stand,   ,                        ,
-303.565 -5102.01 -238.809,  86 88 356 358 360 361 362,            stand,   ,                        ,
-227.484 -4753.59 -270.649,  87 138,                               stand,   ,                        ,
-502.931 -5138.2 -164.24,    90 340 341 342 345 362,               stand,   ,                        ,
-599.308 -5009.04 -165.898,  89 91 254 340,                        stand,   ,                        ,
-617.531 -4825.12 -162.848,  90 254 333 337 339,                   stand,   ,                        ,
-1081.94 -4831.41 -135.809,  93 252 339 350,                       stand,   ,                        ,
-1156.83 -4532.95 -123.875,  92 94 95 100,                         stand,   ,                        ,
-1612.56 -4537.45 -119.875,  93 95 100 253,                        stand,   ,                        ,
-1619.3 -4114.93 -119.875,   93 94 100 251 311,                    stand,   ,                        ,
-1533.33 -3446.82 -122.146,  100 122 124 310 311 470,              stand,   ,                        ,
-1488.97 -2850.95 -172.91,   98 121 122 145 470,                   stand,   ,                        ,
-1836.84 -2860.2 -188.037,   97 99 307,                            stand,   ,                        ,
-1826.73 -3141.41 -153.197,  98 308 310,                           stand,   ,                        ,
-1130.35 -3931.79 -123.875,  93 94 95 96 101 124 311,              stand,   ,                        ,
-730.61 -3940.07 -131.876,   100 102 131 331,                      stand,   ,                        ,
-518.626 -3961.37 -136.215,  101 103 332 335 367,                  stand,   ,                        ,
-425.543 -3827.09 -159.38,   102 104,                              stand,   ,                        ,
-431.688 -3539.95 -162.432,  103 105,                              stand,   ,                        ,
-265.806 -3277.71 -314.75,   104 106 109 110 139 140,              stand,   ,                        ,
25.0022 -2920.23 -341.44,    105 107 109 110 140,                  stand,   ,                        ,
287.479 -2459.18 -323.875,   83 106 110 111 113 534,               stand,   ,                        ,
176.726 -4375.2 -282.201,    85 86 109 138,                        stand,   ,                        ,
194.997 -3744.76 -296.752,   105 106 108 110 140,                  stand,   ,                        ,
349.165 -2905.92 -337.633,   83 105 106 107 109 140,               stand,   ,                        ,
513.726 -2183.21 -339.546,   83 107 112 535,                       stand,   ,                        ,
706.77 -2042.15 -335.269,    111 223 224 535,                      stand,   ,                        ,
-121.474 -2367.93 -203.64,   107 114 475 476 477 478,              stand,   ,                        ,
-333.491 -2258.78 -181.73,   113 115 477 478,                      stand,   ,                        ,
-475.611 -2412.3 -135.875,   114 158 475,                          stand,   ,                        ,
-332.412 -2602.73 -179.677,  118 119 474 475,                      stand,   ,                        ,
-741.091 -3304.42 -105.527,  119 120 122 127 471,                  stand,   ,                        ,
-559.447 -2586.07 -181.366,  116 119 141 144 474,                  stand,   ,                        ,
-573.502 -2916.39 -197.136,  116 117 118 120 122 141 472 474,      stand,   ,                        ,
-777.38 -2869.09 -187.788,   117 119 121 141 144,                  stand,   ,                        ,
-1015.4 -2848.56 -177.109,   97 120 122 144 151 152,               stand,   ,                        ,
-1041.83 -3164.01 -133.191,  96 97 117 119 121 123 152 470,        stand,   ,                        ,
-1106.55 -3320.27 -123.758,  122 124,                              stand,   ,                        ,
