224
4769.0 -1037.0 -358.757,     71 72 75 157 158,            stand,  ,                         ,
4773.0 -179.0 -356.382,      70 71,                       stand,  ,                         ,
4171.0 483.0 -352.327,       49 50 69 85,                 stand,  ,                         ,
3541.0 1131.0 -350.275,      46 53 54,                    stand,  ,                         ,
3263.0 13.0 -353.76,         88 95,                       stand,  ,                         ,
3322.0 -729.0 -352.433,      95 143,                      stand,  ,                         ,
2524.0 -1242.0 -350.917,     102 135 146,                 stand,  ,                         ,
2765.0 -259.0 -339.553,      136 137,                     stand,  ,                         ,
2519.0 269.0 -350.097,       90 137 142,                  stand,  ,                         ,
1847.0 1231.0 -351.875,      42 58 60,                    stand,  ,                         ,
1355.0 275.0 -347.875,       168,                         stand,  ,                         ,
1555.0 -705.0 -353.756,      131 223,                     stand,  ,                         ,
624.0 -173.0 -353.648,       109 110,                     stand,  ,                         ,
663.0 1265.0 -351.823,       38 39,                       stand,  ,                         ,
515.0 2293.0 -352.764,       35 36,                       stand,  ,                         ,
37.7868 2059.79 -347.875,    32 33,                       stand,  ,                         ,
-877.0 2321.0 -351.884,      30,                          stand,  ,                         ,
-985.0 1646.0 -348.979,      29 216,                      stand,  ,                         ,
-2005.0 1027.0 -352.929,     205 206,                     stand,  ,                         ,
-1404.0 242.0 -347.773,      209 215,                     stand,  ,                         ,
-897.0 -949.0 -356.882,      193 194,                     stand,  ,                         ,
-277.0 -1357.0 -349.689,     198,                         stand,  ,                         ,
-3.0 861.0 -352.051,         188 222,                     stand,  ,                         ,
291.0 847.0 -350.624,        176 177,                     stand,  ,                         ,
3477.0 -25.0 -324.25,        147 151,                     stand,  ,                         ,
3487.0 -803.0 -327.875,      148,                         stand,  ,                         ,
1939.0 -741.0 -351.875,      133 134,                     stand,  ,                         ,
1720.0 101.0 -349.654,       124 129 132,                 stand,  ,                         ,
3517.0 -1365.0 -348.649,     98 99 143 145,               stand,  ,                         ,
-935.374 1879.76 -358.295,   17 30,                       stand,  ,                         ,
-715.519 2206.58 -355.009,   16 29 31,                    stand,  ,                         ,
