521
-3187.32 2925.31 9.37074,    85 204 207 208,                    stand,   0.0 0.0 0.0,             ,
-3772.5 2938.29 63.0821,     2 207 213,                         stand,   0.0 0.0 0.0,             ,
-3965.56 2964.16 56.8379,    1 3 5 213,                         stand,   0.0 0.0 0.0,             ,
-4497.38 2993.64 65.4669,    2 4 211 212,                       stand,   0.0 0.0 0.0,             ,
-4520.58 2624.51 45.6367,    3 8 210,                           stand,   0.0 0.0 0.0,             ,
-3989.56 2597.32 40.125,     2 6 210,                           stand,   0.0 0.0 0.0,             ,
-3985.85 2134.59 11.6665,    5 7 82 84 139 214,                 stand,   0.0 0.0 0.0,             ,
-4198.1 2212.79 14.4919,     6 8 210 214,                       stand,   0.0 0.0 0.0,             ,
-4542.39 2243.33 69.4697,    4 7 214 217 228,                   stand,   0.0 0.0 0.0,             ,
-5096.05 2111.33 80.125,     225 226 227 228,                   stand,   0.0 0.0 0.0,             ,
-5444.27 2007.12 82.8375,    17 226 230,                        stand,   0.0 0.0 0.0,             ,
-5123.13 1750.21 82.1742,    12 221 224,                        crouch,  0.0 0.0 0.0,             ,
-5353.27 1700.52 67.2601,    11 13 222,                         stand,   0.0 0.0 0.0,             ,
-5351.87 1111.37 14.6143,    12 14,                             stand,   0.0 0.0 0.0,             ,
-5325.88 594.46 -203.512,    13 15 18 54,                       stand,   0.0 0.0 0.0,             ,
-5462.57 621.925 -177.109,   14 16 55 236,                      stand,   0.0 0.0 0.0,             ,
-5452.43 1128.55 -10.669,    15 233,                            stand,   0.0 0.0 0.0,             ,
-5454.01 1693.62 84.125,     10 233,                            stand,   0.0 0.0 0.0,             ,
-5171.8 657.344 -209.978,    14 54 55 238 239 240,              stand,   0.0 0.0 0.0,             ,
-4917.69 678.134 -191.875,   20 239 257 260 261,                stand,   0.0 0.0 0.0,             ,
-4903.41 592.777 -191.875,   19 515,                            stand,   0.0 0.0 0.0,             ,
-4632.67 993.616 -57.875,    22 268 515,                        stand,   0.0 0.0 0.0,             ,
-4888.05 964.42 -57.875,     21 269 270,                        stand,   0.0 0.0 0.0,             ,
-4438.13 618.573 -57.875,    271 272 273 515,                   stand,   0.0 0.0 0.0,             ,
-4427.17 61.1358 -55.875,    37 38 274,                         stand,   0.0 0.0 0.0,             ,
-4199.75 61.7795 -55.875,    37 278 294,                        stand,   0.0 0.0 0.0,             ,
-4313.5 -874.538 23.0119,    296 297 301,                       stand,   0.0 0.0 0.0,             ,
-4277.26 -1374.07 8.125,     28 301 304,                        stand,   0.0 0.0 0.0,             ,
-4685.5 -1395.04 8.125,      27 29 303,                         stand,   0.0 0.0 0.0,             ,
-4689.99 -1056.02 -127.875,  28 305 306 312 314 330,            stand,   0.0 0.0 0.0,             ,
-4270.54 -1361.81 -127.875,  31 308 309 330 332,                stand,   0.0 0.0 0.0,             ,
-4018.16 -1394.63 -127.429,  30 114 333 334,                    stand,   0.0 0.0 0.0,             ,
-3856.04 -1075.52 -84.1968,  33 114 334 341 349,                stand,   0.0 0.0 0.0,             ,
-3867.61 -689.185 -182.193,  32 34 63 120 381,                  stand,   0.0 0.0 0.0,             ,
-4285.27 -743.108 -151.875,  33 313 325 326 511 512,            stand,   0.0 0.0 0.0,             ,
-4559.32 -355.429 -191.875,  36 40 315 319 322,                 stand,   0.0 0.0 0.0,             ,
-4306.45 -308.764 -191.875,  35 43 316 322 514,                 stand,   0.0 0.0 0.0,             ,
-4312.95 53.9123 -55.875,    24 25 514,                         stand,   0.0 0.0 0.0,             ,
-4811.02 46.0856 -55.875,    24 39 277 513,                     stand,   0.0 0.0 0.0,             ,
-4914.7 46.1336 -55.875,     38 45 287,                         stand,   0.0 0.0 0.0,             ,
-4821.68 -336.504 -191.875,  35 319 323 513,                    stand,   0.0 0.0 0.0,             ,
-4975.72 59.1073 -191.875,   42 319 320 323,                    stand,   0.0 0.0 0.0,             ,
-4556.74 64.4082 -191.875,   41 43 319 321,                     stand,   0.0 0.0 0.0,             ,
-4143.34 5.58951 -191.875,   36 42 317,                         stand,   0.0 0.0 0.0,             ,
-4595.74 -377.889 80.125,    45 293,                            stand,   0.0 0.0 0.0,             ,
-4916.99 -368.171 80.125,    39 44 281,                         stand,   0.0 0.0 0.0,             ,
-4732.28 1010.68 -191.875,   48 254 255 267,                    stand,   0.0 0.0 0.0,             ,
-4774.93 1277.42 -191.875,   254 264 265 266,                   stand,   0.0 0.0 0.0,             ,
-4495.21 976.329 -191.875,   46 250 252 423,                    stand,   0.0 0.0 0.0,             ,
-4488.28 1121.08 -217.332,   50 250,                            stand,   0.0 0.0 0.0,             ,
-4357.04 1134.38 -274.275,   49 51 136,                         stand,   0.0 0.0 0.0,             ,
-4485.64 1586.77 -220.837,   50 52 139 248,                     stand,   0.0 0.0 0.0,             ,
-5079.55 1532.14 -284.98,    51 241 243 244 245,                stand,   0.0 0.0 0.0,             ,
-5178.72 1036.54 -268.004,   240 241,                           stand,   0.0 0.0 0.0,             ,
-5181.93 361.112 -195.437,   14 18 55 133 239,                  stand,   0.0 0.0 0.0,             ,
-5438.62 335.63 -193.638,    15 18 54 56 58 236 392,            stand,   0.0 0.0 0.0,             ,
-5410.25 -248.453 -205.581,  55 57 59 389 390 391 392 393 408,  stand,   0.0 0.0 0.0,             ,
-5719.91 -299.807 -159.416,  56 58 389,                         stand,   0.0 0.0 0.0,             ,
-5692.94 171.403 -155.744,   55 57 236 237,                     stand,   0.0 0.0 0.0,             ,
-5286.16 -776.007 -192.114,  56 60 389 393 407 408 409 414,     stand,   0.0 0.0 0.0,             ,
-5281.37 -1280.62 -192.799,  59 61 409 410 411 412 413 414,     stand,   0.0 0.0 0.0,             ,
-5278.87 -1697.63 -195.528,  60 410 411 412 413 415 416,        stand,   0.0 0.0 0.0,             ,
-4841.79 -808.402 -147.698,  315 328 407 409 509 510,           stand,   0.0 0.0 0.0,             ,
-3348.48 -680.715 -191.604,  33 380 381 388,                    stand,   0.0 0.0 0.0,             ,
-3003.79 -283.304 -235.262,  65 380,                            stand,   0.0 0.0 0.0,             ,
-2979.39 -64.7445 -251.214,  64 66 378,                         stand,   0.0 0.0 0.0,             ,
-3114.5 363.494 -296.324,    65 67 131,                         stand,   0.0 0.0 0.0,             ,
-3096.44 757.122 -339.583,   66 68 135,                         stand,   0.0 0.0 0.0,             ,
-2991.41 1093.93 -379.52,    67 69 130,                         stand,   0.0 0.0 0.0,             ,
-2985.23 1208.85 -360.764,   68 374,                            stand,   0.0 0.0 0.0,             ,
