316
-1340.6 -468.5 -428.875,     116,                        stand,  0.0 0.0 0.0,             ,
-1377.13 -612.724 -428.875,  116,                        stand,  0.0 0.0 0.0,             ,
-1312.0 -831.5 -437.814,     115,                        stand,  0.0 0.0 0.0,             ,
-1315.0 -1703.5 -397.006,    110,                        stand,  0.0 0.0 0.0,             ,
-1332.02 -1194.6 -434.949,   111,                        stand,  0.0 0.0 0.0,             ,
-848.335 -1528.98 -430.574,  79 83 84,                   stand,  0.0 0.0 0.0,             ,
-1002.89 -2017.21 -413.544,  90,                         stand,  0.0 0.0 0.0,             ,
-920.1 -2266.0 -433.643,     95,                         stand,  0.0 0.0 0.0,             ,
-986.1 -2940.0 -433.803,     96,                         stand,  0.0 0.0 0.0,             ,
-430.119 -3021.0 -416.947,   98,                         stand,  0.0 0.0 0.0,             ,
-306.119 -2765.0 -481.902,   101,                        stand,  0.0 0.0 0.0,             ,
-271.122 -2423.76 -491.866,  102 104,                    stand,  0.0 0.0 0.0,             ,
16.1354 -2727.02 -491.875,   101 105,                    stand,  0.0 0.0 0.0,             ,
-310.887 -2222.79 -487.224,  107,                        stand,  0.0 0.0 0.0,             ,
-762.887 -1186.79 -434.929,  112 119,                    stand,  0.0 0.0 0.0,             ,
-562.1 -1020.0 -436.875,     119,                        stand,  0.0 0.0 0.0,             ,
-724.1 -774.0 -434.511,      114 119 120,                stand,  0.0 0.0 0.0,             ,
-576.1 -262.0 -474.742,      118 122,                    stand,  0.0 0.0 0.0,             ,
-273.981 -527.1 -481.357,    122 123,                    stand,  0.0 0.0 0.0,             ,
-336.1 -650.0 -480.686,      122,                        stand,  0.0 0.0 0.0,             ,
229.113 -3237.21 -422.171,   281,                        stand,  0.0 0.0 0.0,             ,
385.9 -3024.0 -426.98,       282,                        stand,  0.0 0.0 0.0,             ,
513.881 -3529.0 -411.329,    280,                        stand,  0.0 0.0 0.0,             ,
1980.14 -3883.02 -420.378,   271 276,                    stand,  0.0 0.0 0.0,             ,
1758.9 -3298.02 -430.422,    270 275,                    stand,  0.0 0.0 0.0,             ,
2226.9 -3370.02 -424.686,    251 269,                    stand,  0.0 0.0 0.0,             ,
2611.9 -3464.0 -455.982,     250,                        stand,  0.0 0.0 0.0,             ,
2831.9 -3434.1 -433.669,     249,                        stand,  0.0 0.0 0.0,             ,
3135.9 -3442.0 -423.05,      249,                        stand,  0.0 0.0 0.0,             ,
2906.69 -3089.21 -415.875,   250,                        stand,  0.0 0.0 0.0,             ,
3559.66 -2451.02 -415.875,   240,                        stand,  0.0 0.0 0.0,             ,
3388.9 -2298.02 -415.875,    239,                        stand,  0.0 0.0 0.0,             ,
3435.66 -2116.98 -410.875,   239,                        stand,  0.0 0.0 0.0,             ,
3306.69 -2081.21 -415.875,   236 239 241,                stand,  0.0 0.0 0.0,             ,
3519.9 -1774.0 -415.875,     35 237,                     stand,  0.0 0.0 0.0,             ,
3347.9 -1774.0 -415.875,     34 232,                     stand,  0.0 0.0 0.0,             ,
3941.9 -1524.0 -460.875,     231,                        stand,  0.0 0.0 0.0,             ,
3957.9 -1300.0 -460.875,     218,                        stand,  0.0 0.0 0.0,             ,
3929.9 -952.0 -424.875,      217 218,                    stand,  0.0 0.0 0.0,             ,
3731.9 -1210.0 -466.279,     218,                        stand,  0.0 0.0 0.0,             ,
3515.9 -1210.0 -466.279,     230,                        stand,  0.0 0.0 0.0,             ,
3139.9 -1210.0 -466.279,     228,                        stand,  0.0 0.0 0.0,             ,
2762.9 -1234.02 -461.875,    227,                        stand,  0.0 0.0 0.0,             ,
3048.9 -718.019 -412.875,    44 213,                     stand,  0.0 0.0 0.0,             ,
2825.88 -673.0 -412.875,     43 212,                     stand,  0.0 0.0 0.0,             ,
3173.9 -512.0 -415.875,      215,                        stand,  0.0 0.0 0.0,             ,
3239.9 -802.0 -415.875,      213 214 215,                stand,  0.0 0.0 0.0,             ,
2857.88 -143.0 -396.998,     196 211,                    stand,  0.0 0.0 0.0,             ,
3733.92 -793.0 -424.125,     49 214 217,                 stand,  0.0 0.0 0.0,             ,
3713.9 -162.0 -424.997,      48 209,                     stand,  0.0 0.0 0.0,             ,
3225.9 384.0 -427.579,       201,                        stand,  0.0 0.0 0.0,             ,
2808.9 41.9808 -415.454,     197,                        stand,  0.0 0.0 0.0,             ,
1840.14 795.022 -448.983,    176,                        stand,  0.0 0.0 0.0,             ,
1696.14 831.022 -449.436,    176,                        stand,  0.0 0.0 0.0,             ,
1211.9 602.0 -459.661,       173,                        stand,  0.0 0.0 0.0,             ,
550.9 394.019 -464.488,      169,                        stand,  0.0 0.0 0.0,             ,
600.135 1191.12 -421.075,    143,                        stand,  0.0 0.0 0.0,             ,
-458.119 467.0 -438.875,     58 139 140,                 stand,  0.0 0.0 0.0,             ,
-277.1 165.981 -416.599,     57 137 139,                 stand,  0.0 0.0 0.0,             ,
89.9192 733.0 -452.483,      60 141,                     stand,  0.0 0.0 0.0,             ,
161.919 389.0 -419.8,        59,                         stand,  0.0 0.0 0.0,             ,
979.665 -140.978 -479.875,   62 163 165 168,             stand,  0.0 0.0 0.0,             ,
1211.9 -118.0 -479.083,      61 63 168 185,              stand,  0.0 0.0 0.0,             ,
