192
1598.0 1358.0 -228.0,       1 79 179,               stand,     ,                       ,
1600.0 1089.0 -224.0,       0 2 130,                stand,     ,                       ,
1504.0 1101.0 -234.0,       1 72 79 157,            stand,     ,                       ,
1510.0 710.0 -233.0,        4 157 191,              stand,     ,                       ,
1601.0 704.0 -225.0,        3 129 153,              stand,     ,                       ,
1611.0 -183.0 -228.0,       6 158 170,              stand,     ,                       ,
1310.0 -169.0 -232.0,       5 7 171 172,            stand,     ,                       ,
1034.0 -169.0 -233.0,       6 8,                    stand,     ,                       ,
1054.0 -25.0 -245.0,        7 9 40 109 138,         stand,     ,                       ,
831.0 -18.0 -241.0,         8 10 40 109 138,        stand,     ,                       ,
589.0 -19.0 -221.0,         9 11 127 173,           stand,     ,                       ,
571.0 -173.0 -228.0,        10 12,                  stand,     ,                       ,
489.0 -174.0 -231.0,        11 13 39,               stand,     ,                       ,
342.0 -191.0 -236.0,        12 14 41 42,            stand,     ,                       ,
83.0 -208.0 -244.0,         13 15 41 42,            stand,     ,                       ,
-159.0 -199.0 -236.0,       14 16 126 156,          stand,     ,                       ,
-433.0 -193.0 -216.0,       15 17 156 174,          stand,     ,                       ,
-399.0 272.0 -247.0,        16 18 45 175 176,       stand,     ,                       ,
-426.0 676.0 -236.0,        17 19 47,               stand,     ,                       ,
-424.0 1099.0 -234.0,       18 20 93 101,           stand,     ,                       ,
-432.0 1500.0 -234.0,       19 90 152,              stand,     ,                       ,
-33.0 1420.0 -127.0,        22 149 177,             stand,     ,                       ,
51.0 1524.0 -126.0,         21 23 177,              stand,     ,                       ,
-62.0 1628.0 -123.0,        22 24 149,              stand,     ,                       ,
-83.0 1803.0 -47.0,         23 25 118,              stand,     ,                       ,
153.0 1785.0 -47.0,         24 26,                  stand,     ,                       ,
366.0 1665.0 -47.0,         25 27,                  stand,     ,                       ,
739.0 1651.0 -46.0,         26 28,                  stand,     ,                       ,
995.0 1643.0 -97.0,         27 29 80,               stand,     ,                       ,
