284
944.383 1502.54 56.125,      67 68 73,                     stand,  0.0 0.0 0.0,           ,
-231.8 -1536.6 34.5158,      261 270,                      stand,  0.0 0.0 0.0,           ,
-453.685 1982.44 96.125,     121,                          stand,  0.0 0.0 0.0,           ,
-1767.6 333.8 -57.875,       143 163,                      stand,  0.0 0.0 0.0,           ,
-863.2 2509.6 80.125,        50 51 55,                     stand,  0.0 0.0 0.0,           ,
-1663.36 978.702 -58.9961,   165,                          stand,  0.0 0.0 0.0,           ,
-1353.2 2509.6 25.9276,      137 138 280,                  stand,  0.0 0.0 0.0,           ,
-1647.19 123.043 -65.2654,   163 168,                      stand,  0.0 0.0 0.0,           ,
1147.2 -1326.04 0.125,       209,                          stand,  0.0 0.0 0.0,           ,
-143.2 2503.6 80.6203,       54 57 60,                     stand,  0.0 0.0 0.0,           ,
-2194.86 -1130.31 79.4998,   176 177,                      stand,  0.0 0.0 0.0,           ,
-852.8 -1507.6 36.125,       271 272,                      stand,  0.0 0.0 0.0,           ,
1431.2 -1410.6 158.125,      216 217,                      stand,  0.0 0.0 0.0,           ,
-1741.6 2103.8 18.067,       280 281,                      stand,  0.0 0.0 0.0,           ,
1241.95 -437.041 5.52609,    221 231,                      stand,  0.0 0.0 0.0,           ,
-912.19 -56.6431 15.125,     194 195,                      stand,  0.0 0.0 0.0,           ,
826.63 2415.75 53.125,       44,                           stand,  0.0 0.0 0.0,           ,
-1153.95 1100.79 16.125,     156,                          stand,  0.0 0.0 0.0,           ,
-1328.8 -767.6 -152.957,     279,                          stand,  0.0 0.0 0.0,           ,
-1125.6 -414.2 16.7451,      182,                          stand,  0.0 0.0 0.0,           ,
-1762.0 -885.0 44.125,       27 146,                       stand,  0.0 0.0 0.0,           ,
-1713.0 -946.0 44.125,       24 146,                       stand,  0.0 0.0 0.0,           ,
-1666.0 -885.0 44.125,       146,                          stand,  0.0 0.0 0.0,           ,
-1617.0 -946.0 44.125,       26,                           stand,  0.0 0.0 0.0,           ,
-1717.0 -1014.0 44.125,      21,                           stand,  0.0 0.0 0.0,           ,
-1717.0 -1062.0 44.125,      27,                           stand,  0.0 0.0 0.0,           ,
-1621.0 -1014.0 44.125,      23 27,                        stand,  0.0 0.0 0.0,           ,
-1621.0 -1062.0 44.125,      20 25 26 30 178,              stand,  0.0 0.0 0.0,           ,
-1716.0 -1135.0 44.125,      30,                           stand,  0.0 0.0 0.0,           ,
-1620.0 -1135.0 44.125,      33 178,                       stand,  0.0 0.0 0.0,           ,
-1792.0 -1207.0 44.125,      27 28 31 175,                 stand,  0.0 0.0 0.0,           ,
-1696.0 -1207.0 44.125,      30,                           stand,  0.0 0.0 0.0,           ,
-1799.0 -1271.0 44.125,      175,                          stand,  0.0 0.0 0.0,           ,
-1703.0 -1271.0 44.125,      29,                           stand,  0.0 0.0 0.0,           ,
908.0 2427.0 56.125,         46,                           stand,  0.0 0.0 0.0,           ,
912.0 2367.0 56.125,         36,                           stand,  0.0 0.0 0.0,           ,
856.0 2367.0 56.125,         35 38 44,                     stand,  0.0 0.0 0.0,           ,
912.0 2311.0 56.125,         39,                           stand,  0.0 0.0 0.0,           ,
856.0 2311.0 56.125,         36,                           stand,  0.0 0.0 0.0,           ,
856.0 2255.0 56.125,         37 42,                        stand,  0.0 0.0 0.0,           ,
912.0 2255.0 56.125,         42,                           stand,  0.0 0.0 0.0,           ,
863.0 2155.0 56.125,         42 43 47 275,                 stand,  0.0 0.0 0.0,           ,
863.0 2211.0 56.125,         39 40 41,                     stand,  0.0 0.0 0.0,           ,
910.0 2209.0 56.125,         41,                           stand,  0.0 0.0 0.0,           ,
793.0 2397.0 53.125,         16 36 276,                    stand,  0.0 0.0 0.0,           ,
803.99 2447.94 53.125,       46 276,                       stand,  0.0 0.0 0.0,           ,
844.99 2466.94 56.125,       34 45,                        stand,  0.0 0.0 0.0,           ,
912.0 2156.0 56.125,         41,                           stand,  0.0 0.0 0.0,           ,
-617.597 1960.52 56.125,     49 50 126,                    stand,  0.0 0.0 0.0,           ,
-579.664 2195.96 79.9883,    48 50 54,                     stand,  0.0 0.0 0.0,           ,
-772.559 2211.97 79.5496,    4 48 49 51 52,                stand,  0.0 0.0 0.0,           ,
-944.595 2350.0 79.1009,     4 50 52 138,                  stand,  0.0 0.0 0.0,           ,
-716.005 2397.92 79.7664,    50 51 53 55,                  stand,  0.0 0.0 0.0,           ,
-402.887 2395.39 79.8478,    52 54 56,                     stand,  0.0 0.0 0.0,           ,
-345.584 2266.27 79.5694,    9 49 53 57,                   stand,  0.0 0.0 0.0,           ,
-637.703 2561.34 80.125,     4 52 56,                      stand,  0.0 0.0 0.0,           ,
-350.929 2518.42 80.125,     53 55,                        stand,  0.0 0.0 0.0,           ,
-195.277 2234.3 80.4382,     9 54 58 59 60,                stand,  0.0 0.0 0.0,           ,
-127.378 2063.09 80.1126,    57 59 120,                    stand,  0.0 0.0 0.0,           ,
11.6031 2168.83 80.1126,     57 58 60 61,                  stand,  0.0 0.0 0.0,           ,
-28.1638 2287.6 80.125,      9 57 59 61,                   stand,  0.0 0.0 0.0,           ,
277.787 2202.44 80.125,      59 60 62 278,                 stand,  0.0 0.0 0.0,           ,
485.691 2162.49 56.125,      61 63 275 277,                stand,  0.0 0.0 0.0,           ,
557.127 1995.6 56.125,       62 65 66 277,                 stand,  0.0 0.0 0.0,           ,
397.056 1622.23 56.125,      65 75,                        stand,  0.0 0.0 0.0,           ,
531.375 1740.72 56.125,      63 64 66 74 275,              stand,  0.0 0.0 0.0,           ,
719.199 1704.89 56.125,      63 65 67 73 275,              stand,  0.0 0.0 0.0,           ,
840.986 1624.37 56.125,      0 66 68,                      stand,  0.0 0.0 0.0,           ,
897.239 1339.35 56.125,      0 67 69 72,                   stand,  0.0 0.0 0.0,           ,
910.115 1202.03 56.125,      68 70,                        stand,  0.0 0.0 0.0,           ,
988.779 1043.36 56.125,      69 71,                        stand,  0.0 0.0 0.0,           ,
980.613 897.225 47.6902,     70 82 83 84,                  stand,  0.0 0.0 0.0,           ,
651.59 1354.87 56.125,       68 73 74 81,                  stand,  0.0 0.0 0.0,           ,
677.848 1497.76 56.125,      0 66 72 74,                   stand,  0.0 0.0 0.0,           ,
504.245 1501.3 56.125,       65 72 73 75,                  stand,  0.0 0.0 0.0,           ,
344.572 1495.3 56.125,       64 74 76 77,                  stand,  0.0 0.0 0.0,           ,
168.192 1469.66 56.125,      75 77 117,                    stand,  0.0 0.0 0.0,           ,
317.123 1301.97 56.125,      75 76 78,                     stand,  0.0 0.0 0.0,           ,
423.511 1187.28 56.125,      77 79 81,                     stand,  0.0 0.0 0.0,           ,
423.498 1053.59 56.125,      78 80,                        stand,  0.0 0.0 0.0,           ,
618.187 970.473 56.125,      79 81 82,                     stand,  0.0 0.0 0.0,           ,
641.909 1150.73 56.125,      72 78 80,                     stand,  0.0 0.0 0.0,           ,
719.304 837.906 56.125,      71 80 83,                     stand,  0.0 0.0 0.0,           ,
866.623 726.017 38.8413,     71 82 233,                    stand,  0.0 0.0 0.0,           ,
1109.67 803.283 47.2449,     71 228,                       stand,  0.0 0.0 0.0,           ,
709.225 381.805 -1.09986,    86 87 89 235,                 stand,  0.0 0.0 0.0,           ,
855.166 387.167 -7.875,      85 233 234 235,               stand,  0.0 0.0 0.0,           ,
635.159 234.364 2.08252,     85 88 235 236,                stand,  0.0 0.0 0.0,           ,
540.777 233.938 16.125,      87 251,                       stand,  0.0 0.0 0.0,           ,
614.808 562.874 48.125,      85 90,                        stand,  0.0 0.0 0.0,           ,
387.964 569.966 48.125,      89 91,                        stand,  0.0 0.0 0.0,           ,
187.603 588.516 48.125,      90 92 93,                     stand,  0.0 0.0 0.0,           ,
-34.9688 595.671 16.125,     91 93 103 104,                stand,  0.0 0.0 0.0,           ,
-13.7109 415.606 16.125,     91 92 94 101,                 stand,  0.0 0.0 0.0,           ,
-20.464 145.132 16.125,      93 95,                        stand,  0.0 0.0 0.0,           ,
-174.49 115.924 14.6494,     94 96 97 98,                  stand,  0.0 0.0 0.0,           ,
-256.557 2.95786 16.125,     95 97 98 190,                 stand,  0.0 0.0 0.0,           ,
-372.298 102.091 14.125,     95 96 98 192,                 stand,  0.0 0.0 0.0,           ,
-274.653 252.214 14.125,     95 96 97 99 100 101,          stand,  0.0 0.0 0.0,           ,
-391.11 354.919 14.125,      98 100 101 197,               stand,  0.0 0.0 0.0,           ,
-275.828 475.693 14.125,     98 99 101 102 103,            stand,  0.0 0.0 0.0,           ,
-171.192 369.659 14.3197,    93 98 99 100,                 stand,  0.0 0.0 0.0,           ,
-383.214 617.728 14.125,     100 103 105 107,              stand,  0.0 0.0 0.0,           ,
-165.125 609.682 14.125,     92 100 102 104,               stand,  0.0 0.0 0.0,           ,
-162.954 745.761 14.125,     92 103 105,                   stand,  0.0 0.0 0.0,           ,
-324.792 754.539 14.125,     102 104 106,                  stand,  0.0 0.0 0.0,           ,
-526.481 754.287 14.125,     105 107,                      stand,  0.0 0.0 0.0,           ,
-611.581 617.818 14.125,     102 106 108 109,              stand,  0.0 0.0 0.0,           ,
-709.976 740.917 14.125,     107 109 110,                  stand,  0.0 0.0 0.0,           ,
-744.826 535.044 14.3746,    107 108 193 197 198,          stand,  0.0 0.0 0.0,           ,
-706.104 963.821 12.125,     108 111 112,                  stand,  0.0 0.0 0.0,           ,
-717.913 1139.67 12.125,     110 112 127 128,              stand,  0.0 0.0 0.0,           ,
-568.418 1071.22 12.125,     110 111 113,                  stand,  0.0 0.0 0.0,           ,
-361.408 1062.01 12.125,     112 114,                      stand,  0.0 0.0 0.0,           ,
-190.91 1096.91 12.125,      113 115,                      stand,  0.0 0.0 0.0,           ,
-124.691 1235.09 12.125,     114 116,                      stand,  0.0 0.0 0.0,           ,
-92.7165 1384.77 12.125,     115 117 118,                  stand,  0.0 0.0 0.0,           ,
60.8046 1454.91 56.125,      76 116 118,                   stand,  0.0 0.0 0.0,           ,
-102.035 1553.83 12.125,     116 117 119,                  stand,  0.0 0.0 0.0,           ,
-95.4332 1725.8 12.125,      118 120,                      stand,  0.0 0.0 0.0,           ,
-141.98 1901.21 12.125,      58 119 121,                   stand,  0.0 0.0 0.0,           ,
-360.397 1889.09 96.125,     2 120 122,                    stand,  0.0 0.0 0.0,           ,
-379.172 1684.65 96.125,     121 123,                      stand,  0.0 0.0 0.0,           ,
-446.427 1472.74 96.125,     122 124,                      stand,  0.0 0.0 0.0,           ,
-590.284 1477.5 56.125,      123 125 126,                  stand,  0.0 0.0 0.0,           ,
-723.604 1375.18 56.125,     124 126 127 129,              stand,  0.0 0.0 0.0,           ,
-597.649 1683.62 56.125,     48 124 125,                   stand,  0.0 0.0 0.0,           ,
-738.169 1247.93 56.125,     111 125 129,                  stand,  0.0 0.0 0.0,           ,
-861.76 1138.18 16.125,      111 156,                      stand,  0.0 0.0 0.0,           ,
-890.196 1346.32 56.125,     125 127 130,                  stand,  0.0 0.0 0.0,           ,
-1061.74 1361.92 56.125,     129 131,                      stand,  0.0 0.0 0.0,           ,
-1233.08 1358.27 0.125,      130 132 134,                  stand,  0.0 0.0 0.0,           ,
-1437.63 1305.77 -29.5255,   131 133 134 283,              stand,  0.0 0.0 0.0,           ,
-1602.87 1177.51 -51.639,    132 165 283,                  stand,  0.0 0.0 0.0,           ,
-1356.99 1557.98 -11.1897,   131 132 135 282,              stand,  0.0 0.0 0.0,           ,
-1351.84 1767.12 11.9914,    134 136,                      stand,  0.0 0.0 0.0,           ,
-1319.34 2004.39 15.0477,    135 137 280 281,              stand,  0.0 0.0 0.0,           ,
-1237.16 2241.55 16.4475,    6 136 138 280,                stand,  0.0 0.0 0.0,           ,
