217
-2394.0 -3480.0 24.125,     37,                           stand,  ,  ,
-1424.0 -2582.0 16.125,     81,                           stand,  ,  ,
-1560.0 -2266.0 16.125,     185,                          stand,  ,  ,
-1648.0 -1358.0 16.125,     66 67,                        stand,  ,  ,
-2550.0 -1248.0 24.125,     101,                          stand,  ,  ,
-3400.0 -1422.0 13.1897,    97 98 104 205,                stand,  ,  ,
-3416.0 -2026.0 16.125,     108,                          stand,  ,  ,
-3312.0 -2178.0 16.125,     108,                          stand,  ,  ,
-3410.0 -2600.0 16.125,     123 124 140,                  stand,  ,  ,
-2656.0 -2638.0 24.125,     169 170,                      stand,  ,  ,
-2192.0 -2198.0 24.125,     180,                          stand,  ,  ,
-2626.0 -1864.0 16.125,     209 214 216,                  stand,  ,  ,
-1464.0 -3266.0 16.9875,    42 43 45,                     stand,  ,  ,
-2800.0 -3594.0 16.125,     154,                          stand,  ,  ,
-3410.0 -3000.0 16.125,     29 141 142,                   stand,  ,  ,
-3098.0 -1216.0 16.125,     95 96,                        stand,  ,  ,
-2694.0 -2384.0 16.125,     34 35 128 129 170 171,        stand,  ,  ,
-2082.0 -2384.0 16.125,     36 179 181,                   stand,  ,  ,
-2448.0 -1962.0 16.125,     175 176 177 208,              stand,  ,  ,
-2296.0 -2782.0 16.125,     187 188 189,                  stand,  ,  ,
-1454.0 -2064.0 16.125,     63 78 185,                    stand,  ,  ,
-3154.0 -2504.0 16.125,     124 125 134 137,              stand,  ,  ,
-1968.0 -3370.0 16.1051,    38 48 49 194,                 stand,  ,  ,
-1976.0 -2746.0 15.5788,    85,                           stand,  ,  ,
-2118.0 -2888.0 16.125,     49 186 187 199,               stand,  ,  ,
-2702.0 -2872.0 16.125,     166 168 202,                  stand,  ,  ,
-2064.0 -1826.0 16.125,     89 207 212,                   stand,  ,  ,
-1672.0 -3570.0 15.733,     41 42 43 44,                  stand,  ,  ,
-1504.0 -2458.0 24.125,     78 79,                        stand,  ,  ,
