78
-610.36 149.264 201.125,    1 45 46,                  stand,   0.0 0.0 0.0,           ,
-620.079 -126.028 196.89,   0 2 25 47,                stand,   0.0 0.0 0.0,           ,
-702.762 -282.504 192.434,  1 3 41,                   stand,   0.0 0.0 0.0,           ,
-719.237 -587.184 199.725,  2 41 67,                  stand,   0.0 0.0 0.0,           ,
-228.83 -590.442 196.605,   5 41 44,                  stand,   0.0 0.0 0.0,           ,
197.13 -517.064 192.077,    4 6 26 27 42,             stand,   0.0 0.0 0.0,           ,
453.886 -586.172 193.314,   5 7 26 27 42,             stand,   0.0 0.0 0.0,           ,
658.928 -582.484 199.725,   6 8 65,                   stand,   0.0 0.0 0.0,           ,
641.269 -362.832 192.083,   7 9 62,                   stand,   0.0 0.0 0.0,           ,
654.735 -129.902 192.091,   8 60 64,                  stand,   0.0 0.0 0.0,           ,
439.04 -99.5199 194.359,    11 59 60 63,              stand,   0.0 0.0 0.0,           ,
439.674 45.8541 193.014,    10 12 29,                 stand,   0.0 0.0 0.0,           ,
449.902 267.177 193.16,     11 13 37,                 stand,   0.0 0.0 0.0,           ,
697.337 277.811 192.107,    12 14 37 43,              stand,   0.0 0.0 0.0,           ,
688.533 535.071 194.929,    13 15 37,                 stand,   0.0 0.0 0.0,           ,
675.569 730.961 193.597,    14 16,                    stand,   0.0 0.0 0.0,           ,
514.588 746.919 192.074,    15 17 37,                 stand,   0.0 0.0 0.0,           ,
267.885 743.71 196.877,     16 37 38 70 71,           stand,   0.0 0.0 0.0,           ,
-135.858 743.555 199.374,   19 34 70,                 stand,   0.0 0.0 0.0,           ,
-428.645 711.579 192.645,   18 20 53,                 stand,   0.0 0.0 0.0,           ,
-681.602 728.178 198.336,   19 21 49,                 stand,   0.0 0.0 0.0,           ,
-691.159 515.803 192.481,   20 22 54,                 stand,   0.0 0.0 0.0,           ,
-703.595 283.467 203.789,   21 23 48 51,              stand,   0.0 0.0 0.0,           ,
-471.812 279.935 195.148,   22 24 50 51 56,           stand,   0.0 0.0 0.0,           ,
-467.516 61.9155 192.077,   23 25 29,                 stand,   0.0 0.0 0.0,           ,
-490.013 -147.907 192.077,  1 24 40,                  stand,   0.0 0.0 0.0,           ,
404.166 -296.141 196.124,   5 6 27 59 61 62,          stand,   0.0 0.0 0.0,           ,
179.993 -282.173 192.565,   5 6 26 28,                stand,   0.0 0.0 0.0,           ,
-11.9686 -299.794 194.846,  27 29 39,                 stand,   0.0 0.0 0.0,           ,
3.89531 52.3469 196.736,    11 24 28 30,              stand,   0.0 0.0 0.0,           ,
6.12919 194.278 194.294,    29 31 32,                 stand,   0.0 0.0 0.0,           ,
276.125 180.321 201.125,    30 68 69,                 stand,   0.0 0.0 0.0,           ,
3.54935 396.17 192.492,     30 33 36,                 stand,   0.0 0.0 0.0,           ,
-195.337 422.622 196.074,   32 34 50 53,              stand,   0.0 0.0 0.0,           ,
-184.425 659.203 200.415,   18 33 35 50 53,           stand,   0.0 0.0 0.0,           ,
-31.4959 614.116 193.165,   34 55,                    stand,   0.0 0.0 0.0,           ,
