220
1786.75 278.556 -0.134616,    1 190 192,                stand,  0.0 0.0 0.0,           ,
1787.61 520.642 159.125,      0 2,                      stand,  0.0 0.0 0.0,           ,
1713.81 586.784 163.312,      1 3 4,                    stand,  0.0 0.0 0.0,           ,
1583.46 446.644 172.003,      2 4 5,                    stand,  0.0 0.0 0.0,           ,
1587.94 620.666 170.476,      2 3 6,                    stand,  0.0 0.0 0.0,           ,
1319.6 453.524 161.116,       3 6 7,                    stand,  0.0 0.0 0.0,           ,
1333.32 639.942 171.119,      4 5 8,                    stand,  0.0 0.0 0.0,           ,
937.225 454.763 165.581,      5 8 14,                   stand,  0.0 0.0 0.0,           ,
943.831 630.976 161.082,      6 7 9 14,                 stand,  0.0 0.0 0.0,           ,
857.244 764.374 170.125,      8 10,                     stand,  0.0 0.0 0.0,           ,
814.865 805.868 157.233,      9 11,                     stand,  0.0 0.0 0.0,           ,
559.642 782.996 188.125,      10 12,                    stand,  0.0 0.0 0.0,           ,
323.278 783.623 188.125,      11 13,                    stand,  0.0 0.0 0.0,           ,
-125.719 780.52 16.4321,      12 119,                   stand,  0.0 0.0 0.0,           ,
727.144 453.633 160.537,      7 8 15,                   stand,  0.0 0.0 0.0,           ,
701.441 290.198 160.98,       14 16,                    stand,  0.0 0.0 0.0,           ,
473.786 290.026 160.125,      15 17 19,                 stand,  0.0 0.0 0.0,           ,
352.672 417.694 160.125,      16 18,                    stand,  0.0 0.0 0.0,           ,
364.229 599.676 160.125,      17,                       stand,  0.0 0.0 0.0,           ,
470.589 158.753 160.125,      16 20 21,                 stand,  0.0 0.0 0.0,           ,
461.619 -201.095 160.125,     19 25 26,                 stand,  0.0 0.0 0.0,           ,
-116.566 167.515 160.125,     19 22,                    stand,  0.0 0.0 0.0,           ,
-126.59 -36.8954 160.125,     21 23 43,                 stand,  0.0 0.0 0.0,           ,
-117.304 -196.519 160.125,    22 24 25,                 stand,  0.0 0.0 0.0,           ,
3.50442 -267.082 160.125,     23 25 30,                 stand,  0.0 0.0 0.0,           ,
141.325 -186.791 160.125,     20 23 24,                 stand,  0.0 0.0 0.0,           ,
460.821 -381.077 160.125,     20 27 28,                 stand,  0.0 0.0 0.0,           ,
335.284 -378.668 160.125,     26 32,                    stand,  0.0 0.0 0.0,           ,
448.288 -527.42 160.125,      26 29,                    stand,  0.0 0.0 0.0,           ,
50.4409 -508.41 160.125,      28 30 31,                 stand,  0.0 0.0 0.0,           ,
2.1671 -367.645 160.125,      24 29 31,                 stand,  0.0 0.0 0.0,           ,
-56.7273 -565.749 160.125,    29 30 34,                 stand,  0.0 0.0 0.0,           ,
188.654 -377.33 78.125,       27 33,                    stand,  0.0 0.0 0.0,           ,
26.5683 -376.599 0.124999,    32 76 79,                 stand,  0.0 0.0 0.0,           ,
-54.3203 -698.855 144.125,    31 35 36,                 stand,  0.0 0.0 0.0,           ,
-130.543 -885.167 144.125,    34 36 39,                 stand,  0.0 0.0 0.0,           ,
117.088 -867.871 144.125,     34 35 37,                 stand,  0.0 0.0 0.0,           ,
251.669 -882.69 90.7056,      36 38,                    stand,  0.0 0.0 0.0,           ,
389.36 -916.884 77.9305,      37 172,                   stand,  0.0 0.0 0.0,           ,
-251.537 -873.221 144.125,    35 40,                    stand,  0.0 0.0 0.0,           ,
-329.521 -668.91 144.125,     39 41,                    stand,  0.0 0.0 0.0,           ,
-323.682 -565.317 160.125,    40 42 139 139,            stand,  0.0 0.0 0.0,           ,
-241.473 -288.269 160.125,    41 43 139,                stand,  0.0 0.0 0.0,           ,
-244.779 -32.6016 160.125,    22 42 141,                stand,  0.0 0.0 0.0,           ,
1248.83 650.66 0.125,         45 48 52 107,             stand,  0.0 0.0 0.0,           ,
1065.96 647.327 0.125,        44 46,                    stand,  0.0 0.0 0.0,           ,
1064.84 516.478 0.125,        45 47 54,                 stand,  0.0 0.0 0.0,           ,
1127.34 449.796 0.125,        46 48 49,                 stand,  0.0 0.0 0.0,           ,
1216.92 495.693 0.125,        44 47 49 52,              stand,  0.0 0.0 0.0,           ,
1268.47 437.345 0.125,        47 48 50,                 stand,  0.0 0.0 0.0,           ,
