222
369.213 -1267.21 -67.4014,   24 35,                   stand,  ,                      ,
200.213 -865.713 -7.875,     29 43,                   stand,  ,                      ,
-696.0 -170.0 -39.875,       49 50,                   stand,  ,                      ,
180.213 -189.787 -39.875,    69 78,                   stand,  ,                      ,
-593.0 -407.0 -36.5247,      45 67 199,               stand,  ,                      ,
959.0 830.0 -234.829,        131 132,                 stand,  ,                      ,
572.0 718.0 -39.875,         184,                     stand,  ,                      ,
271.787 1836.79 -39.875,     8 88,                    stand,  ,                      ,
-301.787 1855.79 -39.875,    7 63 85,                 stand,  ,                      ,
749.213 1829.79 -39.875,     89,                      stand,  ,                      ,
-541.0 1294.0 -39.875,       212 213,                 stand,  ,                      ,
-650.0 1741.0 -39.875,       61 214,                  stand,  ,                      ,
463.0 2015.0 97.8385,        107,                     stand,  ,                      ,
772.787 2647.79 32.125,      114 185,                 stand,  ,                      ,
463.787 3214.79 96.125,      102,                     stand,  ,                      ,
125.0 3364.0 43.8081,        119 159,                 stand,  ,                      ,
328.787 3897.79 -8.56613,    120 121,                 stand,  ,                      ,
608.787 3365.79 -7.875,      118 119,                 stand,  ,                      ,
1511.0 1335.0 -267.457,      128 129,                 stand,  ,                      ,
-472.787 1862.79 96.125,     168 171,                 stand,  ,                      ,
-112.787 1989.21 104.473,    95 106 215,              stand,  ,                      ,
148.307 2512.63 105.125,     105 195,                 stand,  ,                      ,
-224.787 2621.79 106.478,    104 153,                 stand,  ,                      ,
-958.787 2185.79 -39.875,    148 157,                 stand,  ,                      ,
563.175 -1278.73 -71.875,    0 25 35,                 stand,  ,                      ,
566.113 -1207.45 -39.875,    24 26,                   stand,  ,                      ,
561.294 -854.441 -39.8061,   25 182 183,              stand,  ,                      ,
440.413 -857.278 -7.875,     28 29,                   stand,  ,                      ,
480.017 -822.4 -38.1708,     27 183,                  stand,  ,                      ,
299.232 -949.644 -6.56194,   1 27 43 44,              stand,  ,                      ,
285.043 -1256.95 -7.875,     31 44,                   stand,  ,                      ,
210.642 -1263.98 -7.875,     30 32,                   stand,  ,                      ,
108.976 -1269.53 -70.7445,   31 33,                   stand,  ,                      ,
14.0997 -1288.97 -71.7369,   32 34 36,                stand,  ,                      ,
46.5197 -1377.95 -71.875,    33 35 36,                stand,  ,                      ,
358.799 -1368.53 -71.4814,   0 24 34,                 stand,  ,                      ,
-292.483 -1264.45 -71.875,   33 34 37,                stand,  ,                      ,
-310.245 -974.157 -39.5229,  36 38 46,                stand,  ,                      ,
-294.658 -819.346 -39.875,   37 39 46 47,             stand,  ,                      ,
-168.927 -819.418 -39.875,   38 40 47 64,             stand,  ,                      ,
-164.157 -865.255 -33.875,   39 41,                   stand,  ,                      ,
-160.871 -920.667 -7.875,    40 42 187,               stand,  ,                      ,
-120.285 -1115.74 -7.875,    41 186,                  stand,  ,                      ,
208.278 -1103.76 -7.875,     1 29 44 186,             stand,  ,                      ,
289.605 -1157.05 -7.875,     29 30 43,                stand,  ,                      ,
-799.042 -409.039 -58.9839,  4 46 65 199,             stand,  ,                      ,
-537.495 -645.918 -39.875,   37 38 45 67 199,         stand,  ,                      ,
-272.532 -531.026 -39.875,   38 39 48 64 67 77,       stand,  ,                      ,
-264.909 -250.777 -39.875,   47 50,                   stand,  ,                      ,
-643.75 -15.2179 -39.875,    2 50 51,                 stand,  ,                      ,
-532.836 -230.237 -39.875,   2 48 49,                 stand,  ,                      ,
-639.646 41.0737 -68.8538,   49 52 66,                stand,  ,                      ,
-635.829 114.863 -71.0418,   51 53 66,                stand,  ,                      ,
-639.353 355.962 -78.7005,   52 54,                   stand,  ,                      ,
-595.329 584.208 -65.875,    53 55,                   stand,  ,                      ,
-592.597 632.45 -39.875,     54 56 57,                stand,  ,                      ,
-627.246 737.998 -39.875,    55 57 58,                stand,  ,                      ,
-501.843 733.059 -39.875,    55 56 146,               stand,  ,                      ,
-799.332 821.893 -39.875,    56 59,                   stand,  ,                      ,
-823.261 1086.93 -39.875,    58 60,                   stand,  ,                      ,
-922.209 1195.31 -39.875,    59 158 212,              stand,  ,                      ,
-454.048 1885.81 -39.875,    11 62 86 214,            stand,  ,                      ,
-476.755 2016.19 -39.7023,   61 148 217,              stand,  ,                      ,
-283.015 1687.99 -39.875,    8 85 86 87,              stand,  ,                      ,
92.3717 -550.625 -39.875,    39 47 68 77 175,         stand,  ,                      ,
-807.497 -259.788 -66.875,   45 66,                   stand,  ,                      ,
-804.1 60.0931 -69.9771,     51 52 65,                stand,  ,                      ,
-467.208 -544.439 -39.875,   4 46 47 199,             stand,  ,                      ,
275.208 -368.849 -39.7311,   64 69 77 175,            stand,  ,                      ,
315.728 -196.878 -39.875,    3 68 78,                 stand,  ,                      ,
446.632 470.513 -39.875,     71 194,                  stand,  ,                      ,
195.678 494.86 -39.875,      70 72 73 209,            stand,  ,                      ,
184.763 730.022 -39.875,     71 79 147 209 210,       stand,  ,                      ,
24.3378 416.398 -39.875,     71 74 146 209,           stand,  ,                      ,
-35.0421 312.726 -39.875,    73 75,                   stand,  ,                      ,
-25.6642 64.1797 -39.875,    74 76,                   stand,  ,                      ,
36.6101 -44.0781 -39.7888,   75 77,                   stand,  ,                      ,
54.5221 -377.765 -39.875,    47 64 68 76,             stand,  ,                      ,
299.82 59.9992 -39.875,      3 69 194,                stand,  ,                      ,
351.475 726.888 -39.875,     72 80 184,               stand,  ,                      ,
469.4 837.465 -39.875,       79 81 184,               stand,  ,                      ,
478.404 976.3 -39.875,       80 82 139,               stand,  ,                      ,
478.993 1168.08 -39.875,     81 83 139 141 201 202,   stand,  ,                      ,
127.655 1189.47 -39.875,     82 84 88 211,            stand,  ,                      ,
-133.729 1225.99 -39.875,    83 85 87,                stand,  ,                      ,
-101.081 1640.33 -39.875,    8 63 84 87 211,          stand,  ,                      ,
-390.23 1687.75 -39.875,     61 63 214,               stand,  ,                      ,
-192.111 1607.08 -39.875,    63 84 85,                stand,  ,                      ,
205.315 1561.0 -39.875,      7 83 201 211,            stand,  ,                      ,
754.007 1578.51 -39.375,     9 141 201 202,           stand,  ,                      ,
624.72 1573.65 -39.875,      91 201,                  stand,  ,                      ,
629.741 1695.37 24.125,      90 92,                   stand,  ,                      ,
568.494 1831.65 24.125,      91 93,                   stand,  ,                      ,
451.079 1852.66 24.125,      92 94,                   stand,  ,                      ,
336.026 1853.63 96.125,      93 167 169,              stand,  ,                      ,
126.378 2018.71 96.1522,     20 164 169 215,          stand,  ,                      ,
-180.782 3345.99 84.3053,    97 103 189 190 203,      stand,  ,                      ,
-21.3521 3211.43 96.125,     96 98 206,               stand,  ,                      ,
19.729 3085.95 96.125,       97 99 101,               stand,  ,                      ,
-95.1949 3005.17 98.636,     98 103 193 216,          stand,  ,                      ,
391.656 2844.43 96.125,      101 109 165 216,         stand,  ,                      ,
396.981 3001.63 96.125,      98 100 102,              stand,  ,                      ,
468.898 3068.9 96.125,       14 101,                  stand,  ,                      ,
-167.293 3151.74 96.125,     96 99 193,               stand,  ,                      ,
-126.885 2628.63 96.125,     22 105 153 162 163 165,  stand,  ,                      ,
-50.0603 2468.89 97.0523,    21 104 106 163 195,      stand,  ,                      ,
-113.739 2343.25 96.125,     20 105 153 155 163 215,  stand,  ,                      ,
441.166 2080.12 96.125,      12 108 164,              stand,  ,                      ,
388.025 2284.2 96.125,       107 109 164 215,         stand,  ,                      ,
383.483 2578.24 96.2242,     100 108 110 165 195,     stand,  ,                      ,
578.167 2559.66 96.125,      109 111,                 stand,  ,                      ,
580.079 2514.78 96.125,      110 112,                 stand,  ,                      ,
572.103 2412.65 35.625,      111 113,                 stand,  ,                      ,
570.346 2362.15 32.125,      112 185 191,             stand,  ,                      ,
736.46 2675.93 32.125,       13 115 185,              stand,  ,                      ,
727.952 2763.26 32.125,      114 116,                 stand,  ,                      ,
640.56 2768.89 32.125,       115 117,                 stand,  ,                      ,
626.338 2805.18 32.125,      116 118,                 stand,  ,                      ,
616.124 2878.44 -8.375,      17 117,                  stand,  ,                      ,
399.671 3369.48 -7.46961,    15 17 120 159,           stand,  ,                      ,
282.703 3568.07 -6.07888,    16 119 121 159,          stand,  ,                      ,
-157.351 3885.95 -8.56613,   16 120 122 160,          stand,  ,                      ,
-283.721 3841.49 -3.77514,   121 188 190,             stand,  ,                      ,
974.45 2300.39 7.96816,      124 191,                 stand,  ,                      ,
1048.69 2291.23 -26.7021,    123 125,                 stand,  ,                      ,
1214.25 2158.22 -90.5851,    124 126,                 stand,  ,                      ,
1329.87 1933.63 -174.208,    125 127,                 stand,  ,                      ,
1437.31 1649.94 -252.526,    126 128,                 stand,  ,                      ,
1475.28 1546.7 -264.359,     18 127 129,              stand,  ,                      ,
1402.72 1342.23 -271.812,    18 128 130,              stand,  ,                      ,
1333.22 1012.46 -263.789,    129 131 133,             stand,  ,                      ,
1128.03 954.339 -255.717,    5 130,                   stand,  ,                      ,
1163.55 644.961 -234.447,    5 133 134,               stand,  ,                      ,
1304.57 768.576 -242.221,    130 132,                 stand,  ,                      ,
1050.85 483.682 -221.469,    132 135 181,             stand,  ,                      ,
1007.21 508.331 -212.925,    134 136,                 stand,  ,                      ,
933.382 553.217 -166.965,    135 137,                 stand,  ,                      ,
884.612 595.42 -152.684,     136 138,                 stand,  ,                      ,
835.449 652.174 -101.706,    137 173,                 stand,  ,                      ,
759.084 963.132 -39.875,     81 82 140 174,           stand,  ,                      ,
847.952 1219.69 -39.875,     139 141,                 stand,  ,                      ,
728.879 1331.97 -39.875,     82 89 140 202,           stand,  ,                      ,
-53.935 835.344 -37.375,     143 147,                 stand,  ,                      ,
-273.316 844.557 96.125,     142 144,                 stand,  ,                      ,
-340.755 848.383 96.125,     143 204,                 stand,  ,                      ,
-350.679 1530.53 96.125,     168 204,                 stand,  ,                      ,
-34.1661 730.94 -39.875,     57 73 147 209 210,       stand,  ,                      ,
-2.50072 818.028 -38.1767,   72 142 146 210,          stand,  ,                      ,
-661.661 2159.7 -39.875,     23 62 156 157 217,       stand,  ,                      ,
-667.543 2339.29 10.125,     150 151 156,             stand,  ,                      ,
-600.438 2391.16 13.125,     149 151 154,             stand,  ,                      ,
-672.002 2453.24 10.125,     149 150 152,             stand,  ,                      ,
-669.348 2663.52 10.125,     151 176,                 stand,  ,                      ,
-260.451 2471.41 96.125,     22 104 106 155 163,      stand,  ,                      ,
-461.809 2390.38 96.125,     150 155,                 stand,  ,                      ,
-344.348 2394.94 96.125,     106 153 154,             stand,  ,                      ,
-669.469 2231.19 -39.875,    148 149,                 stand,  ,                      ,
-950.228 1995.64 -39.875,    23 148 158 217,          stand,  ,                      ,
-957.825 1548.13 -39.875,    60 157 212,              stand,  ,                      ,
210.993 3481.45 8.48036,     15 119 120 160,          stand,  ,                      ,
85.4344 3598.37 -7.28024,    121 159 207,             stand,  ,                      ,
-217.397 2874.6 96.125,      162 192 216,             stand,  ,                      ,
-102.294 2746.48 96.125,     104 161 165 216,         stand,  ,                      ,
-119.106 2471.17 96.125,     104 105 106 153,         stand,  ,                      ,
186.516 2080.06 96.125,      95 107 108 215,          stand,  ,                      ,
170.072 2752.45 96.125,      100 104 109 162 216,     stand,  ,                      ,
229.677 1744.63 96.125,      167 200,                 stand,  ,                      ,
265.958 1811.33 96.125,      94 166,                  stand,  ,                      ,
-405.891 1677.09 96.125,     19 145 171 197,          stand,  ,                      ,
120.141 1848.98 96.125,      94 95 170 200,           stand,  ,                      ,
-155.079 1842.21 96.125,     169 171,                 stand,  ,                      ,
-250.577 1848.32 96.125,     19 168 170,              stand,  ,                      ,
782.181 788.533 -57.5498,    173 174,                 stand,  ,                      ,
791.846 727.052 -92.6738,    138 172,                 stand,  ,                      ,
773.871 867.434 -39.875,     139 172,                 stand,  ,                      ,
359.388 -635.901 -39.875,    64 68 182 183,           stand,  ,                      ,
-559.236 2828.18 10.125,     152 177,                 stand,  ,                      ,
-473.202 2874.0 13.125,      176 192,                 stand,  ,                      ,
882.552 -509.447 -41.4506,   179 182,                 stand,  ,                      ,
931.603 -405.918 -74.6079,   178 180,                 stand,  ,                      ,
945.547 -204.845 -163.875,   179 208,                 stand,  ,                      ,
1011.05 335.424 -237.005,    134 208,                 stand,  ,                      ,
717.312 -584.613 -39.7185,   26 175 178 183,          stand,  ,                      ,
508.489 -796.9 -38.8263,     26 28 175 182,           stand,  ,                      ,
485.951 721.198 -39.875,     6 79 80,                 stand,  ,                      ,
744.572 2360.71 32.125,      13 113 114 191,          stand,  ,                      ,
93.5654 -1108.93 -7.875,     42 43 187,               stand,  ,                      ,
0.996784 -969.756 -7.875,    41 186,                  stand,  ,                      ,
-432.335 3723.81 -5.61472,   122 189,                 stand,  ,                      ,
-303.211 3526.21 27.563,     96 188,                  stand,  ,                      ,
-242.256 3669.63 12.278,     96 122 203,              stand,  ,                      ,
874.417 2298.96 32.125,      113 123 185,             stand,  ,                      ,
-333.276 2868.72 96.125,     161 177 193,             stand,  ,                      ,
-296.991 2867.68 96.125,     99 103 192,              stand,  ,                      ,
441.89 313.453 -39.875,      70 78,                   stand,  ,                      ,
141.655 2555.0 105.125,      21 105 109,              stand,  ,                      ,
-531.975 1400.65 96.125,     197 205 220,             stand,  ,                      ,
-536.47 1581.89 96.125,      168 196,                 stand,  ,                      ,
-775.075 1396.81 96.125,     220,                     stand,  ,                      ,
-571.864 -503.598 -39.8318,  4 45 46 67,              stand,  ,                      ,
178.265 1744.63 96.125,      166 169,                 stand,  ,                      ,
623.921 1537.88 -39.875,     82 88 89 90 202,         stand,  ,                      ,
668.569 1451.39 -39.875,     82 89 141 201,           stand,  ,                      ,
-92.632 3363.28 87.9805,     96 190,                  stand,  ,                      ,
-345.598 1111.81 96.125,     144 145 205,             stand,  ,                      ,
-482.84 1216.84 96.125,      196 204,                 stand,  ,                      ,
-8.22789 3286.19 95.7187,    97 207,                  stand,  ,                      ,
-7.87893 3390.06 37.2678,    160 206,                 stand,  ,                      ,
993.427 198.448 -243.875,    180 181,                 stand,  ,                      ,
108.714 581.756 -39.875,     71 72 73 146 210,        stand,  ,                      ,
39.5195 730.109 -39.875,     72 146 147 209,          stand,  ,                      ,
59.8353 1599.22 -39.875,     83 85 88,                stand,  ,                      ,
