248
4094.0 1010.0 20.7461,      39 63,                 stand,  ,  ,
4256.0 -1086.0 4.12502,     55 72,                 stand,  ,  ,
5920.0 -274.0 -3.875,       35 47 48,              stand,  ,  ,
5494.46 -886.791 245.125,   80 81,                 stand,  ,  ,
6378.0 -492.0 242.125,      82 83,                 stand,  ,  ,
6694.0 48.0 240.125,        85 86,                 stand,  ,  ,
7166.0 768.0 240.125,       150 151,               stand,  ,  ,
7134.0 1108.0 240.125,      149 150,               stand,  ,  ,
5143.76 1979.02 106.888,    137 138,               stand,  ,  ,
4427.0 1872.02 -3.875,      134 196 208,           stand,  ,  ,
3906.98 1500.72 10.125,     160 206,               stand,  ,  ,
3806.0 1412.0 202.125,      164 165,               stand,  ,  ,
3506.0 -952.0 148.625,      172 229,               stand,  ,  ,
3574.0 -952.0 4.625,        176 182 183,           stand,  ,  ,
3486.0 -320.0 4.625,        177 178 180,           stand,  ,  ,
4524.0 -938.0 8.03787,      53 54 71,              stand,  ,  ,
5128.0 -942.0 4.125,        187 222,               stand,  ,  ,
5260.0 -14.0 11.4272,       121 123,               stand,  ,  ,
5664.0 866.0 8.21458,       118 119,               stand,  ,  ,
5296.0 -2.0 193.625,        108 239,               stand,  ,  ,
5226.0 980.0 192.185,       152,                   stand,  ,  ,
6617.21 1746.46 240.125,    143 144,               stand,  ,  ,
3862.0 72.0 11.9743,        37 62,                 stand,  ,  ,
4794.0 892.0 4.125,         42 70 157,             stand,  ,  ,
5446.0 1084.0 6.125,        30 31,                 stand,  ,  ,
4900.0 -646.0 12.027,       50 51,                 stand,  ,  ,
4326.0 676.0 14.7524,       64 70,                 stand,  ,  ,
6324.81 2044.68 240.125,    145 146,               stand,  ,  ,
5607.0 1994.02 4.125,       140 198 247,           stand,  ,  ,
4626.11 1538.84 -4.44819,   128 196 203 204,       stand,  ,  ,
5588.74 1269.38 4.30055,    24 31 201 221,         stand,  ,  ,
5710.12 1151.41 5.66485,    24 30 32 210,          stand,  ,  ,
5824.29 1024.37 18.0245,    31 200 210 220,        stand,  ,  ,
5825.71 514.516 4.0534,     34 119 200,            stand,  ,  ,
5825.44 345.308 4.10162,    33 35 119 158,         stand,  ,  ,
5818.69 2.62558 4.08254,    2 34 36 47 158,        stand,  ,  ,
5750.95 -154.432 6.65969,   35 48 209,             stand,  ,  ,
4126.27 100.8 5.71344,      22 61 65 67 232,       stand,  ,  ,
4124.68 613.643 4.81538,    39 232,                stand,  ,  ,
4178.04 772.262 7.32249,    0 38 40 42 63,         stand,  ,  ,
4380.8 1048.18 9.47973,     39 41 157,             stand,  ,  ,
4476.56 1188.55 4.125,      40 128 136 157 204,    stand,  ,  ,
4477.32 843.759 7.10928,    23 39 157,             stand,  ,  ,
5858.25 1616.13 -3.91196,   139 140 186 198 221,   stand,  ,  ,
6764.56 950.065 8.125,      93 141 216,            stand,  ,  ,
6422.16 721.125 3.14688,    199 216 217,           stand,  ,  ,
6258.88 281.912 21.2916,    47 158 199,            stand,  ,  ,
6154.79 146.589 6.07924,    2 35 46 158,           stand,  ,  ,
5737.5 -372.975 -0.414404,  2 36 242,              stand,  ,  ,
5226.35 -542.087 4.0568,    51 209 222 242,        stand,  ,  ,
4880.69 -444.559 -4.40395,  25 52 53 122 212,      stand,  ,  ,
5046.0 -539.636 4.1077,     25 49 52 209 222,      stand,  ,  ,
5038.99 -365.081 -3.875,    50 51 122 209,         stand,  ,  ,
4730.86 -535.076 4.09474,   15 50 66,              stand,  ,  ,
4456.64 -755.646 -3.875,    15 66 71,              stand,  ,  ,
4241.0 -1006.92 4.12391,    1 56 71 72,            stand,  ,  ,
4124.13 -889.934 -3.875,    55 57 59,              stand,  ,  ,
3962.66 -838.515 4.71403,   56 58 183,             stand,  ,  ,
3874.17 -684.97 4.62488,    57 183 230,            stand,  ,  ,
4130.45 -708.595 -3.875,    56 60 71,              stand,  ,  ,
4133.57 -505.442 -4.34113,  59 61 66,              stand,  ,  ,
4130.14 -331.689 -3.875,    37 60 67,              stand,  ,  ,
3810.45 377.833 4.35728,    22 63,                 stand,  ,  ,
3975.86 624.932 6.83345,    0 39 62,               stand,  ,  ,
4357.26 142.618 6.47312,    26 65 68,              stand,  ,  ,
4351.34 -33.522 4.125,      37 64 67 211,          stand,  ,  ,
4355.4 -351.122 -4.23986,   53 54 60 67,           stand,  ,  ,
4350.6 -164.877 4.125,      37 61 65 66 211,       stand,  ,  ,
4751.95 159.48 5.125,       64 69,                 stand,  ,  ,
4772.2 372.345 5.125,       68 70 125,             stand,  ,  ,
4871.26 655.595 9.15855,    23 26 69 125 126 215,  stand,  ,  ,
4282.44 -807.137 -3.875,    15 54 55 59,           stand,  ,  ,
4382.45 -1040.25 15.1776,   1 55 73,               stand,  ,  ,
4570.54 -1050.4 167.125,    72 74,                 stand,  ,  ,
4676.17 -1044.72 166.125,   73 75,                 stand,  ,  ,
4690.43 -664.34 166.125,    74 76,                 stand,  ,  ,
4789.88 -665.267 167.125,   75 77,                 stand,  ,  ,
4900.24 -665.344 260.328,   76 78,                 stand,  ,  ,
5036.67 -670.832 259.125,   77 79,                 stand,  ,  ,
5039.14 -828.05 260.625,    78 80,                 stand,  ,  ,
5315.32 -836.61 260.625,    3 79 81,               stand,  ,  ,
5506.97 -706.386 245.148,   3 80 234,              stand,  ,  ,
6234.8 -557.914 244.8,      4 83 233,              stand,  ,  ,
6313.73 -346.044 252.454,   4 82 84,               stand,  ,  ,
6453.23 -213.507 240.591,   83 85,                 stand,  ,  ,
6553.78 -41.032 243.91,     5 84 86,               stand,  ,  ,
6603.13 161.068 241.508,    5 85 87,               stand,  ,  ,
6619.92 360.544 240.104,    86 88 235,             stand,  ,  ,
6758.97 463.597 240.104,    87 89 142 235,         stand,  ,  ,
6998.29 415.112 240.104,    88 90 142,             stand,  ,  ,
7145.2 406.483 184.125,     89 91,                 stand,  ,  ,
7146.79 605.919 97.2317,    90 92,                 stand,  ,  ,
7143.59 804.911 8.125,      91 93 95,              stand,  ,  ,
6936.13 779.659 8.125,      44 92 94,              stand,  ,  ,
6745.29 780.0 8.125,        93,                    stand,  ,  ,
7035.94 864.392 8.125,      92 96,                 stand,  ,  ,
7037.17 1035.55 8.125,      95 97 141,             stand,  ,  ,
7154.8 1146.17 8.125,       96 98,                 stand,  ,  ,
7152.44 1305.54 114.208,    97 99,                 stand,  ,  ,
7152.5 1460.14 184.125,     98 100,                stand,  ,  ,
6965.91 1460.12 240.125,    99 101 149,            stand,  ,  ,
6763.72 1395.38 240.125,    100 102 143,           stand,  ,  ,
6692.69 1209.2 240.125,     101 103 143,           stand,  ,  ,
6644.7 1050.34 240.125,     102 104 235,           stand,  ,  ,
6525.46 971.527 240.125,    103 235 237,           stand,  ,  ,
5753.67 942.49 220.125,     106 236,               stand,  ,  ,
5609.44 846.425 189.125,    105 154 238,           stand,  ,  ,
5404.69 215.402 189.125,    108 238,               stand,  ,  ,
5294.54 208.167 189.125,    19 107 156,            stand,  ,  ,
4986.71 255.754 190.125,    110 239,               stand,  ,  ,
4940.43 454.385 189.125,    109 111 113 195,       stand,  ,  ,
4803.68 477.425 179.125,    110 112 240,           stand,  ,  ,
4360.67 297.406 264.107,    111 241,               stand,  ,  ,
4942.45 781.357 192.692,    110 114 152,           stand,  ,  ,
4943.39 956.321 190.018,    113 115,               stand,  ,  ,
4946.0 1161.59 87.125,      114 116,               stand,  ,  ,
5136.74 1163.2 12.8581,     115 126 127,           stand,  ,  ,
5329.88 1001.54 7.0119,     118 126 127 214,       stand,  ,  ,
5677.99 986.134 12.8206,    18 117,                stand,  ,  ,
5699.37 487.805 5.125,      18 33 34 120 231,      stand,  ,  ,
5490.13 427.318 5.125,      119 121 213 231,       stand,  ,  ,
5414.63 239.274 5.125,      17 120 213,            stand,  ,  ,
5014.21 -203.821 31.8067,   50 52 123 209 212,     stand,  ,  ,
4965.42 -17.473 28.0382,    17 122 124 212,        stand,  ,  ,
4967.4 167.786 5.125,       123 125 213,           stand,  ,  ,
4935.08 402.586 7.2192,     69 70 124 213 215,     stand,  ,  ,
5124.08 961.728 6.86822,    70 116 117 127 214,    stand,  ,  ,
5276.16 1181.14 6.95846,    116 117 126 202,       stand,  ,  ,
4679.39 1225.94 4.125,      29 41 157 203,         stand,  ,  ,
5452.78 1646.37 4.10366,    130 139 201,           stand,  ,  ,
5269.88 1646.93 100.278,    129 131 138,           stand,  ,  ,
5026.54 1649.55 96.5429,    130 132,               stand,  ,  ,
4785.1 1655.02 96.5358,     131 133,               stand,  ,  ,
4786.6 1867.81 96.125,      132 134 137,           stand,  ,  ,
4628.79 1880.92 -4.76168,   9 133 196,             stand,  ,  ,
4159.22 1258.0 22.876,      136 206,               stand,  ,  ,
4306.19 1225.25 13.0422,    41 135 205,            stand,  ,  ,
4981.1 1923.07 105.864,     8 133 138,             stand,  ,  ,
5204.44 1821.52 107.279,    8 130 137 148 243,     stand,  ,  ,
5608.65 1650.56 5.07641,    43 129 140,            stand,  ,  ,
5715.33 1804.54 4.0977,     28 43 139 198,         stand,  ,  ,
6891.88 1111.3 8.125,       44 96,                 stand,  ,  ,
6952.7 550.875 240.125,     88 89 151,             stand,  ,  ,
6658.54 1577.33 240.125,    21 101 102 144,        stand,  ,  ,
6496.43 1745.99 240.125,    21 143 145,            stand,  ,  ,
6341.95 1898.72 240.125,    27 144 146,            stand,  ,  ,
6191.62 2103.8 240.125,     27 145 225,            stand,  ,  ,
4913.58 1779.15 240.125,    148 223,               stand,  ,  ,
5130.08 1777.37 106.042,    138 147,               stand,  ,  ,
7003.29 1132.77 240.125,    7 100 150,             stand,  ,  ,
7093.81 941.701 248.778,    6 7 149 151,           stand,  ,  ,
7033.94 768.581 240.442,    6 142 150,             stand,  ,  ,
5080.92 982.755 189.125,    20 113 153,            stand,  ,  ,
5220.36 876.609 189.125,    152 154 155,           stand,  ,  ,
5410.24 846.443 189.125,    106 153 155,           stand,  ,  ,
5352.12 668.243 189.125,    153 154 156 195,       stand,  ,  ,
5303.96 423.036 189.125,    108 155 195,           stand,  ,  ,
4576.03 990.538 9.49061,    23 40 41 42 128,       stand,  ,  ,
6058.38 310.444 31.5922,    34 35 46 47 218,       stand,  ,  ,
3778.36 1478.66 11.025,     160 161,               stand,  ,  ,
3895.43 1401.62 11.4784,    10 159 206,            stand,  ,  ,
3780.63 1647.34 106.125,    159 162,               stand,  ,  ,
3978.5 1658.46 202.125,     161 163,               stand,  ,  ,
4113.17 1526.01 202.125,    162 164,               stand,  ,  ,
