351
-263.7 -4410.9 0.157547,      253,                          stand,  0.0 0.0 0.0,         ,
395.101 -4632.35 -0.505585,   241 242 340,                  stand,  0.0 0.0 0.0,         ,
2076.3 -4849.9 -0.875,        128 134,                      stand,  0.0 0.0 0.0,         ,
1834.3 -4078.9 4.125,         124,                          stand,  0.0 0.0 0.0,         ,
2149.3 -1708.9 12.1764,       63 66,                        stand,  0.0 0.0 0.0,         ,
2074.93 -844.302 1.125,       70,                           stand,  0.0 0.0 0.0,         ,
11.4 -211.8 19.169,           268 347,                      stand,  0.0 0.0 0.0,         ,
-258.6 -143.8 16.5033,        270 271,                      stand,  0.0 0.0 0.0,         ,
-1086.3 -2525.9 46.7523,      34 333 334,                   stand,  0.0 0.0 0.0,         ,
-870.3 -3211.9 77.125,        200 335,                      stand,  0.0 0.0 0.0,         ,
-1045.3 -3222.9 261.125,      36,                           stand,  0.0 0.0 0.0,         ,
328.3 -3568.0 4.27524,        54,                           stand,  0.0 0.0 0.0,         ,
342.3 -2408.0 5.125,          44,                           stand,  0.0 0.0 0.0,         ,
1088.3 -2345.0 2.125,         92 97,                        stand,  0.0 0.0 0.0,         ,
785.513 -1172.79 4.125,       83,                           stand,  0.0 0.0 0.0,         ,
-13.7 -4850.9 -0.875,         18 340,                       stand,  0.0 0.0 0.0,         ,
-105.7 -4849.9 -0.875,        17 19,                        stand,  0.0 0.0 0.0,         ,
-196.7 -4850.9 -0.875,        16 20,                        stand,  0.0 0.0 0.0,         ,
-17.7 -4750.9 -0.875,         15 19 21 340,                 stand,  0.0 0.0 0.0,         ,
-109.7 -4749.9 -0.875,        16 18 20 21,                  stand,  0.0 0.0 0.0,         ,
-200.7 -4750.9 -0.875,        17 19 254 340,                stand,  0.0 0.0 0.0,         ,
-68.7 -4698.9 -0.875,         18 19 253,                    stand,  0.0 0.0 0.0,         ,
1841.3 -170.9 0.625,          24 26,                        stand,  0.0 0.0 0.0,         ,
1798.3 -171.9 0.240112,       25 26,                        stand,  0.0 0.0 0.0,         ,
1716.3 -171.9 0.240112,       22 25 343,                    stand,  0.0 0.0 0.0,         ,
1755.3 -216.9 0.240112,       23 24 27,                     stand,  0.0 0.0 0.0,         ,
1841.3 -257.9 0.625,          22 23 28,                     stand,  0.0 0.0 0.0,         ,
1755.3 -258.9 0.240112,       25 187 343,                   stand,  0.0 0.0 0.0,         ,
1798.3 -303.9 0.240112,       26 69 186,                    stand,  0.0 0.0 0.0,         ,
-1130.41 -1669.73 74.2907,    30 31,                        stand,  0.0 0.0 0.0,         ,
-1092.68 -1675.03 40.9045,    29 294 309,                   stand,  0.0 0.0 0.0,         ,
-1168.12 -1667.95 41.7523,    29 106 107 300,               stand,  0.0 0.0 0.0,         ,
-833.634 -2238.08 44.125,     33 34,                        stand,  0.0 0.0 0.0,         ,
-729.683 -2124.09 31.1232,    32 194 197 227 332,           stand,  0.0 0.0 0.0,         ,
-1049.84 -2267.91 44.125,     8 32 35,                      stand,  0.0 0.0 0.0,         ,
-1196.38 -2170.94 48.8275,    34 108,                       stand,  0.0 0.0 0.0,         ,
-976.85 -3083.95 261.125,     10 37,                        stand,  0.0 0.0 0.0,         ,
-1146.59 -3182.24 261.125,    36 38,                        stand,  0.0 0.0 0.0,         ,
-1151.0 -3226.17 268.625,     37 39,                        climb,  23.5095 82.901 0.0,  ,
-1156.8 -3254.13 44.135,      38 112 288,                   climb,  4.4812 84.4391 0.0,  ,
530.663 -2219.99 5.125,       41 43,                        stand,  0.0 0.0 0.0,         ,
338.361 -2013.23 5.125,       40 42,                        stand,  0.0 0.0 0.0,         ,
351.858 -1922.49 5.7488,      41 192 285,                   stand,  0.0 0.0 0.0,         ,
522.727 -2380.78 5.125,       40 44 50,                     stand,  0.0 0.0 0.0,         ,
420.013 -2399.69 5.125,       12 43 45,                     stand,  0.0 0.0 0.0,         ,
418.553 -2556.56 77.125,      44 46,                        stand,  0.0 0.0 0.0,         ,
334.615 -2556.43 77.125,      45 47,                        stand,  0.0 0.0 0.0,         ,
334.881 -2421.04 124.125,     46 48,                        stand,  0.0 0.0 0.0,         ,
528.997 -2356.85 124.125,     47 49,                        stand,  0.0 0.0 0.0,         ,
528.909 -2227.27 124.125,     48,                           stand,  0.0 0.0 0.0,         ,
530.769 -2659.76 -0.875,      43 99 209 210,                stand,  0.0 0.0 0.0,         ,
683.366 -3067.73 -0.967436,   52 101 213,                   stand,  0.0 0.0 0.0,         ,
