157
-822.026 1464.92 -287.875,   1 99,                       stand,   0.0 0.0 0.0,             ,
-807.557 1208.11 -287.875,   0 2 98,                     stand,   0.0 0.0 0.0,             ,
-633.393 1175.46 -287.875,   1 3 4 19,                   stand,   0.0 0.0 0.0,             ,
-618.753 1423.69 -281.817,   2 100,                      stand,   0.0 0.0 0.0,             ,
-413.421 1177.76 -287.875,   2 5 16 17,                  stand,   0.0 0.0 0.0,             ,
-412.043 1388.66 -279.875,   4 8 102 103,                stand,   0.0 0.0 0.0,             ,
-59.4128 1398.99 -279.875,   7 102 109 116,              stand,   0.0 0.0 0.0,             ,
-59.5178 1502.88 -279.875,   6 110 111 113 116,          stand,   0.0 0.0 0.0,             ,
-336.931 1544.3 -279.875,    5 102 104 105,              stand,   0.0 0.0 0.0,             ,
193.373 1490.52 -279.875,    10 13 113 116 117 118,      stand,   0.0 0.0 0.0,             ,
317.11 1528.68 -279.875,     9 119,                      stand,   0.0 0.0 0.0,             ,
514.47 1434.1 -274.875,      12 119,                     stand,   0.0 0.0 0.0,             ,
544.192 1170.3 -279.875,     11 13 118 120 121,          stand,   0.0 0.0 0.0,             ,
218.613 1165.59 -279.875,    9 12 14,                    stand,   0.0 0.0 0.0,             ,
206.395 922.298 -287.875,    13 15 76,                   stand,   0.0 0.0 0.0,             ,
-42.9216 887.362 -286.875,   14 16 74,                   stand,   0.0 0.0 0.0,             ,
-121.647 1092.64 -287.875,   4 15 101,                   stand,   0.0 0.0 0.0,             ,
-396.971 699.427 -287.875,   4 18 27,                    stand,   0.0 0.0 0.0,             ,
-765.391 681.307 -287.875,   17 19 20 21,                stand,   0.0 0.0 0.0,             ,
-706.78 959.375 -287.875,    2 18 20 97,                 stand,   0.0 0.0 0.0,             ,
-870.255 976.447 -287.875,   18 19 97,                   stand,   0.0 0.0 0.0,             ,
-762.346 386.723 -287.875,   18 22 24,                   stand,   0.0 0.0 0.0,             ,
-666.46 388.308 -287.875,    21 23,                      stand,   0.0 0.0 0.0,             ,
